"Date","Ring","leaf_flux","Start_date","End_date","Days"
2012-11-13,"1",763.757034923528,2012-10-09,2012-11-13,36
2012-11-13,"2",832.052541581907,2012-10-09,2012-11-13,36
2012-11-13,"3",1038.21059497525,2012-10-09,2012-11-13,36
2012-11-13,"4",888.691934237847,2012-10-09,2012-11-13,36
2012-11-13,"5",1160.02539311346,2012-10-09,2012-11-13,36
2012-11-13,"6",848.92760304928,2012-10-09,2012-11-13,36
2012-12-11,"1",895.715129135091,2012-11-13,2012-12-11,29
2012-12-11,"2",1074.02608641364,2012-11-13,2012-12-11,29
2012-12-11,"3",866.664356201646,2012-11-13,2012-12-11,29
2012-12-11,"4",748.016137656801,2012-11-13,2012-12-11,29
2012-12-11,"5",1499.26408819341,2012-11-13,2012-12-11,29
2012-12-11,"6",1255.01388115977,2012-11-13,2012-12-11,29
2013-01-08,"1",570.546023754192,2012-12-11,2013-01-08,29
2013-01-08,"2",811.573472589774,2012-12-11,2013-01-08,29
2013-01-08,"3",834.502161991826,2012-12-11,2013-01-08,29
2013-01-08,"4",609.753704403594,2012-12-11,2013-01-08,29
2013-01-08,"5",1162.07462139439,2012-12-11,2013-01-08,29
2013-01-08,"6",953.286221360786,2012-12-11,2013-01-08,29
2013-02-13,"4",NA,NA,NA,NA
2013-02-13,"6",NA,NA,NA,NA
2013-02-14,"1",NA,NA,NA,NA
2013-02-14,"2",NA,NA,NA,NA
2013-02-15,"3",NA,NA,NA,NA
2013-02-15,"5",NA,NA,NA,NA
2013-02-20,"1",549.652198022708,2013-01-08,2013-02-20,44
2013-02-20,"2",560.688605322624,2013-01-08,2013-02-20,44
2013-02-20,"3",370.192084161033,2013-01-08,2013-02-20,44
2013-02-20,"4",423.192318964523,2013-01-08,2013-02-20,44
2013-02-20,"5",674.198597802233,2013-01-08,2013-02-20,44
2013-02-20,"6",610.018492212031,2013-01-08,2013-02-20,44
2013-03-14,"1",773.522923833129,2013-02-20,2013-03-14,23
2013-03-14,"2",763.431446602259,2013-02-20,2013-03-14,23
2013-03-14,"3",631.166142146413,2013-02-20,2013-03-14,23
2013-03-14,"4",663.833621479533,2013-02-20,2013-03-14,23
2013-03-14,"5",576.60324780743,2013-02-20,2013-03-14,23
2013-03-14,"6",483.793941079544,2013-02-20,2013-03-14,23
2013-04-09,"1",728.266783638646,2013-03-14,2013-04-09,27
2013-04-09,"2",687.86944901617,2013-03-14,2013-04-09,27
2013-04-09,"3",278.100086519224,2013-03-14,2013-04-09,27
2013-04-09,"4",341.056579833896,2013-03-14,2013-04-09,27
2013-04-09,"5",510.532537170645,2013-03-14,2013-04-09,27
2013-04-09,"6",417.774816141436,2013-03-14,2013-04-09,27
2013-05-02,"1",NA,NA,NA,NA
2013-05-02,"2",NA,NA,NA,NA
2013-05-06,"5",NA,NA,NA,NA
2013-05-06,"6",NA,NA,NA,NA
2013-05-07,"3",NA,NA,NA,NA
2013-05-07,"4",NA,NA,NA,NA
2013-05-08,"1",NA,NA,NA,NA
2013-05-13,"1",422.978604243699,2013-04-09,2013-05-13,35
2013-05-13,"2",205.526188797118,2013-04-09,2013-05-13,35
2013-05-13,"3",107.391294322845,2013-04-09,2013-05-13,35
2013-05-13,"4",91.7485960365899,2013-04-09,2013-05-13,35
2013-05-13,"5",145.917900831843,2013-04-09,2013-05-13,35
2013-05-13,"6",125.644934717582,2013-04-09,2013-05-13,35
2013-06-14,"1",69.7835526770233,2013-05-13,2013-06-14,33
2013-06-14,"2",49.5928756619301,2013-05-13,2013-06-14,33
2013-06-14,"3",-22.7301591729901,2013-05-13,2013-06-14,33
2013-06-14,"4",-94.3652496889858,2013-05-13,2013-06-14,33
2013-06-14,"5",-74.6899910658815,2013-05-13,2013-06-14,33
2013-06-14,"6",-28.3820610888353,2013-05-13,2013-06-14,33
2013-07-08,"1",-143.364562072967,2013-06-14,2013-07-08,25
2013-07-08,"2",-82.64569539183,2013-06-14,2013-07-08,25
2013-07-08,"3",-98.4809380914716,2013-06-14,2013-07-08,25
2013-07-08,"4",-202.37551269555,2013-06-14,2013-07-08,25
2013-07-08,"5",-177.718674322127,2013-06-14,2013-07-08,25
2013-07-08,"6",-115.166796462698,2013-06-14,2013-07-08,25
2013-08-15,"1",-38.7645353029984,2013-07-08,2013-08-15,39
2013-08-15,"2",65.8508350459687,2013-07-08,2013-08-15,39
2013-08-15,"3",16.9079957864115,2013-07-08,2013-08-15,39
2013-08-15,"4",-64.9859039081708,2013-07-08,2013-08-15,39
2013-08-15,"5",-37.101797975041,2013-07-08,2013-08-15,39
2013-08-15,"6",-56.1495417507836,2013-07-08,2013-08-15,39
2013-09-10,"1",164.729548727513,2013-08-15,2013-09-10,27
2013-09-10,"2",142.781175362523,2013-08-15,2013-09-10,27
2013-09-10,"3",129.923390597193,2013-08-15,2013-09-10,27
2013-09-10,"4",35.0454632840497,2013-08-15,2013-09-10,27
2013-09-10,"5",219.719985900541,2013-08-15,2013-09-10,27
2013-09-10,"6",142.939995020956,2013-08-15,2013-09-10,27
2013-09-12,"3",NA,NA,NA,NA
2013-09-12,"5",NA,NA,NA,NA
2013-09-13,"4",NA,NA,NA,NA
2013-09-13,"6",NA,NA,NA,NA
2013-09-19,"1",NA,NA,NA,NA
2013-09-19,"2",NA,NA,NA,NA
2013-10-09,"1",275.721288062711,2013-09-10,2013-10-09,30
2013-10-09,"2",463.484708029375,2013-09-10,2013-10-09,30
2013-10-09,"3",376.246198228687,2013-09-10,2013-10-09,30
2013-10-09,"4",363.765638679493,2013-09-10,2013-10-09,30
2013-10-09,"5",459.594043455395,2013-09-10,2013-10-09,30
2013-10-09,"6",378.321942090656,2013-09-10,2013-10-09,30
2013-11-11,"1",285.948818903256,2013-10-09,2013-11-11,34
2013-11-11,"2",606.034131196784,2013-10-09,2013-11-11,34
2013-11-11,"3",591.310330089871,2013-10-09,2013-11-11,34
2013-11-11,"4",522.953468480525,2013-10-09,2013-11-11,34
2013-11-11,"5",721.239412791487,2013-10-09,2013-11-11,34
2013-11-11,"6",595.835699197351,2013-10-09,2013-11-11,34
2013-11-13,"1",NA,NA,NA,NA
2013-11-13,"2",NA,NA,NA,NA
2013-11-14,"1",NA,NA,NA,NA
2013-11-14,"3",NA,NA,NA,NA
2013-11-14,"4",NA,NA,NA,NA
2013-11-15,"2",NA,NA,NA,NA
2013-11-15,"5",NA,NA,NA,NA
2013-11-15,"6",NA,NA,NA,NA
2013-12-12,"1",430.705276683517,2013-11-11,2013-12-12,32
2013-12-12,"2",525.448480447824,2013-11-11,2013-12-12,32
2013-12-12,"3",458.593358553203,2013-11-11,2013-12-12,32
2013-12-12,"4",521.386523991199,2013-11-11,2013-12-12,32
2013-12-12,"5",679.536036896533,2013-11-11,2013-12-12,32
2013-12-12,"6",577.524632807946,2013-11-11,2013-12-12,32
2014-01-14,"1",1726.44906393641,2013-12-12,2014-01-14,34
2014-01-14,"2",1820.7471718562,2013-12-12,2014-01-14,34
2014-01-14,"3",1681.53642158424,2013-12-12,2014-01-14,34
2014-01-14,"4",1578.95372008489,2013-12-12,2014-01-14,34
2014-01-14,"5",2114.29490859319,2013-12-12,2014-01-14,34
2014-01-14,"6",2024.37690210254,2013-12-12,2014-01-14,34
2014-01-30,"1",NA,NA,NA,NA
2014-01-30,"2",NA,NA,NA,NA
2014-01-31,"5",NA,NA,NA,NA
2014-01-31,"6",NA,NA,NA,NA
2014-02-03,"3",NA,NA,NA,NA
2014-02-03,"4",NA,NA,NA,NA
2014-02-04,"1",NA,NA,NA,NA
2014-02-26,"1",1005.23723398146,2014-01-14,2014-02-26,44
2014-02-26,"2",1155.20848706595,2014-01-14,2014-02-26,44
2014-02-26,"3",843.586733591549,2014-01-14,2014-02-26,44
2014-02-26,"4",1079.48264923257,2014-01-14,2014-02-26,44
2014-02-26,"5",972.507708486381,2014-01-14,2014-02-26,44
2014-02-26,"6",1257.14991021133,2014-01-14,2014-02-26,44
2014-03-13,"1",717.959539602292,2014-02-26,2014-03-13,16
2014-03-13,"2",789.349318175274,2014-02-26,2014-03-13,16
2014-03-13,"3",512.809562114957,2014-02-26,2014-03-13,16
2014-03-13,"4",581.13975420929,2014-02-26,2014-03-13,16
2014-03-13,"5",550.842259363198,2014-02-26,2014-03-13,16
2014-03-13,"6",769.747384097935,2014-02-26,2014-03-13,16
2014-04-14,"1",583.730265377843,2014-03-13,2014-04-14,33
2014-04-14,"2",565.033424123888,2014-03-13,2014-04-14,33
2014-04-14,"3",496.912929445189,2014-03-13,2014-04-14,33
2014-04-14,"4",507.959749219354,2014-03-13,2014-04-14,33
2014-04-14,"5",554.203913681202,2014-03-13,2014-04-14,33
2014-04-14,"6",795.783313428252,2014-03-13,2014-04-14,33
2014-04-29,"1",NA,NA,NA,NA
2014-04-29,"2",NA,NA,NA,NA
2014-04-30,"3",NA,NA,NA,NA
2014-04-30,"5",NA,NA,NA,NA
2014-05-01,"4",NA,NA,NA,NA
2014-05-01,"6",NA,NA,NA,NA
2014-05-02,"1",NA,NA,NA,NA
2014-05-02,"2",NA,NA,NA,NA
2014-05-02,"3",NA,NA,NA,NA
2014-05-02,"4",NA,NA,NA,NA
2014-05-02,"5",NA,NA,NA,NA
2014-05-02,"6",NA,NA,NA,NA
2014-05-07,"1",156.850919494779,2014-04-14,2014-05-07,24
2014-05-07,"2",210.883274373111,2014-04-14,2014-05-07,24
2014-05-07,"3",230.304924391212,2014-04-14,2014-05-07,24
2014-05-07,"4",188.142352842867,2014-04-14,2014-05-07,24
2014-05-07,"5",195.66822579044,2014-04-14,2014-05-07,24
2014-05-07,"6",282.109712025802,2014-04-14,2014-05-07,24
2014-06-12,"1",-92.1169143698318,2014-05-07,2014-06-12,37
2014-06-12,"2",-52.8961341110027,2014-05-07,2014-06-12,37
2014-06-12,"3",99.8699677905501,2014-05-07,2014-06-12,37
2014-06-12,"4",87.7218637149364,2014-05-07,2014-06-12,37
2014-06-12,"5",-29.2042152391661,2014-05-07,2014-06-12,37
2014-06-12,"6",129.22580459384,2014-05-07,2014-06-12,37
2014-07-03,"1",-169.543290276261,2014-06-12,2014-07-03,22
2014-07-03,"2",-87.4894312052141,2014-06-12,2014-07-03,22
2014-07-03,"3",179.757603443165,2014-06-12,2014-07-03,22
2014-07-03,"4",82.9336755448764,2014-06-12,2014-07-03,22
2014-07-03,"5",76.5161057034601,2014-06-12,2014-07-03,22
2014-07-03,"6",316.283747965542,2014-06-12,2014-07-03,22
2014-08-14,"1",-418.966420454549,2014-07-03,2014-08-14,43
2014-08-14,"2",-341.844745378663,2014-07-03,2014-08-14,43
2014-08-14,"3",-135.735048784285,2014-07-03,2014-08-14,43
2014-08-14,"4",-220.618821458951,2014-07-03,2014-08-14,43
2014-08-14,"5",-162.665682659011,2014-07-03,2014-08-14,43
2014-08-14,"6",-400.809435373404,2014-07-03,2014-08-14,43
2014-09-15,"1",-331.286171366647,2014-08-14,2014-09-15,33
2014-09-15,"2",-287.631007930124,2014-08-14,2014-09-15,33
2014-09-15,"3",-185.54731281181,2014-08-14,2014-09-15,33
2014-09-15,"4",-261.989123680783,2014-08-14,2014-09-15,33
2014-09-15,"5",-148.005017957914,2014-08-14,2014-09-15,33
2014-09-15,"6",-410.304314049807,2014-08-14,2014-09-15,33
2014-10-08,"5",NA,NA,NA,NA
2014-10-08,"6",NA,NA,NA,NA
2014-10-09,"1",NA,NA,NA,NA
2014-10-09,"2",NA,NA,NA,NA
2014-10-10,"3",NA,NA,NA,NA
2014-10-10,"4",NA,NA,NA,NA
2014-10-13,"1",NA,NA,NA,NA
2014-10-13,"4",NA,NA,NA,NA
2014-10-13,"6",NA,NA,NA,NA
2014-10-16,"1",69.566748571358,2014-09-15,2014-10-16,32
2014-10-16,"2",442.805679628366,2014-09-15,2014-10-16,32
2014-10-16,"3",403.218742309763,2014-09-15,2014-10-16,32
2014-10-16,"4",257.068910381241,2014-09-15,2014-10-16,32
2014-10-16,"5",378.625123015673,2014-09-15,2014-10-16,32
2014-10-16,"6",1895.65203944445,2014-09-15,2014-10-16,32
2014-11-12,"1",295.972220105841,2014-10-16,2014-11-12,28
2014-11-12,"2",313.674091264237,2014-10-16,2014-11-12,28
2014-11-12,"3",338.158940999794,2014-10-16,2014-11-12,28
2014-11-12,"4",228.179996608779,2014-10-16,2014-11-12,28
2014-11-12,"5",508.351968614576,2014-10-16,2014-11-12,28
2014-11-12,"6",393.129238317148,2014-10-16,2014-11-12,28
2014-12-16,"1",452.552199331849,2014-11-12,2014-12-16,35
2014-12-16,"2",392.242422048817,2014-11-12,2014-12-16,35
2014-12-16,"3",323.529227760476,2014-11-12,2014-12-16,35
2014-12-16,"4",292.860169498978,2014-11-12,2014-12-16,35
2014-12-16,"5",478.419537831366,2014-11-12,2014-12-16,35
2014-12-16,"6",883.288553577557,2014-11-12,2014-12-16,35
2015-01-13,"1",690.006540564157,2014-12-16,2015-01-13,29
2015-01-13,"2",611.51720365317,2014-12-16,2015-01-13,29
2015-01-13,"3",1127.41194993601,2014-12-16,2015-01-13,29
2015-01-13,"4",483.759561428271,2014-12-16,2015-01-13,29
2015-01-13,"5",967.358033845749,2014-12-16,2015-01-13,29
2015-01-13,"6",1046.13650290009,2014-12-16,2015-01-13,29
2015-01-29,"3",NA,NA,NA,NA
2015-01-29,"5",NA,NA,NA,NA
2015-01-30,"4",NA,NA,NA,NA
2015-01-30,"6",NA,NA,NA,NA
2015-02-02,"1",NA,NA,NA,NA
2015-02-02,"2",NA,NA,NA,NA
2015-02-03,"3",NA,NA,NA,NA
2015-02-06,"2",NA,NA,NA,NA
2015-02-06,"5",NA,NA,NA,NA
2015-02-10,"1",NA,NA,NA,NA
2015-02-10,"4",NA,NA,NA,NA
2015-02-11,"1",991.730197568539,2015-01-13,2015-02-11,30
2015-02-11,"2",891.563306417192,2015-01-13,2015-02-11,30
2015-02-11,"3",1060.36672052411,2015-01-13,2015-02-11,30
2015-02-11,"4",384.812859061279,2015-01-13,2015-02-11,30
2015-02-11,"5",745.60094805965,2015-01-13,2015-02-11,30
2015-02-11,"6",880.661130466289,2015-01-13,2015-02-11,30
2015-03-12,"1",1373.89788069577,2015-02-11,2015-03-12,30
2015-03-12,"2",1079.59284362634,2015-02-11,2015-03-12,30
2015-03-12,"3",1039.67815571786,2015-02-11,2015-03-12,30
2015-03-12,"4",1005.15430117893,2015-02-11,2015-03-12,30
2015-03-12,"5",1192.41353196133,2015-02-11,2015-03-12,30
2015-03-12,"6",891.567742538186,2015-02-11,2015-03-12,30
2015-04-14,"3",NA,NA,NA,NA
2015-04-14,"4",NA,NA,NA,NA
