"Date","Ring","Depth","microbial_p_g_m2"
"2014-09-09",1,"0_10",3.83873556722251
"2015-06-09",1,"0_10",3.34804042482084
"2017-09-01",1,"0_10",3.74477461785834
"2015-03-10",1,"0_10",0.60083315763978
"2014-11-17",1,"0_10",1.44254311529534
"2015-09-09",1,"0_10",2.86688024349501
"2015-11-30",1,"0_10",2.98465409783334
"2015-03-10",1,"10_30",0.579703755131813
"2017-09-01",1,"10_30",3.61308273435249
"2015-09-09",1,"10_30",2.76606112950852
"2014-09-09",1,"10_30",3.7037393742026
"2015-11-30",1,"10_30",2.87969324975381
"2015-06-09",1,"10_30",3.23030042853489
"2014-11-17",1,"10_30",1.39181343479983
"2017-09-01",1,"transition",1.667039091336
"2015-03-10",1,"transition",0.267469330832301
"2015-09-09",1,"transition",1.27623206301753
"2015-11-30",1,"transition",1.32866075076366
"2015-06-09",1,"transition",1.49042728524514
"2014-11-17",1,"transition",0.642168357120046
"2014-09-09",1,"transition",1.70886712950474
"2015-09-09",2,"0_10",2.55481753736333
"2015-11-30",2,"0_10",2.56232945947999
"2017-09-01",2,"0_10",4.47776473359999
"2015-06-09",2,"0_10",2.62764825665999
"2015-03-10",2,"0_10",0.646514900675998
"2014-11-17",2,"0_10",1.36948157215266
"2014-09-09",2,"0_10",3.18364796913333
"2014-11-17",2,"10_30",0.891452102276862
"2015-03-10",2,"10_30",0.420843243954719
"2014-09-09",2,"10_30",2.07236791841767
"2015-06-09",2,"10_30",1.71044474790681
"2017-09-01",2,"10_30",2.9147619555
"2015-09-09",2,"10_30",1.66303622547939
"2015-11-30",2,"10_30",1.66792604575825
"2014-09-09",2,"transition",0.770997806848618
"2017-09-01",2,"transition",1.08439966436662
"2014-11-17",2,"transition",0.331653279158478
"2015-09-09",2,"transition",0.61871121974008
"2015-11-30",2,"transition",0.620530414429105
"2015-06-09",2,"transition",0.636348950228299
"2015-03-10",2,"transition",0.156569311478191
"2017-09-01",3,"0_10",6.1598334816
"2015-09-09",3,"0_10",3.20592369816
"2015-11-30",3,"0_10",3.28682556468
"2014-09-09",3,"0_10",5.1671380158
"2015-06-09",3,"0_10",3.74605111116
"2015-03-10",3,"0_10",1.477049227128
"2014-11-17",3,"0_10",1.840562334936
"2015-09-09",3,"10_30",1.58355372509352
"2015-11-30",3,"10_30",1.62351489203218
"2015-06-09",3,"10_30",1.8503475908902
"2017-09-01",3,"10_30",3.04262614276875
"2015-03-10",3,"10_30",0.729582805450888
"2014-11-17",3,"10_30",0.909138712012251
"2014-09-09",3,"10_30",2.55228802160471
"2015-03-10",3,"transition",0.150661431250058
"2014-11-17",3,"transition",0.187740361386327
"2015-06-09",3,"transition",0.382103325723704
"2014-09-09",3,"transition",0.527056508766956
"2015-09-09",3,"transition",0.327009448278468
"2017-09-01",3,"transition",0.6283130660475
"2015-11-30",3,"transition",0.335261570670085
"2014-11-17",4,"0_10",1.67614469923425
"2014-09-09",4,"0_10",3.9787848936675
"2015-03-10",4,"0_10",0.47822094577425
"2017-09-01",4,"0_10",4.2190202147625
"2015-06-09",4,"0_10",3.022395893895
"2015-11-30",4,"0_10",3.2059315785525
"2015-09-09",4,"0_10",2.6728996920675
"2017-09-01",4,"10_30",3.61302072192125
"2015-11-30",4,"10_30",2.74544719786889
"2015-09-09",4,"10_30",2.28897741263855
"2014-09-09",4,"10_30",3.40729163102556
"2015-06-09",4,"10_30",2.58827368408498
"2014-11-17",4,"10_30",1.43539144706675
"2015-03-10",4,"10_30",0.409531620799879
"2015-11-30",4,"transition",0.126537636212058
"2015-09-09",4,"transition",0.105498947990296
