"Date","Ring","Start_date","End_date","sapwood_p_retrans_flux","Days"
"2013-12-20",1,"2012-12-20","2013-12-20",-0.00104814191543974,365
"2014-12-23",1,"2013-12-20","2014-12-23",0.0520427226332669,368
"2015-12-14",1,"2014-12-23","2015-12-14",0.0283209056313907,356
"2016-12-21",1,"2015-12-14","2016-12-21",-0.0193349964658753,373
"2013-12-20",2,"2012-12-20","2013-12-20",0.0310584482672411,365
"2014-12-23",2,"2013-12-20","2014-12-23",0.0328666700005828,368
"2015-12-14",2,"2014-12-23","2015-12-14",0.0357391490600495,356
"2016-12-21",2,"2015-12-14","2016-12-21",0.0104752403767985,373
"2014-12-23",3,"2013-12-20","2014-12-23",0.0167569739897719,368
"2013-12-20",3,"2012-12-20","2013-12-20",0.0809918872840599,365
"2016-12-21",3,"2015-12-14","2016-12-21",0.0111395809445885,373
"2015-12-14",3,"2014-12-23","2015-12-14",0.0449604817013577,356
"2014-12-23",4,"2013-12-20","2014-12-23",0.0203148233620756,368
"2013-12-20",4,"2012-12-20","2013-12-20",0.0221455100359038,365
"2016-12-21",4,"2015-12-14","2016-12-21",-0.00284348641999087,373
"2015-12-14",4,"2014-12-23","2015-12-14",0.0138292014646676,356
"2013-12-20",5,"2012-12-20","2013-12-20",0.0701939042764768,365
"2014-12-23",5,"2013-12-20","2014-12-23",0.016086490026504,368
"2015-12-14",5,"2014-12-23","2015-12-14",0.0169022408496506,356
"2016-12-21",5,"2015-12-14","2016-12-21",0.0116363223982326,373
"2013-12-20",6,"2012-12-20","2013-12-20",0.024430982105207,365
"2014-12-23",6,"2013-12-20","2014-12-23",-0.000159002561676316,368
"2015-12-14",6,"2014-12-23","2015-12-14",0.0182272211386239,356
"2016-12-21",6,"2015-12-14","2016-12-21",0.0026821864246169,373
