"Date","Ring","Depth","PercP"
2014-09-09,1,"0_10",0.00259959519225
2014-09-09,1,"10_30",0.0010502096524204
2014-09-09,1,"transition",0.000312292969573235
2014-09-09,2,"0_10",0.002190583465
2014-09-09,2,"10_30",0.000575657755116019
2014-09-09,2,"transition",0.000138097404056711
2014-09-09,3,"0_10",0.00358829028875
2014-09-09,3,"10_30",0.00075288732200729
2014-09-09,3,"transition",0.000100048691869202
2014-09-09,4,"0_10",0.00270665639025
2014-09-09,4,"10_30",0.000981928423926673
2014-09-09,4,"transition",2.94251527218106e-05
2014-09-09,5,"0_10",0.003512452088
2014-09-09,5,"10_30",0.0010046488926438
2014-09-09,5,"transition",0.000261617749583884
2014-09-09,6,"0_10",0.004585974294
2014-09-09,6,"10_30",0.00110829697358632
2014-09-09,6,"transition",0.000187147232567971
2014-11-17,1,"0_10",0.0009768915002
2014-11-17,1,"10_30",0.000394654093043431
2014-11-17,1,"transition",0.000117355328421061
2014-11-17,2,"0_10",0.00094230383405
2014-11-17,2,"10_30",0.000247625583965795
2014-11-17,2,"transition",5.94041338274186e-05
2014-11-17,3,"0_10",0.00127816828815
2014-11-17,3,"10_30",0.000268182510918068
2014-11-17,3,"transition",3.5637881812135e-05
2014-11-17,4,"0_10",0.001140234489275
2014-11-17,4,"10_30",0.00041365747754085
2014-11-17,4,"transition",1.2395948782584e-05
2014-11-17,5,"0_10",0.0017915853275
2014-11-17,5,"10_30",0.000512438083212297
2014-11-17,5,"transition",0.00013344253809735
2014-11-17,6,"0_10",0.00217453363525
2014-11-17,6,"10_30",0.000525521708672105
2014-11-17,6,"transition",8.87396932197037e-05
2015-03-10,1,"0_10",0.000406884756866667
2015-03-10,1,"10_30",0.000164377246256658
2015-03-10,1,"transition",4.88796291725697e-05
2015-03-10,2,"0_10",0.0004448497023
2015-03-10,2,"10_30",0.000116900901098533
2015-03-10,2,"transition",2.80439390073779e-05
2015-03-10,3,"0_10",0.00102572862995
2015-03-10,3,"10_30",0.000215216166799672
2015-03-10,3,"transition",2.85993605258272e-05
2015-03-10,4,"0_10",0.000325320371275
2015-03-10,4,"10_30",0.000118020639999965
2015-03-10,4,"transition",3.5366888988073e-06
2015-03-10,5,"0_10",0.001119937518525
2015-03-10,5,"10_30",0.000320330059920346
2015-03-10,5,"transition",8.34162362732477e-05
2015-03-10,6,"0_10",0.00164520975275
2015-03-10,6,"10_30",0.000397599478975082
2015-03-10,6,"transition",6.71387217812867e-05
2015-06-09,1,"0_10",0.00226729599875
2015-06-09,1,"10_30",0.000915964204688533
2015-06-09,1,"transition",0.000272373407391291
2015-06-09,2,"0_10",0.0018080148555
2015-06-09,2,"10_30",0.000475123541085226
2015-06-09,2,"transition",0.000113979751070804
2015-06-09,3,"0_10",0.00260142438275
2015-06-09,3,"10_30",0.000545825248050206
2015-06-09,3,"transition",7.25329016180152e-05
2015-06-09,4,"0_10",0.0020560516285
2015-06-09,4,"10_30",0.000745900197142645
2015-06-09,4,"transition",2.23521660859774e-05
2015-06-09,5,"0_10",0.003273179859
2015-06-09,5,"10_30",0.000936211068046413
2015-06-09,5,"transition",0.000243796051089331
2015-06-09,6,"0_10",0.00358101934425
2015-06-09,6,"10_30",0.000865428510312173
2015-06-09,6,"transition",0.000146136418803214
2015-09-09,1,"0_10",0.0019414538895
2015-09-09,1,"10_30",0.000784327352412625
2015-09-09,1,"transition",0.000233229543680105
2015-09-09,2,"0_10",0.00175790197525
2015-09-09,2,"10_30",0.000461954507077607
2015-09-09,2,"transition",0.000110820565957385
2015-09-09,3,"0_10",0.0022263359015
2015-09-09,3,"10_30",0.000467124992652957
2015-09-09,3,"transition",6.20746864613644e-05
2015-09-09,4,"0_10",0.00181829911025
2015-09-09,4,"10_30",0.000659647669348285
2015-09-09,4,"transition",1.97674626176309e-05
2015-09-09,5,"0_10",0.00294357597933333
2015-09-09,5,"10_30",0.00084193613861762
2015-09-09,5,"transition",0.000219246185897686
2015-09-09,6,"0_10",0.003093039216
2015-09-09,6,"10_30",0.000747497866868026
2015-09-09,6,"transition",0.000126222628473069
2015-11-30,1,"0_10",0.00202121045
2015-11-30,1,"10_30",0.000816548180459493
2015-11-30,1,"transition",0.000242810809715581
2015-11-30,2,"0_10",0.001763070729
2015-11-30,2,"10_30",0.000463312790488402
2015-11-30,2,"transition",0.000111146411325292
2015-11-30,3,"0_10",0.00228251775325
2015-11-30,3,"10_30",0.000478912947502118
2015-11-30,3,"transition",6.36411485706312e-05
2015-11-30,4,"0_10",0.00218090583575
2015-11-30,4,"10_30",0.000791195157887287
2015-11-30,4,"transition",2.37095065040393e-05
2015-11-30,5,"0_10",0.00217400660333333
2015-11-30,5,"10_30",0.000621820105134239
2015-11-30,5,"transition",0.000161926398110223
2015-11-30,6,"0_10",0.0024217364155
2015-11-30,6,"10_30",0.000585263450698799
2015-11-30,6,"transition",9.88276948614538e-05
2017-09-01,1,"0_10",0.0025359647525
2017-09-01,1,"10_30",0.001024503610875
2017-09-01,1,"transition",0.00030464895675
2017-09-01,2,"0_10",0.00308103078
2017-09-01,2,"10_30",0.00080965609875
2017-09-01,2,"transition",0.000194232431375
2017-09-01,3,"0_10",0.00427766214
2017-09-01,3,"10_30",0.000897529835625
2017-09-01,3,"transition",0.000119269754375
2017-09-01,4,"0_10",0.00287008177875
2017-09-01,4,"10_30",0.001041216346375
2017-09-01,4,"transition",3.1201816e-05
2017-09-01,5,"0_10",0.0038762442
2017-09-01,5,"10_30",0.001108702509125
2017-09-01,5,"transition",0.00028871405475
2017-09-01,6,"0_10",0.00452514502
2017-09-01,6,"10_30",0.001093596302375
2017-09-01,6,"transition",0.0001846648745
