"Date","Ring","Depth","soil_carbon_pool"
2012-06-17,1,"0_10",1757.23333333333
2012-06-17,1,"10_30",2221.8
2012-06-17,1,"transition",938.530798802793
2012-06-17,2,"0_10",1500.56666666667
2012-06-17,2,"10_30",1872
2012-06-17,2,"transition",616.964854657743
2012-06-17,3,"0_10",1814.4
2012-06-17,3,"10_30",2000.1
2012-06-17,3,"transition",371.419514358374
2012-06-17,4,"0_10",1470
2012-06-17,4,"10_30",2420.325
2012-06-17,4,"transition",252.522334138017
2012-06-17,5,"0_10",2352.53333333333
2012-06-17,5,"10_30",3123.15
2012-06-17,5,"transition",957.823997198172
2012-06-17,6,"0_10",2067.13333333333
2012-06-17,6,"10_30",2529.625
2012-06-17,6,"transition",1264.64088412832
2012-09-03,1,"0_10",2329.44166666667
2012-09-03,1,"10_30",1460.07923079481
2012-09-03,1,"transition",1244.14481942135
2012-09-03,2,"0_10",1736.73333333333
2012-09-03,2,"10_30",1304.989721482
2012-09-03,2,"transition",714.065860838744
2012-09-03,3,"0_10",1933.2
2012-09-03,3,"10_30",1387.97579213933
2012-09-03,3,"transition",395.738649227077
2012-09-03,4,"0_10",1877.925
2012-09-03,4,"10_30",1391.95739254696
2012-09-03,4,"transition",322.597281861317
2012-09-03,5,"0_10",2185.33333333333
2012-09-03,5,"10_30",2045.69957149638
2012-09-03,5,"transition",889.749224329973
2012-09-03,6,"0_10",2548.56666666667
2012-09-03,6,"10_30",2828.67397530604
2012-09-03,6,"transition",1559.17451023639
2013-03-11,1,"0_10",1808.91666666667
2013-03-11,1,"10_30",1133.81746923844
2013-03-11,1,"transition",966.134645826405
2013-03-11,2,"0_10",1613.2
2013-03-11,2,"10_30",1212.16618480755
2013-03-11,2,"transition",663.274565297912
2013-03-11,3,"0_10",1764
2013-03-11,3,"10_30",1266.49560176587
2013-03-11,3,"transition",361.102305626197
2013-03-11,4,"0_10",1958.775
2013-03-11,4,"10_30",1451.88510807736
2013-03-11,4,"transition",336.486010238908
2013-03-11,5,"0_10",2232.26666666667
2013-03-11,5,"10_30",2089.63405893791
2013-03-11,5,"transition",908.857932503502
2013-03-11,6,"0_10",2252.3
2013-03-11,6,"10_30",2499.84529653862
2013-03-11,6,"transition",1377.92304801604
2013-06-11,1,"0_10",1772
2013-06-11,1,"10_30",1291.64166666667
2013-06-11,1,"transition",946.417612238111
2013-06-11,2,"0_10",1329.8
2013-06-11,2,"10_30",1161
2013-06-11,2,"transition",546.753357880712
2013-06-11,3,"0_10",1818
2013-06-11,3,"10_30",1330.575
2013-06-11,3,"transition",372.156457839243
2013-06-11,4,"0_10",1760.325
2013-06-11,4,"10_30",1453.0625
2013-06-11,4,"transition",302.395495130276
2013-06-11,5,"0_10",2343.73333333333
2013-06-11,5,"10_30",2499.25833333333
2013-06-11,5,"transition",954.241114415635
2013-06-11,6,"0_10",2383.6
2013-06-11,6,"10_30",2315.25
2013-06-11,6,"transition",1458.25040059097
2013-09-03,1,"0_10",3108.38333333333
2013-09-03,1,"10_30",1948.3149165281
2013-09-03,1,"transition",1660.17422813435
2013-09-03,2,"0_10",2038.3
2013-09-03,2,"10_30",1531.58835512846
2013-09-03,2,"transition",838.056376423714
2013-09-03,3,"0_10",2728.8
2013-09-03,3,"10_30",1959.19115538475
2013-09-03,3,"transition",558.6031584993
2013-09-03,4,"0_10",2216.025
2013-09-03,4,"10_30",1642.56420294681
2013-09-03,4,"transition",380.677418713061
2013-09-03,5,"0_10",2590.13333333333
2013-09-03,5,"10_30",2424.6345256796
2013-09-03,5,"transition",1054.56183232667
2013-09-03,6,"0_10",3191.6
2013-09-03,6,"10_30",3542.38167581258
2013-09-03,6,"transition",1952.57257028282
2014-03-10,1,"0_10",1908.59166666667
2014-03-10,1,"10_30",1196.29312570668
2014-03-10,1,"transition",1019.3706365148
2014-03-10,2,"0_10",1773.06666666667
2014-03-10,2,"10_30",1332.29076168037
2014-03-10,2,"transition",729.004477174282
2014-03-10,3,"0_10",2340
2014-03-10,3,"10_30",1680.04518601594
2014-03-10,3,"transition",479.013262565363
2014-03-10,4,"0_10",1940.4
2014-03-10,4,"10_30",1438.26517272954
2014-03-10,4,"transition",333.329481062183
2014-03-10,5,"0_10",2848.26666666667
2014-03-10,5,"10_30",2666.27420660803
2014-03-10,5,"transition",1159.65972728108
2014-03-10,6,"0_10",3063.66666666667
2014-03-10,6,"10_30",3400.38747361756
2014-03-10,6,"transition",1874.30489341494
2014-06-17,1,"0_10",2011.95833333333
2014-06-17,1,"10_30",1697.20833333333
2014-06-17,1,"transition",1074.57833056202
2014-06-17,2,"0_10",1845.73333333333
2014-06-17,2,"10_30",1687.5
2014-06-17,2,"transition",758.881709845359
2014-06-17,3,"0_10",2462.4
2014-06-17,3,"10_30",1864.5
2014-06-17,3,"transition",504.069340914936
2014-06-17,4,"0_10",2091.075
2014-06-17,4,"10_30",2038.625
2014-06-17,4,"transition",359.213020311329
2014-06-17,5,"0_10",2824.8
2014-06-17,5,"10_30",2646.925
2014-06-17,5,"transition",1150.10537319431
2014-06-17,6,"0_10",2562.03333333333
2014-06-17,6,"10_30",2576.7875
2014-06-17,6,"transition",1567.41321306458
2014-09-09,1,"0_10",1679.70833333333
2014-09-09,1,"10_30",1052.83050714998
2014-09-09,1,"transition",897.125028267376
2014-09-09,2,"0_10",1464.23333333333
2014-09-09,2,"10_30",1100.23191999424
2014-09-09,2,"transition",602.026238322204
2014-09-09,3,"0_10",1947.6
2014-09-09,3,"10_30",1398.31453174558
2014-09-09,3,"transition",398.686423150556
2014-09-09,4,"0_10",1786.05
2014-09-09,4,"10_30",1323.85771580787
2014-09-09,4,"transition",306.814635977691
2014-09-09,5,"0_10",2399.46666666667
2014-09-09,5,"10_30",2246.15067044837
2014-09-09,5,"transition",976.932705371701
2014-09-09,6,"0_10",2420.63333333333
2014-09-09,6,"10_30",2686.67977311102
2014-09-09,6,"transition",1480.90683336851
2018-10-01,1,"0_10",2220.16833333333
2018-10-01,1,"10_30",1391.5874
2018-10-01,1,"transition",1185.7824
2018-10-01,2,"0_10",1412.53826666667
2018-10-01,2,"10_30",1061.388
2018-10-01,2,"transition",580.771575
2018-10-01,3,"0_10",2519.784
2018-10-01,3,"10_30",1809.12435
2018-10-01,3,"transition",515.81622
2018-10-01,4,"0_10",2648.8665
2018-10-01,4,"10_30",1963.3954
2018-10-01,4,"transition",455.03262
2018-10-01,5,"0_10",2554.52266666667
2018-10-01,5,"10_30",2391.29923333333
2018-10-01,5,"transition",1040.0631
2018-10-01,6,"0_10",2233.17733333333
2018-10-01,6,"10_30",2478.6209
2018-10-01,6,"transition",1366.22409
