"Date","Start_date","End_date","Ring","wood_p_flux","Days"
"2013-12-20","2012-12-20","2013-12-20",1,-0.00149734559348535,365
"2014-12-23","2013-12-20","2014-12-23",1,0.0743467466189527,368
"2015-12-14","2014-12-23","2015-12-14",1,0.0404584366162725,356
"2016-12-21","2015-12-14","2016-12-21",1,-0.027621423522679,373
"2013-12-20","2012-12-20","2013-12-20",2,0.0398185234195399,365
"2014-12-23","2013-12-20","2014-12-23",2,0.0421367564110036,368
"2015-12-14","2014-12-23","2015-12-14",2,0.0458194218718583,356
"2016-12-21","2015-12-14","2016-12-21",2,0.0134297953548699,373
"2014-12-23","2013-12-20","2014-12-23",3,0.025010408939958,368
"2013-12-20","2012-12-20","2013-12-20",3,0.120883413856806,365
"2016-12-21","2015-12-14","2016-12-21",3,0.0166262402158038,373
"2015-12-14","2014-12-23","2015-12-14",3,0.0671051965691906,356
"2014-12-23","2013-12-20","2014-12-23",4,0.0333029891181568,368
"2013-12-20","2012-12-20","2013-12-20",4,0.036304114812957,365
"2016-12-21","2015-12-14","2016-12-21",4,-0.00466145314752601,373
"2015-12-14","2014-12-23","2015-12-14",4,0.0226708220732256,356
"2013-12-20","2012-12-20","2013-12-20",5,0.0988646539105307,365
"2014-12-23","2013-12-20","2014-12-23",5,0.0226570282063436,368
"2015-12-14","2014-12-23","2015-12-14",5,0.0238059730276769,356
"2016-12-21","2015-12-14","2016-12-21",5,0.0163891864763839,373
"2013-12-20","2012-12-20","2013-12-20",6,0.0359279148605985,365
"2014-12-23","2013-12-20","2014-12-23",6,-0.000233827296582818,368
"2015-12-14","2014-12-23","2015-12-14",6,0.0268047369685646,356
"2016-12-21","2015-12-14","2016-12-21",6,0.0039443918009072,373
