Year,Ring,Treatment,Soil_P,Micro_P,Wood_C,GPP
2012,1,eCO2,0.31956297222222335,NA,5246.86206908219,NA
2012,2,Ambient,0.27271799999999935,NA,4935.11685413703,NA
2012,3,Ambient,0.227268,NA,4875.95212247542,NA
2012,4,eCO2,0.251468,NA,3321.70119205783,NA
2012,5,eCO2,0.19825422222222167,NA,6132.0651338772,NA
2012,6,Ambient,0.24058200000000066,NA,4988.86464127813,NA
2013,1,eCO2,0.32020593750000076,NA,5244.79187536392,1308.461259
2013,2,Ambient,0.24203449999999976,NA,4975.48841260406,1273.23145
2013,3,Ambient,0.198333,NA,5059.79564771598,1380.276697
2013,4,eCO2,0.2196088125,NA,3385.81894528774,1205.971289
2013,5,eCO2,0.228528666666666,NA,6264.08561362308,1995.746181
2013,6,Ambient,0.25680091666666727,NA,5042.02824646141,1420.099844
2014,1,eCO2,0.26049322916666723,2.6406393412589253,5348.42673428731,1888.019361
2014,2,Ambient,0.230171666666666,2.2765647706429952,5018.56154137975,1836.938449
2014,3,Ambient,0.1316835,3.503850175368,5098.14494142392,1550.742958
2014,4,eCO2,0.158704875,2.827464796450875,3445.11975363042,1733.789933
2014,5,eCO2,0.1871869999999995,3.11170195042666,6294.58970939103,2358.797226
2014,6,Ambient,0.213086553571429,4.552075339028345,5041.67940140411,1689.704789
2015,1,eCO2,0.2137936458333339,2.4501019809472426,5402.98432305774,1408.530683
2015,2,Ambient,0.2520170833333327,2.097827538544827,5063.87185856415,1431.101083
2015,3,Ambient,0.15795,2.928962400282,5197.68431633488,1319.277883
2015,4,eCO2,0.17323031249999998,2.3448620275723124,3484.1720742034,1315.005633
2015,5,eCO2,0.1812223809523803,2.789805321656215,6325.59553691962,2001.105687
2015,6,Ambient,0.20477750000000047,3.6161382585950075,5080.36515796646,1736.749143
2018,1,eCO2,0.506692378307668,NA,NA,NA
2018,2,Ambient,0.559538442962665,NA,NA,NA
2018,3,Ambient,0.53100956736,NA,NA,NA
2018,4,eCO2,0.444434212383,NA,NA,NA
2018,5,eCO2,0.466976524373332,NA,NA,NA
2018,6,Ambient,0.520932740304001,NA,NA,NA
