Date,Ring,Depth,microbial_p_g_m2
9/9/2014,1,0_10,3.838735567
6/9/2015,1,0_10,3.348040425
9/1/2017,1,0_10,3.744774618
3/10/2015,1,0_10,0.600833158
11/17/2014,1,0_10,1.442543115
9/9/2015,1,0_10,2.866880243
11/30/2015,1,0_10,2.984654098
3/10/2015,1,10_30,0.579703755
9/1/2017,1,10_30,3.613082734
9/9/2015,1,10_30,2.76606113
9/9/2014,1,10_30,3.703739374
11/30/2015,1,10_30,2.87969325
6/9/2015,1,10_30,3.230300429
11/17/2014,1,10_30,1.391813435
9/1/2017,1,transition,1.667039091
3/10/2015,1,transition,0.267469331
9/9/2015,1,transition,1.276232063
11/30/2015,1,transition,1.328660751
6/9/2015,1,transition,1.490427285
11/17/2014,1,transition,0.642168357
9/9/2014,1,transition,1.70886713
9/9/2015,2,0_10,2.554817537
11/30/2015,2,0_10,2.562329459
9/1/2017,2,0_10,4.477764734
6/9/2015,2,0_10,2.627648257
3/10/2015,2,0_10,0.646514901
11/17/2014,2,0_10,1.369481572
9/9/2014,2,0_10,3.183647969
11/17/2014,2,10_30,0.891452102
3/10/2015,2,10_30,0.420843244
9/9/2014,2,10_30,2.072367918
6/9/2015,2,10_30,1.710444748
9/1/2017,2,10_30,2.914761956
9/9/2015,2,10_30,1.663036225
11/30/2015,2,10_30,1.667926046
9/9/2014,2,transition,0.770997807
9/1/2017,2,transition,1.084399664
11/17/2014,2,transition,0.331653279
9/9/2015,2,transition,0.61871122
11/30/2015,2,transition,0.620530414
6/9/2015,2,transition,0.63634895
3/10/2015,2,transition,0.156569311
9/1/2017,3,0_10,6.159833482
9/9/2015,3,0_10,3.205923698
11/30/2015,3,0_10,3.286825565
9/9/2014,3,0_10,5.167138016
6/9/2015,3,0_10,3.746051111
3/10/2015,3,0_10,1.477049227
11/17/2014,3,0_10,1.840562335
9/9/2015,3,10_30,1.583553725
11/30/2015,3,10_30,1.623514892
6/9/2015,3,10_30,1.850347591
9/1/2017,3,10_30,3.042626143
3/10/2015,3,10_30,0.729582805
11/17/2014,3,10_30,0.909138712
9/9/2014,3,10_30,2.552288022
3/10/2015,3,transition,0.150661431
11/17/2014,3,transition,0.187740361
6/9/2015,3,transition,0.382103326
9/9/2014,3,transition,0.527056509
9/9/2015,3,transition,0.327009448
9/1/2017,3,transition,0.628313066
11/30/2015,3,transition,0.335261571
11/17/2014,4,0_10,1.676144699
9/9/2014,4,0_10,3.978784894
3/10/2015,4,0_10,0.478220946
9/1/2017,4,0_10,4.219020215
6/9/2015,4,0_10,3.022395894
11/30/2015,4,0_10,3.205931579
9/9/2015,4,0_10,2.672899692
9/1/2017,4,10_30,3.613020722
11/30/2015,4,10_30,2.745447198
9/9/2015,4,10_30,2.288977413
9/9/2014,4,10_30,3.407291631
6/9/2015,4,10_30,2.588273684
11/17/2014,4,10_30,1.435391447
3/10/2015,4,10_30,0.409531621
11/30/2015,4,transition,0.126537636
9/9/2015,4,transition,0.105498948
6/9/2015,4,transition,0.11929351
9/1/2017,4,transition,0.166524092
11/17/2014,4,transition,0.066157179
3/10/2015,4,transition,0.018875309
9/9/2014,4,transition,0.15704204
9/9/2015,5,0_10,3.453795816
6/9/2015,5,0_10,3.840531035
11/17/2014,5,0_10,2.102126784
3/10/2015,5,0_10,1.314060022
11/30/2015,5,0_10,2.550834415
9/9/2014,5,0_10,4.121277117
9/1/2017,5,0_10,4.548126528
11/17/2014,5,10_30,1.513400472
3/10/2015,5,10_30,0.946041444
9/9/2014,5,10_30,2.967063063
6/9/2015,5,10_30,2.764943354
9/1/2017,5,10_30,3.274368077
9/9/2015,5,10_30,2.486518063
11/30/2015,5,10_30,1.836442044
9/1/2017,5,transition,1.502756655
11/30/2015,5,transition,0.842826902
9/9/2015,5,transition,1.141176398
6/9/2015,5,transition,1.268958446
9/9/2014,5,transition,1.361720387
11/17/2014,5,transition,0.694568411
3/10/2015,5,transition,0.43418151
9/1/2017,6,0_10,6.09386196
11/30/2015,6,0_10,3.261271706
6/9/2015,6,0_10,4.822439384
11/17/2014,6,0_10,2.928371962
3/10/2015,6,0_10,2.215549134
9/9/2015,6,0_10,4.165292811
9/9/2014,6,0_10,6.175778716
11/30/2015,6,10_30,2.007453636
6/9/2015,6,10_30,2.96841979
11/17/2014,6,10_30,1.802539461
9/1/2017,6,10_30,3.751035317
3/10/2015,6,10_30,1.363766213
9/9/2014,6,10_30,3.801458619
9/9/2015,6,10_30,2.563917683
11/17/2014,6,transition,0.473337524
3/10/2015,6,transition,0.358117942
11/30/2015,6,transition,0.527146924
9/9/2015,6,transition,0.6732715
9/9/2014,6,transition,0.998243339
6/9/2015,6,transition,0.779491658
9/1/2017,6,transition,0.985002441
