Date,Ring,wood_pool,sap_pool,heart_pool
20/12/2012,1,5246.862069,1387.358522,3859.503547
20/12/2012,2,4935.116854,1276.955296,3658.161558
20/12/2012,3,4875.952122,1354.980285,3520.971838
20/12/2012,4,3321.701192,1052.722353,2268.978839
20/12/2012,5,6132.065134,1633.45174,4498.613394
20/12/2012,6,4988.864641,1158.343046,3830.521595
20/12/2013,1,5244.791875,1385.605883,3859.185993
20/12/2013,2,4975.488413,1282.554211,3692.934202
20/12/2013,3,5059.795648,1390.422108,3669.37354
20/12/2013,4,3385.818945,1066.389403,2319.429542
20/12/2013,5,6264.085614,1659.255362,4604.830251
20/12/2013,6,5042.028246,1167.268521,3874.759725
23/12/2014,1,5348.426734,1404.457083,3943.969651
23/12/2014,2,5018.561541,1288.625503,3729.936038
23/12/2014,3,5098.144941,1397.02783,3701.117112
23/12/2014,4,3445.119754,1078.954152,2366.165601
23/12/2014,5,6294.589709,1664.972799,4629.61691
23/12/2014,6,5041.679401,1167.27915,3874.400251
14/12/2015,1,5402.984323,1414.478432,3988.505891
14/12/2015,2,5063.871859,1295.75953,3768.112328
14/12/2015,3,5197.684316,1415.540683,3782.143634
14/12/2015,4,3484.172074,1087.345442,2396.826633
14/12/2015,5,6325.595537,1671.208838,4654.386699
14/12/2015,6,5080.365158,1173.413947,3906.951211
21/12/2016,1,5363.9586,1407.230077,3956.728523
21/12/2016,2,5077.786619,1298.093808,3779.692811
21/12/2016,3,5223.524265,1420.398883,3803.125382
21/12/2016,4,3475.758903,1085.135396,2390.623506
21/12/2016,5,6347.96078,1675.307579,4672.653201
21/12/2016,6,5086.329718,1173.907705,3912.422013
