"Date","Start_date","End_date","Ring","barklitter_p_flux_mg_m2_d","Days"
"2012-10-09",2012-09-14,2012-10-09,1,0.00347043961596766,25
"2012-10-09",2012-09-14,2012-10-09,2,0.00968974229408792,25
"2012-10-09",2012-09-14,2012-10-09,3,0.0110641738251642,25
"2012-10-09",2012-09-14,2012-10-09,4,0.00498231430015159,25
"2012-10-09",2012-09-14,2012-10-09,5,0.00649418898433552,25
"2012-10-09",2012-09-14,2012-10-09,6,0.0059100555836281,25
"2012-11-13",2012-10-09,2012-11-13,1,0.0236383815779976,35
"2012-11-13",2012-10-09,2012-11-13,2,0.000986385182949104,35
"2012-11-13",2012-10-09,2012-11-13,3,0.0100539703685232,35
"2012-11-13",2012-10-09,2012-11-13,4,0.0025310402078972,35
"2012-11-13",2012-10-09,2012-11-13,5,0.00103054474580498,35
"2012-11-13",2012-10-09,2012-11-13,6,0.00745599356008654,35
"2012-12-11",2012-11-13,2012-12-11,1,0.00441014581679058,28
"2012-12-11",2012-11-13,2012-12-11,2,0.0184459142424025,28
"2012-12-11",2012-11-13,2012-12-11,3,0.00830257886378402,28
"2012-12-11",2012-11-13,2012-12-11,4,0.0144384339132318,28
"2012-12-11",2012-11-13,2012-12-11,5,0.022932758247311,28
"2012-12-11",2012-11-13,2012-12-11,6,0.044945138237205,28
"2013-01-08",2012-12-11,2013-01-08,1,0.0227793618710748,28
"2013-01-08",2012-12-11,2013-01-08,2,0.0465366256406555,28
"2013-01-08",2012-12-11,2013-01-08,3,0.0228752346062226,28
"2013-01-08",2012-12-11,2013-01-08,4,0.0267868422002455,28
"2013-01-08",2012-12-11,2013-01-08,5,0.0601889031256767,28
"2013-01-08",2012-12-11,2013-01-08,6,0.0273812531581607,28
"2013-02-20",2013-01-08,2013-02-20,1,0.023972642983889,43
"2013-02-20",2013-01-08,2013-02-20,2,0.0306774915684454,43
"2013-02-20",2013-01-08,2013-02-20,3,0.0311894073821639,43
"2013-02-20",2013-01-08,2013-02-20,4,0.00993865823707064,43
"2013-02-20",2013-01-08,2013-02-20,5,0.0520406124775257,43
