"Date","Ring","Start_date","End_date","canopy_p_retrans_flux","Days"
"2012-10-09",1,"2012-09-14","2012-10-09",0.415436278857785,26
"2012-10-09",2,"2012-09-14","2012-10-09",0.683423572474454,26
"2012-10-09",3,"2012-09-14","2012-10-09",0.732406421488329,26
"2012-10-09",4,"2012-09-14","2012-10-09",0.494011540128749,26
"2012-10-09",5,"2012-09-14","2012-10-09",0.637906485148691,26
"2012-10-09",6,"2012-09-14","2012-10-09",0.670421814798238,26
"2012-11-13",1,"2012-10-09","2012-11-13",0.417673023480771,36
"2012-11-13",2,"2012-10-09","2012-11-13",0.538513006476228,36
"2012-11-13",3,"2012-10-09","2012-11-13",0.712999421355098,36
"2012-11-13",4,"2012-10-09","2012-11-13",0.591667045840804,36
"2012-11-13",5,"2012-10-09","2012-11-13",0.678679459791158,36
"2012-11-13",6,"2012-10-09","2012-11-13",0.488964956343751,36
"2012-12-11",1,"2012-11-13","2012-12-11",0.413664624305205,29
"2012-12-11",2,"2012-11-13","2012-12-11",0.606957707675965,29
"2012-12-11",3,"2012-11-13","2012-12-11",0.486654507167521,29
"2012-12-11",4,"2012-11-13","2012-12-11",0.385666285908395,29
"2012-12-11",5,"2012-11-13","2012-12-11",0.753233830466678,29
"2012-12-11",6,"2012-11-13","2012-12-11",0.669842696431149,29
"2013-01-08",1,"2012-12-11","2013-01-08",0.176762535169378,29
"2013-01-08",2,"2012-12-11","2013-01-08",0.390650227878091,29
"2013-01-08",3,"2012-12-11","2013-01-08",0.465388636684578,29
"2013-01-08",4,"2012-12-11","2013-01-08",0.27602636993262,29
"2013-01-08",5,"2012-12-11","2013-01-08",0.519091010011766,29
"2013-01-08",6,"2012-12-11","2013-01-08",0.457731111105382,29
"2013-02-20",1,"2013-01-08","2013-02-20",0.125498675661304,44
"2013-02-20",2,"2013-01-08","2013-02-20",0.196851827654096,44
"2013-02-20",3,"2013-01-08","2013-02-20",0.118505217909372,44
"2013-02-20",4,"2013-01-08","2013-02-20",0.133549058808741,44
"2013-02-20",5,"2013-01-08","2013-02-20",0.202829595740566,44
"2013-02-20",6,"2013-01-08","2013-02-20",0.222822657998268,44
"2013-03-14",1,"2013-02-20","2013-03-14",0.284970651665019,23
"2013-03-14",2,"2013-02-20","2013-03-14",0.414824693167553,23
"2013-03-14",3,"2013-02-20","2013-03-14",0.370157728865873,23
"2013-03-14",4,"2013-02-20","2013-03-14",0.366703926748295,23
"2013-03-14",5,"2013-02-20","2013-03-14",0.233969579907908,23
"2013-03-14",6,"2013-02-20","2013-03-14",0.183280579362254,23
"2013-04-09",1,"2013-03-14","2013-04-09",0.295234331588642,27
"2013-04-09",2,"2013-03-14","2013-04-09",0.419017530630197,27
"2013-04-09",3,"2013-03-14","2013-04-09",0.142993293384127,27
"2013-04-09",4,"2013-03-14","2013-04-09",0.173387768402319,27
"2013-04-09",5,"2013-03-14","2013-04-09",0.273526641953512,27
"2013-04-09",6,"2013-03-14","2013-04-09",0.194086139790218,27
"2013-05-13",1,"2013-04-09","2013-05-13",0.186055953825117,35
"2013-05-13",2,"2013-04-09","2013-05-13",0.144085951673398,35
"2013-05-13",3,"2013-04-09","2013-05-13",0.0892134109336173,35
"2013-05-13",4,"2013-04-09","2013-05-13",0.0883582929275904,35
"2013-05-13",5,"2013-04-09","2013-05-13",0.130471452296597,35
"2013-05-13",6,"2013-04-09","2013-05-13",0.095138336247039,35
"2013-06-14",1,"2013-05-13","2013-06-14",0.127710828028165,33
"2013-06-14",2,"2013-05-13","2013-06-14",0.160211720025164,33
"2013-06-14",3,"2013-05-13","2013-06-14",0.0794677655067162,33
"2013-06-14",4,"2013-05-13","2013-06-14",0.0802011898677952,33
"2013-06-14",5,"2013-05-13","2013-06-14",0.0992207233279539,33
"2013-06-14",6,"2013-05-13","2013-06-14",0.117125355045939,33
"2013-07-08",1,"2013-06-14","2013-07-08",0.112467874697929,25
"2013-07-08",2,"2013-06-14","2013-07-08",0.151622558042867,25
"2013-07-08",3,"2013-06-14","2013-07-08",0.0773868086243492,25
"2013-07-08",4,"2013-06-14","2013-07-08",0.0836026738779849,25
"2013-07-08",5,"2013-06-14","2013-07-08",0.0955217080078836,25
"2013-07-08",6,"2013-06-14","2013-07-08",0.139472880000755,25
"2013-08-15",1,"2013-07-08","2013-08-15",0.257945513631079,39
"2013-08-15",2,"2013-07-08","2013-08-15",0.322616321888631,39
"2013-08-15",3,"2013-07-08","2013-08-15",0.197167457062928,39
"2013-08-15",4,"2013-07-08","2013-08-15",0.232011852461532,39
"2013-08-15",5,"2013-07-08","2013-08-15",0.227794575940801,39
"2013-08-15",6,"2013-07-08","2013-08-15",0.225308456412158,39
"2013-09-10",1,"2013-08-15","2013-09-10",0.368571858939347,27
"2013-09-10",2,"2013-08-15","2013-09-10",0.34196177972356,27
"2013-09-10",3,"2013-08-15","2013-09-10",0.260326580877278,27
"2013-09-10",4,"2013-08-15","2013-09-10",0.259091627005738,27
"2013-09-10",5,"2013-08-15","2013-09-10",0.366284884309225,27
"2013-09-10",6,"2013-08-15","2013-09-10",0.329195602564179,27
"2013-10-09",1,"2013-09-10","2013-10-09",0.34983997818848,30
"2013-10-09",2,"2013-09-10","2013-10-09",0.49198076034486,30
"2013-10-09",3,"2013-09-10","2013-10-09",0.393986919357338,30
"2013-10-09",4,"2013-09-10","2013-10-09",0.405859098959636,30
"2013-10-09",5,"2013-09-10","2013-10-09",0.448799296356091,30
"2013-10-09",6,"2013-09-10","2013-10-09",0.414343887440042,30
"2013-11-11",1,"2013-10-09","2013-11-11",0.181362456608962,34
"2013-11-11",2,"2013-10-09","2013-11-11",0.404164495478569,34
"2013-11-11",3,"2013-10-09","2013-11-11",0.45978439308158,34
"2013-11-11",4,"2013-10-09","2013-11-11",0.339371518104001,34
"2013-11-11",5,"2013-10-09","2013-11-11",0.484901323671407,34
"2013-11-11",6,"2013-10-09","2013-11-11",0.410877128903754,34
"2013-12-12",1,"2013-11-11","2013-12-12",0.0685478270891672,32
"2013-12-12",2,"2013-11-11","2013-12-12",0.134808945793605,32
"2013-12-12",3,"2013-11-11","2013-12-12",0.234786296932858,32
"2013-12-12",4,"2013-11-11","2013-12-12",0.144291437720118,32
"2013-12-12",5,"2013-11-11","2013-12-12",0.286080447138103,32
"2013-12-12",6,"2013-11-11","2013-12-12",0.209234303097333,32
"2014-01-14",1,"2013-12-12","2014-01-14",0.80753952623063,34
"2014-01-14",2,"2013-12-12","2014-01-14",1.03925228451624,34
"2014-01-14",3,"2013-12-12","2014-01-14",1.09095642316238,34
"2014-01-14",4,"2013-12-12","2014-01-14",0.843981821686262,34
"2014-01-14",5,"2013-12-12","2014-01-14",1.2494479990177,34
"2014-01-14",6,"2013-12-12","2014-01-14",1.09207625196137,34
"2014-02-26",1,"2014-01-14","2014-02-26",0.20071193711192,44
"2014-02-26",2,"2014-01-14","2014-02-26",0.477973672935889,44
"2014-02-26",3,"2014-01-14","2014-02-26",0.391697034374604,44
"2014-02-26",4,"2014-01-14","2014-02-26",0.424097777833515,44
"2014-02-26",5,"2014-01-14","2014-02-26",0.367891787970701,44
"2014-02-26",6,"2014-01-14","2014-02-26",0.497559736164249,44
"2014-03-13",1,"2014-02-26","2014-03-13",0.107475423975862,16
"2014-03-13",2,"2014-02-26","2014-03-13",0.281039229150504,16
"2014-03-13",3,"2014-02-26","2014-03-13",0.181483133980322,16
"2014-03-13",4,"2014-02-26","2014-03-13",0.115665168411833,16
"2014-03-13",5,"2014-02-26","2014-03-13",0.134312657375982,16
"2014-03-13",6,"2014-02-26","2014-03-13",0.217044722197224,16
"2014-04-14",1,"2014-03-13","2014-04-14",0.134784231122821,33
"2014-04-14",2,"2014-03-13","2014-04-14",0.210902606961438,33
"2014-04-14",3,"2014-03-13","2014-04-14",0.228091180075459,33
