"Date","Start_date","End_date","Ring","fineroot_litter_p_flux","Days"
"2014-01-01","2014-01-01","2014-12-31",1,0.186948131786098,365
"2014-01-01","2014-01-01","2014-12-31",2,0.176653996640819,365
"2014-01-01","2014-01-01","2014-12-31",3,0.225602177872728,365
"2014-01-01","2014-01-01","2014-12-31",4,0.210846824113243,365
"2014-01-01","2014-01-01","2014-12-31",5,0.223668206341306,365
"2014-01-01","2014-01-01","2014-12-31",6,0.16612214666965,365
"2015-01-01","2015-01-01","2015-12-31",1,0.15411662468494,365
"2015-01-01","2015-01-01","2015-12-31",2,0.122564448668612,365
"2015-01-01","2015-01-01","2015-12-31",3,0.158097613982523,365
"2015-01-01","2015-01-01","2015-12-31",4,0.124741304799652,365
"2015-01-01","2015-01-01","2015-12-31",5,0.149096321242377,365
"2015-01-01","2015-01-01","2015-12-31",6,0.151796507569278,365
"2016-01-01","2016-01-01","2016-12-31",1,0.122093712861702,365
"2016-01-01","2016-01-01","2016-12-31",2,0.125504587933614,365
"2016-01-01","2016-01-01","2016-12-31",3,0.162457960826662,365
"2016-01-01","2016-01-01","2016-12-31",4,0.131033805231434,365
"2016-01-01","2016-01-01","2016-12-31",5,0.185301858846197,365
"2016-01-01","2016-01-01","2016-12-31",6,0.124177659363451,365
