"Date","Start_date","End_date","Ring","twiglitter_p_flux_mg_m2_d","Days"
"2012-10-09",2012-09-14,2012-10-09,1,0.027300656897423,25
"2012-10-09",2012-09-14,2012-10-09,2,0.00974835775644264,25
"2012-10-09",2012-09-14,2012-10-09,3,0.0127175341081354,25
"2012-10-09",2012-09-14,2012-10-09,4,0.00454573016675089,25
"2012-10-09",2012-09-14,2012-10-09,5,0.00964325416877211,25
"2012-10-09",2012-09-14,2012-10-09,6,0.00935421930267812,25
"2012-11-13",2012-10-09,2012-11-13,1,0.0544083821686146,35
"2012-11-13",2012-10-09,2012-11-13,2,0.0151292576381005,35
"2012-11-13",2012-10-09,2012-11-13,3,0.025357378010233,35
"2012-11-13",2012-10-09,2012-11-13,4,0.0118088686620774,35
"2012-11-13",2012-10-09,2012-11-13,5,0.0202870398929015,35
"2012-11-13",2012-10-09,2012-11-13,6,0.00853042443492166,35
"2012-12-11",2012-11-13,2012-12-11,1,0.0274635909189346,28
"2012-12-11",2012-11-13,2012-12-11,2,0.0369064913737096,28
"2012-12-11",2012-11-13,2012-12-11,3,0.0719947845232079,28
"2012-12-11",2012-11-13,2012-12-11,4,0.045909505161337,28
"2012-12-11",2012-11-13,2012-12-11,5,0.0833291976467192,28
"2012-12-11",2012-11-13,2012-12-11,6,0.0855286309824587,28
"2013-01-08",2012-12-11,2013-01-08,1,0.0461734371616257,28
"2013-01-08",2012-12-11,2013-01-08,2,0.0450443947159459,28
"2013-01-08",2012-12-11,2013-01-08,3,0.0290911715873818,28
"2013-01-08",2012-12-11,2013-01-08,4,0.0324049844798961,28
"2013-01-08",2012-12-11,2013-01-08,5,0.0598392496210207,28
"2013-01-08",2012-12-11,2013-01-08,6,0.0416132787121923,28
"2013-02-20",2013-01-08,2013-02-20,1,0.0116484717440098,43
"2013-02-20",2013-01-08,2013-02-20,2,0.0280613593898728,43
"2013-02-20",2013-01-08,2013-02-20,3,0.0129278940503191,43
"2013-02-20",2013-01-08,2013-02-20,4,0.020317990058404,43
"2013-02-20",2013-01-08,2013-02-20,5,0.0225903968412517,43
"2013-02-20",2013-01-08,2013-02-20,6,0.0292834941302279,43
"2013-03-14",2013-02-20,2013-03-14,1,0.0190777277576166,22
"2013-03-14",2013-02-20,2013-03-14,2,0.0139673643968742,22
"2013-03-14",2013-02-20,2013-03-14,3,0.0267421945580106,22
"2013-03-14",2013-02-20,2013-03-14,4,0.00686723220073397,22
"2013-03-14",2013-02-20,2013-03-14,5,0.0177146656050143,22
"2013-03-14",2013-02-20,2013-03-14,6,0.0135697423961698,22
"2013-04-09",2013-03-14,2013-04-09,1,0.00634411318847903,26
"2013-04-09",2013-03-14,2013-04-09,2,0.0218807197799113,26
"2013-04-09",2013-03-14,2013-04-09,3,0.0110361574308012,26
"2013-04-09",2013-03-14,2013-04-09,4,0.00242813429902868,26
"2013-04-09",2013-03-14,2013-04-09,5,0.0177388973106507,26
"2013-04-09",2013-03-14,2013-04-09,6,0.0126893492785357,26
"2013-05-13",2013-04-09,2013-05-13,1,0.0237083081506141,34
"2013-05-13",2013-04-09,2013-05-13,2,0.00496826977380138,34
"2013-05-13",2013-04-09,2013-05-13,3,0.0115950982043483,34
"2013-05-13",2013-04-09,2013-05-13,4,0.0195028766096299,34
"2013-05-13",2013-04-09,2013-05-13,5,0.00725807250641541,34
"2013-05-13",2013-04-09,2013-05-13,6,0.00665527251830494,34
"2013-06-14",2013-05-13,2013-06-14,1,0.0135267268120824,32
"2013-06-14",2013-05-13,2013-06-14,2,0.01440795014317,32
"2013-06-14",2013-05-13,2013-06-14,3,0.00490620262758969,32
"2013-06-14",2013-05-13,2013-06-14,4,0.00385699146594801,32
"2013-06-14",2013-05-13,2013-06-14,5,0.0141235226826118,32
"2013-06-14",2013-05-13,2013-06-14,6,0.00676946479703554,32
"2013-07-08",2013-06-14,2013-07-08,1,0.0131376443396403,24
"2013-07-08",2013-06-14,2013-07-08,2,0.00120431194205828,24
"2013-07-08",2013-06-14,2013-07-08,3,0.00548798261374057,24
"2013-07-08",2013-06-14,2013-07-08,4,0.00074311520970187,24
"2013-07-08",2013-06-14,2013-07-08,5,0.0111033911627646,24
"2013-07-08",2013-06-14,2013-07-08,6,0.00412552869949282,24
"2013-08-15",2013-07-08,2013-08-15,1,0.0390306552130706,38
"2013-08-15",2013-07-08,2013-08-15,2,0.474530309477585,38
"2013-08-15",2013-07-08,2013-08-15,3,0.0251899033418142,38
"2013-08-15",2013-07-08,2013-08-15,4,0.0210187007437745,38
"2013-08-15",2013-07-08,2013-08-15,5,0.0209498417595277,38
"2013-08-15",2013-07-08,2013-08-15,6,0.0358903205884005,38
"2013-09-10",2013-08-15,2013-09-10,1,0.0187780023580933,26
"2013-09-10",2013-08-15,2013-09-10,2,0.0253622761214979,26
"2013-09-10",2013-08-15,2013-09-10,3,0.0271824995789119,26
"2013-09-10",2013-08-15,2013-09-10,4,0.0150468811408679,26
"2013-09-10",2013-08-15,2013-09-10,5,0.0400940430071304,26
"2013-09-10",2013-08-15,2013-09-10,6,0.0396733760035933,26
"2013-10-09",2013-09-10,2013-10-09,1,0.0240618254120371,29
