"Start_date","End_date","Date","Ring","understorey_litter_flux","Days"
2015-02-01,2015-08-01,2015-08-01,1,238.259668508287,182
2015-02-01,2015-08-01,2015-08-01,2,241.022099447514,182
2015-02-01,2015-08-01,2015-08-01,3,54.5580110497238,182
2015-02-01,2015-08-01,2015-08-01,4,335.635359116022,182
2015-02-01,2015-08-01,2015-08-01,5,219.613259668508,182
2015-02-01,2015-08-01,2015-08-01,6,162.983425414365,182
2015-08-01,2016-02-01,2016-02-01,1,406.25,185
2015-08-01,2016-02-01,2016-02-01,2,406.929347826087,185
2015-08-01,2016-02-01,2016-02-01,3,168.478260869565,185
2015-08-01,2016-02-01,2016-02-01,4,400.815217391304,185
2015-08-01,2016-02-01,2016-02-01,5,387.160326086957,185
2015-08-01,2016-02-01,2016-02-01,6,283.967391304348,185
2016-02-01,2016-07-01,2016-07-01,1,399.420529801325,152
2016-02-01,2016-07-01,2016-07-01,2,373.675496688742,152
2016-02-01,2016-07-01,2016-07-01,3,359.188741721854,152
2016-02-01,2016-07-01,2016-07-01,4,476.407284768212,152
2016-02-01,2016-07-01,2016-07-01,5,411.175496688742,152
2016-02-01,2016-07-01,2016-07-01,6,248.344370860927,152
2016-07-01,2017-05-01,2017-05-01,1,149.424342105263,305
2016-07-01,2017-05-01,2017-05-01,2,164.391447368421,305
2016-07-01,2017-05-01,2017-05-01,3,191.529605263158,305
2016-07-01,2017-05-01,2017-05-01,4,197.039473684211,305
2016-07-01,2017-05-01,2017-05-01,5,148.807565789474,305
2016-07-01,2017-05-01,2017-05-01,6,189.638157894737,305
