"Date","Start_date","End_date","Ring","understorey_p_flux","Days"
"2015-08-01","2015-02-01","2015-08-01",1,0.658293563535911,182
"2015-08-01","2015-02-01","2015-08-01",2,0.584162661141805,182
"2015-08-01","2015-02-01","2015-08-01",3,0.237939410681399,182
"2015-08-01","2015-02-01","2015-08-01",4,0.886408135359116,182
"2015-08-01","2015-02-01","2015-08-01",5,0.778799953959485,182
"2015-08-01","2015-02-01","2015-08-01",6,0.574110497237568,182
"2016-02-01","2015-08-01","2016-02-01",1,1.09401358695652,185
"2016-02-01","2015-08-01","2016-02-01",2,1.03746240942029,185
"2016-02-01","2015-08-01","2016-02-01",3,0.719602219202898,185
"2016-02-01","2015-08-01","2016-02-01",4,1.00041630434783,185
"2016-02-01","2015-08-01","2016-02-01",5,1.42424780344203,185
"2016-02-01","2015-08-01","2016-02-01",6,1.1475,185
"2016-07-01","2016-02-01","2016-07-01",1,0.790452268211921,152
"2016-07-01","2016-02-01","2016-07-01",2,0.913804939293598,152
"2016-07-01","2016-02-01","2016-07-01",3,1.05661727924945,152
"2016-07-01","2016-02-01","2016-07-01",4,1.27669685430464,152
"2016-07-01","2016-02-01","2016-07-01",5,1.19434342853201,152
"2016-07-01","2016-02-01","2016-07-01",6,0.735352649006622,152
"2017-05-01","2016-07-01","2017-05-01",1,0.587620805921053,305
"2017-05-01","2016-07-01","2017-05-01",2,0.638460718201755,305
"2017-05-01","2016-07-01","2017-05-01",3,0.791463788377192,305
"2017-05-01","2016-07-01","2017-05-01",4,0.718048766447369,305
"2017-05-01","2016-07-01","2017-05-01",5,0.648411842105263,305
"2017-05-01","2016-07-01","2017-05-01",6,0.702029605263157,305
