"Date","Ring","lai_variable"
"2012-10-26",1,1.0787
"2012-10-26",2,1.1701
"2012-10-26",3,1.13
"2012-10-26",4,1.0823
"2012-10-26",5,1.2045
"2012-10-26",6,1.2233
"2012-11-03",1,1.1204
"2012-11-03",2,1.2078
"2012-11-03",3,1.1971
"2012-11-03",4,1.0701
"2012-11-03",5,1.2938
"2012-11-03",6,1.2951
"2012-11-07",1,1.1275
"2012-11-07",2,1.2317
"2012-11-07",3,1.2594
"2012-11-07",4,1.1703
"2012-11-07",5,1.3404
"2012-11-07",6,1.3222
"2012-11-10",1,1.1547
"2012-11-10",2,1.2206
"2012-11-10",3,1.3403
"2012-11-10",4,1.2055
"2012-11-10",5,1.4166
"2012-11-10",6,1.3723
"2012-11-14",1,1.154
"2012-11-14",2,1.2389
"2012-11-14",3,1.376
"2012-11-14",4,1.2306
"2012-11-14",5,1.4164
"2012-11-14",6,1.3788
"2012-11-16",1,1.1725
"2012-11-16",2,1.266
"2012-11-16",3,1.3974
"2012-11-16",4,1.2709
"2012-11-16",5,1.4338
"2012-11-16",6,1.4139
"2012-11-22",1,1.1701
"2012-11-22",2,1.2509
"2012-11-22",3,1.4194
"2012-11-22",4,1.2776
"2012-11-22",5,1.4632
"2012-11-22",6,1.4325
"2012-11-28",1,1.2202
"2012-11-28",2,1.303
"2012-11-28",3,1.4844
"2012-11-28",4,1.3355
"2012-11-28",5,1.5419
"2012-11-28",6,1.4962
"2012-12-07",1,1.2619
"2012-12-07",2,1.3445
"2012-12-07",3,1.5249
"2012-12-07",4,1.3865
"2012-12-07",5,1.6338
"2012-12-07",6,1.6028
"2012-12-09",1,1.2635
"2012-12-09",2,1.3671
"2012-12-09",3,1.5288
"2012-12-09",4,1.3911
"2012-12-09",5,1.5446
"2012-12-09",6,1.6206
"2012-12-10",1,1.2638
"2012-12-10",2,1.329
"2012-12-10",3,1.5336
"2012-12-10",4,1.4079
"2012-12-10",5,1.6205
"2012-12-10",6,1.6036
"2012-12-11",1,1.2683
"2012-12-11",2,1.3304
"2012-12-11",3,1.5178
"2012-12-11",4,1.3883
"2012-12-11",5,1.6189
"2012-12-11",6,1.6116
"2012-12-14",1,1.2782
"2012-12-14",2,1.3487
"2012-12-14",3,1.5277
"2012-12-14",4,1.4135
"2012-12-14",5,1.6341
"2012-12-14",6,1.7108
"2012-12-15",1,1.2612
"2012-12-15",2,1.3239
"2012-12-15",3,1.512
"2012-12-15",4,1.4033
"2012-12-15",5,1.6294
"2012-12-15",6,1.6454
"2012-12-17",1,1.2686
"2012-12-17",2,1.3316
"2012-12-17",3,1.5418
"2012-12-17",4,1.4055
"2012-12-17",5,1.632
"2012-12-17",6,1.6374
"2012-12-19",1,1.2746
"2012-12-19",2,1.3294
"2012-12-19",3,1.5136
"2012-12-19",4,1.4107
"2012-12-19",5,1.6377
"2012-12-19",6,1.6424
"2012-12-21",1,1.2564
"2012-12-21",2,1.3225
"2012-12-21",3,1.5152
"2012-12-21",4,1.3871
"2012-12-21",5,1.6276
"2012-12-21",6,1.6356
"2012-12-22",1,1.2812
"2012-12-22",2,1.3119
"2012-12-22",3,1.5077
"2012-12-22",4,1.4101
"2012-12-22",5,1.6358
"2012-12-22",6,1.6125
"2012-12-23",1,1.3134
"2012-12-23",2,1.3772
"2012-12-23",3,1.6027
"2012-12-23",4,1.4437
"2012-12-23",5,1.6605
"2012-12-23",6,1.6622
"2012-12-26",1,1.2909
"2012-12-26",2,1.3566
"2012-12-26",3,1.5583
"2012-12-26",4,1.4013
"2012-12-26",5,1.6741
"2012-12-26",6,1.6214
"2013-01-03",1,1.382
"2013-01-03",2,1.4589
"2013-01-03",3,1.6493
"2013-01-03",4,1.5494
"2013-01-03",5,1.871
"2013-01-03",6,1.7534
"2013-01-13",1,1.2684
"2013-01-13",2,1.3352
