"Start_date","End_date","Date","Ring","delta","Depth"
2012,2013,2013,1,0.000642965277777796,"0_10"
2012,2013,2013,2,-0.0306834999999999,"0_10"
2012,2013,2013,3,-0.028935,"0_10"
2012,2013,2013,4,-0.0318591875,"0_10"
2012,2013,2013,5,0.0302744444444444,"0_10"
2012,2013,2013,6,0.0162189166666667,"0_10"
2013,2014,2014,1,-0.0597127083333335,"0_10"
2013,2014,2014,2,-0.0118628333333333,"0_10"
2013,2014,2014,3,-0.0666495,"0_10"
2013,2014,2014,4,-0.0609039375,"0_10"
2013,2014,2014,5,-0.0413416666666666,"0_10"
2013,2014,2014,6,-0.0437143630952383,"0_10"
2014,2015,2015,1,-0.0466995833333335,"0_10"
2014,2015,2015,2,0.0218454166666666,"0_10"
2014,2015,2015,3,0.0262665,"0_10"
2014,2015,2015,4,0.0145254375,"0_10"
2014,2015,2015,5,-0.00596461904761916,"0_10"
2014,2015,2015,6,-0.00830905357142855,"0_10"
2015,2018,2018,1,0.292898732474334,"0_10"
2015,2018,2018,2,0.307521359629333,"0_10"
2015,2018,2018,3,0.37305956736,"0_10"
2015,2018,2018,4,0.271203899883,"0_10"
2015,2018,2018,5,0.285754143420952,"0_10"
2015,2018,2018,6,0.316155240304001,"0_10"
2012,2013,2013,1,0.00144057114605722,"10_30"
2012,2013,2013,2,-0.0524342529850538,"10_30"
2012,2013,2013,3,-0.0591479491658152,"10_30"
2012,2013,2013,4,-0.0577779635045808,"10_30"
2012,2013,2013,5,0.0743420491146418,"10_30"
2012,2013,2013,6,0.0243504453784688,"10_30"
2013,2014,2014,1,-0.133787014090712,"10_30"
2013,2014,2014,2,-0.0202720942565063,"10_30"
2013,2014,2014,3,-0.136242655535752,"10_30"
2013,2014,2014,4,-0.110451827378217,"10_30"
2013,2014,2014,5,-0.101518765090948,"10_30"
2013,2014,2014,6,-0.0656310302766931,"10_30"
2014,2015,2015,1,-0.104630956924112,"10_30"
2014,2015,2015,2,0.0373310770956333,"10_30"
2014,2015,2015,3,0.0536930916455466,"10_30"
2014,2015,2015,4,0.026342485908125,"10_30"
2014,2015,2015,5,-0.0146467428329502,"10_30"
2014,2015,2015,6,-0.0124748871515979,"10_30"
2015,2018,2018,1,0.656242999897904,"10_30"
2015,2018,2018,2,0.525515432369577,"10_30"
2015,2018,2018,3,0.762595760360474,"10_30"
2015,2018,2018,4,0.491839568405184,"10_30"
2015,2018,2018,5,0.701699038735337,"10_30"
2015,2018,2018,6,0.474663078204322,"10_30"
