"Ring","Date","PercP"
1,2012-05-14,0.0730222333333333
1,2012-05-21,0.1047967
1,2013-02-14,0.0797153666666667
1,2013-05-02,0.0815258
1,2013-05-08,0.0961464
1,2013-09-19,0.0673580333333333
1,2013-11-13,0.06437735
1,2013-11-14,0.0699432
1,2014-01-30,0.0483339
1,2014-02-04,0.0492639
1,2014-04-29,0.0667696666666667
1,2015-02-02,0.061489925
1,2015-04-15,0.06170105
1,2016-02-02,0.05101895
1,2018-01-25,0.068302075
2,2012-05-10,0.0837844
2,2012-05-11,0.0862907
2,2012-05-18,0.07497525
2,2013-02-14,0.0840130666666667
2,2013-05-02,0.1005123
2,2013-09-19,0.0738350666666667
2,2013-11-13,0.07269485
2,2013-11-15,0.07263505
2,2014-01-30,0.0604099
2,2014-04-29,0.0828986
2,2015-02-02,0.0620165333333333
2,2015-02-06,0.0651051
2,2015-04-15,0.06986265
2,2016-02-02,0.0579133
2,2018-01-25,0.061781575
2,2018-02-08,0.0591753
3,2012-05-15,0.09175145
3,2013-02-15,0.077542
3,2013-05-07,0.0775420333333333
3,2013-09-12,0.0668394333333333
3,2013-11-14,0.0681302
3,2014-02-03,0.0575944
3,2014-04-30,0.0670665
3,2015-01-29,0.0597213666666667
3,2015-02-03,0.0470018
3,2015-04-14,0.07091424
3,2016-02-02,0.0592031
3,2018-01-24,0.0711043
3,2018-02-01,0.0717685
4,2012-05-17,0.0862727666666667
4,2013-02-13,0.0645198666666667
4,2013-05-07,0.0809909666666667
4,2013-09-13,0.0671205
4,2013-11-14,0.0671981666666667
4,2014-02-03,0.0622163666666667
4,2014-05-01,0.0767505
4,2015-01-30,0.0670498
4,2015-02-11,0.05718835
4,2015-04-14,0.06867375
4,2018-01-31,0.0619467333333333
4,2018-02-01,0.0718463
5,2012-05-10,0.0809571666666667
5,2013-02-15,0.0701582
5,2013-05-06,0.0860688666666667
5,2013-09-12,0.0731792
5,2013-11-15,0.07382185
5,2014-01-31,0.0580810333333333
5,2014-04-30,0.0759632666666667
5,2014-05-02,0.0614501
5,2015-01-29,0.0752932666666667
5,2015-02-11,0.07375325
5,2015-04-16,0.08517995
5,2016-02-02,0.0656382
5,2018-01-24,0.0636422
5,2018-01-25,0.0599243
5,2018-02-08,0.06495545
6,2012-05-21,0.0826414666666667
6,2013-02-13,0.0728659666666667
6,2013-05-06,0.0806533333333333
6,2013-09-13,0.0699248
6,2013-11-15,0.0689228333333333
6,2014-01-31,0.0516439
6,2014-05-01,0.0751516333333333
6,2015-01-30,0.05680895
6,2015-02-04,0.0562337
6,2015-04-16,0.0619569
6,2018-01-31,0.059406625
