"Date","Start_date","End_date","Ring","canopy_p_flux","Days"
"2012-11-13","2012-10-09","2012-11-13",1,1.05601021879474,36
"2012-11-13","2012-10-09","2012-11-13",2,1.24445668515057,36
"2012-11-13","2012-10-09","2012-11-13",3,1.45856223332801,36
"2012-11-13","2012-10-09","2012-11-13",4,1.25603796993049,36
"2012-11-13","2012-10-09","2012-11-13",5,1.71280587444473,36
"2012-11-13","2012-10-09","2012-11-13",6,1.20712729432239,36
"2012-12-11","2012-11-13","2012-12-11",1,1.23846234632773,29
"2012-12-11","2012-11-13","2012-12-11",2,1.60636363266488,29
"2012-12-11","2012-11-13","2012-12-11",3,1.21756019929405,29
"2012-12-11","2012-11-13","2012-12-11",4,1.05721300579086,29
"2012-12-11","2012-11-13","2012-12-11",5,2.21370010764111,29
"2012-12-11","2012-11-13","2012-12-11",6,1.78455913703338,29
"2013-01-08","2012-12-11","2013-01-08",1,0.788866620963377,29
"2013-01-08","2012-12-11","2013-01-08",2,1.21382723203398,29
"2013-01-08","2012-12-11","2013-01-08",3,1.17237614700019,29
"2013-01-08","2012-12-11","2013-01-08",4,0.861798982898958,29
"2013-01-08","2012-12-11","2013-01-08",5,1.71583161013853,29
"2013-01-08","2012-12-11","2013-01-08",6,1.35551937877,29
"2013-02-20","2013-01-08","2013-02-20",1,0.759977730291001,44
"2013-02-20","2013-01-08","2013-02-20",2,0.838592094021986,44
"2013-02-20","2013-01-08","2013-02-20",3,0.520075787752041,44
"2013-02-20","2013-01-08","2013-02-20",4,0.598121351982601,44
"2013-02-20","2013-01-08","2013-02-20",5,0.995470724790519,44
"2013-02-20","2013-01-08","2013-02-20",6,0.867411978766567,44
"2013-03-14","2013-02-20","2013-03-14",1,1.06951304497189,23
"2013-03-14","2013-02-20","2013-03-14",2,1.14182376700886,23
"2013-03-14","2013-02-20","2013-03-14",3,0.886713256776237,23
"2013-03-14","2013-02-20","2013-03-14",4,0.938233151637448,23
"2013-03-14","2013-02-20","2013-03-14",5,0.851368802727475,23
"2013-03-14","2013-02-20","2013-03-14",6,0.687927767935962,23
"2013-04-09","2013-03-14","2013-04-09",1,1.00693955062317,27
"2013-04-09","2013-03-14","2013-04-09",2,1.02880971039585,27
"2013-04-09","2013-03-14","2013-04-09",3,0.390697499375705,27
"2013-04-09","2013-03-14","2013-04-09",4,0.482034322201186,27
"2013-04-09","2013-03-14","2013-04-09",5,0.753813781967378,27
"2013-04-09","2013-03-14","2013-04-09",6,0.594052286241389,27
"2013-05-13","2013-04-09","2013-05-13",1,0.584832228036504,35
"2013-05-13","2013-04-09","2013-05-13",2,0.307394577673931,35
"2013-05-13","2013-04-09","2013-05-13",3,0.150871978041458,35
"2013-05-13","2013-04-09","2013-05-13",4,0.129673417604045,35
"2013-05-13","2013-04-09","2013-05-13",5,0.215451350647269,35
"2013-05-13","2013-04-09","2013-05-13",6,0.178660028895472,35
"2013-06-14","2013-05-13","2013-06-14",1,0.0964863711378003,33
"2013-06-14","2013-05-13","2013-06-14",2,0.0741734236349958,33
"2013-06-14","2013-05-13","2013-06-14",3,-0.03193316643821,33
"2013-06-14","2013-05-13","2013-06-14",4,-0.133371680427129,33
"2013-06-14","2013-05-13","2013-06-14",5,-0.110281599195435,33
"2013-06-14","2013-05-13","2013-06-14",6,-0.0403576942090194,33
"2013-07-08","2013-06-14","2013-07-08",1,-0.198223303536895,25
"2013-07-08","2013-06-14","2013-07-08",2,-0.123608766261014,25
"2013-07-08","2013-06-14","2013-07-08",3,-0.138353988774656,25
"2013-07-08","2013-06-14","2013-07-08",4,-0.286028620646543,25
"2013-07-08","2013-06-14","2013-07-08",5,-0.262405970752483,25
"2013-07-08","2013-06-14","2013-07-08",6,-0.163760705754463,25
"2013-08-15","2013-07-08","2013-08-15",1,-0.053597863633288,39
"2013-08-15","2013-07-08","2013-08-15",2,0.0984895878569178,39
"2013-08-15","2013-07-08","2013-08-15",3,0.02375372030943,39
"2013-08-15","2013-07-08","2013-08-15",4,-0.0918482093448039,39
"2013-08-15","2013-07-08","2013-08-15",5,-0.0547817124533378,39
"2013-08-15","2013-07-08","2013-08-15",6,-0.0798414896248003,39
"2013-09-10","2013-08-15","2013-09-10",1,0.227763645818486,27
"2013-09-10","2013-08-15","2013-09-10",2,0.21355020183669,27
"2013-09-10","2013-08-15","2013-09-10",3,0.182526889696697,27
"2013-09-10","2013-08-15","2013-09-10",4,0.0495317115669806,27
"2013-09-10","2013-08-15","2013-09-10",5,0.324421934914101,27
"2013-09-10","2013-08-15","2013-09-10",6,0.20325263169713,27
"2013-10-09","2013-09-10","2013-10-09",1,0.381226600109318,30
"2013-10-09","2013-09-10","2013-10-09",2,0.693209400304963,30
"2013-10-09","2013-09-10","2013-10-09",3,0.528581096962019,30
"2013-10-09","2013-09-10","2013-10-09",4,0.514130304028587,30
"2013-10-09","2013-09-10","2013-10-09",5,0.678601849721071,30
"2013-10-09","2013-09-10","2013-10-09",6,0.537952518799388,30
"2013-11-11","2013-10-09","2013-11-11",1,0.395367716441864,34
"2013-11-11","2013-10-09","2013-11-11",2,0.906412982722693,34
"2013-11-11","2013-10-09","2013-11-11",3,0.830720587730438,34
"2013-11-11","2013-10-09","2013-11-11",4,0.739119359153076,34
"2013-11-11","2013-10-09","2013-11-11",5,1.06492763903617,34
"2013-11-11","2013-10-09","2013-11-11",6,0.847244844965935,34
"2013-12-12","2013-11-11","2013-12-12",1,0.595515527411343,32
"2013-12-12","2013-11-11","2013-12-12",2,0.78588531555027,32
"2013-12-12","2013-11-11","2013-12-12",3,0.644269049533924,32
"2013-12-12","2013-11-11","2013-12-12",4,0.736904708946922,32
"2013-12-12","2013-11-11","2013-12-12",5,1.00335158420056,32
"2013-12-12","2013-11-11","2013-12-12",6,0.82120753866631,32
"2014-01-14","2013-12-12","2014-01-14",1,2.38707831205509,34
"2014-01-14","2013-12-12","2014-01-14",2,2.72319460220336,34
"2014-01-14","2013-12-12","2014-01-14",3,2.36235839853549,34
"2014-01-14","2013-12-12","2014-01-14",4,2.23162352304958,34
"2014-01-14","2013-12-12","2014-01-14",5,3.12180816148116,34
"2014-01-14","2013-12-12","2014-01-14",6,2.87855007158005,34
"2014-02-26","2014-01-14","2014-02-26",1,1.38989330750147,44
"2014-02-26","2014-01-14","2014-02-26",2,1.72778382689475,44
"2014-02-26","2014-01-14","2014-02-26",3,1.18513888811018,44
"2014-02-26","2014-01-14","2014-02-26",4,1.52569314863882,44
"2014-02-26","2014-01-14","2014-02-26",5,1.4359314252316,44
"2014-02-26","2014-01-14","2014-02-26",6,1.78759645018039,44
"2014-03-13","2014-02-26","2014-03-13",1,0.992688218678205,16
"2014-03-13","2014-02-26","2014-03-13",2,1.18058774756541,16
"2014-03-13","2014-02-26","2014-03-13",3,0.720436358297984,16
"2014-03-13","2014-02-26","2014-03-13",4,0.821357288168636,16
"2014-03-13","2014-02-26","2014-03-13",5,0.813332073013863,16
"2014-03-13","2014-02-26","2014-03-13",6,1.09453747733061,16
"2014-04-14","2014-03-13","2014-04-14",1,0.807095839477912,33
"2014-04-14","2014-03-13","2014-04-14",2,0.845090408170178,33
"2014-04-14","2014-03-13","2014-04-14",3,0.698103482712405,33
"2014-04-14","2014-03-13","2014-04-14",4,0.717927897886287,33
"2014-04-14","2014-03-13","2014-04-14",5,0.818295637861591,33
"2014-04-14","2014-03-13","2014-04-14",6,1.13155910416285,33
"2014-05-07","2014-04-14","2014-05-07",1,0.216870243074647,24
"2014-05-07","2014-04-14","2014-05-07",2,0.315406885340576,24
"2014-05-07","2014-04-14","2014-05-07",3,0.323550989069316,24
"2014-05-07","2014-04-14","2014-05-07",4,0.265912100491117,24
"2014-05-07","2014-04-14","2014-05-07",5,0.288908922654302,24
"2014-05-07","2014-04-14","2014-05-07",6,0.401144140155857,24
"2014-06-12","2014-05-07","2014-06-12",1,-0.127365639136957,37
"2014-06-12","2014-05-07","2014-06-12",2,-0.0791139314206136,37
"2014-06-12","2014-05-07","2014-06-12",3,0.140305410066109,37
"2014-06-12","2014-05-07","2014-06-12",4,0.123982211803825,37
"2014-06-12","2014-05-07","2014-06-12",5,-0.0431207383193029,37
"2014-06-12","2014-05-07","2014-06-12",6,0.183751824414338,37
"2014-07-03","2014-06-12","2014-07-03",1,-0.234419375368163,22
"2014-07-03","2014-06-12","2014-07-03",2,-0.130853284020203,22
"2014-07-03","2014-06-12","2014-07-03",3,0.252538023407481,22
"2014-07-03","2014-06-12","2014-07-03",4,0.117214797903613,22
"2014-07-03","2014-06-12","2014-07-03",5,0.112977902136063,22
"2014-07-03","2014-06-12","2014-07-03",6,0.449737696769918,22
"2014-08-14","2014-07-03","2014-08-14",1,-0.579284773954527,43
