"Start_date","End_date","Date","Ring","coarse_root_production_flux","Days"
2012-12-20,2013-12-20,2013-12-20,1,-2.30831974340181,365
2012-12-20,2013-12-20,2013-12-20,2,11.5597527133302,365
2012-12-20,2013-12-20,2013-12-20,3,65.9871195779332,365
2012-12-20,2013-12-20,2013-12-20,4,26.131744686823,365
2012-12-20,2013-12-20,2013-12-20,5,45.7034675311256,365
2012-12-20,2013-12-20,2013-12-20,6,17.5057984743854,365
2013-12-20,2014-12-23,2014-12-23,1,35.0077092013719,368
2013-12-20,2014-12-23,2014-12-23,2,12.1617837181826,368
2013-12-20,2014-12-23,2014-12-23,3,12.628103109195,368
2013-12-20,2014-12-23,2014-12-23,4,23.7997225548539,368
2013-12-20,2014-12-23,2014-12-23,5,10.2031564423312,368
2013-12-20,2014-12-23,2014-12-23,6,0.01581739229056,368
2014-12-23,2015-12-14,2015-12-14,1,19.0961930290038,356
2014-12-23,2015-12-14,2015-12-14,2,14.1963528018425,356
2014-12-23,2015-12-14,2015-12-14,3,35.4952072561945,356
2014-12-23,2015-12-14,2015-12-14,4,16.2804178374189,356
2014-12-23,2015-12-14,2015-12-14,5,11.1848227167724,356
2014-12-23,2015-12-14,2015-12-14,6,12.547738289107,356
2015-12-14,2016-12-21,2016-12-21,1,-13.0894167686288,373
2015-12-14,2016-12-21,2016-12-21,2,4.39233639231841,373
2015-12-14,2016-12-21,2016-12-21,3,8.76312216062849,373
2015-12-14,2016-12-21,2016-12-21,4,-3.75936062661868,373
2015-12-14,2016-12-21,2016-12-21,5,7.23491486967055,373
2015-12-14,2016-12-21,2016-12-21,6,1.29017745310994,373
