"Start_date","End_date","Date","Ring","coarse_root_p_flux","Days"
"2012-12-20","2013-12-20","2013-12-20",1,-0.000609396412258078,365
"2012-12-20","2013-12-20","2013-12-20",2,0.00416151097679887,365
"2012-12-20","2013-12-20","2013-12-20",3,0.015836908698704,365
"2012-12-20","2013-12-20","2013-12-20",4,0.00540056039439846,365
"2012-12-20","2013-12-20","2013-12-20",5,0.0124922814298641,365
"2012-12-20","2013-12-20","2013-12-20",6,0.00431809684030974,365
"2013-12-20","2014-12-23","2014-12-23",1,0.00924203522916218,368
"2013-12-20","2014-12-23","2014-12-23",2,0.00437824213854574,368
"2013-12-20","2014-12-23","2014-12-23",3,0.0030307447462068,368
"2013-12-20","2014-12-23","2014-12-23",4,0.00491860916933832,368
"2013-12-20","2014-12-23","2014-12-23",5,0.0027888628289249,368
"2013-12-20","2014-12-23","2014-12-23",6,3.90162332622218e-06,368
"2014-12-23","2015-12-14","2015-12-14",1,0.005041394959657,356
"2014-12-23","2015-12-14","2015-12-14",2,0.0051106870086633,356
"2014-12-23","2015-12-14","2015-12-14",3,0.00851884974148668,356
"2014-12-23","2015-12-14","2015-12-14",4,0.00336461957786379,356
"2014-12-23","2015-12-14","2015-12-14",5,0.00305718495048327,356
"2014-12-23","2015-12-14","2015-12-14",6,0.00309510869432814,356
"2015-12-14","2016-12-21","2016-12-21",1,-0.003455606026918,373
"2015-12-14","2016-12-21","2016-12-21",2,0.00158124110123463,373
"2015-12-14","2016-12-21","2016-12-21",3,0.00210314931855084,373
"2015-12-14","2016-12-21","2016-12-21",4,-0.00077693450443879,373
"2015-12-14","2016-12-21","2016-12-21",5,0.00197754344594272,373
"2015-12-14","2016-12-21","2016-12-21",6,0.000318243763165936,373
