"Start_date","End_date","Date","Ring","delta"
2012,2013,2013,1,0.033771142433073
2012,2013,2013,2,0.0184169223598817
2012,2013,2013,3,0.0202942270288679
2012,2013,2013,4,0.0270600576843986
2012,2013,2013,5,0.0515199973432575
2012,2013,2013,6,0.026773872176444
2013,2014,2014,1,0.000263086396119161
2013,2014,2014,2,0.0148122569887686
2013,2014,2014,3,0.00903275753402513
2013,2014,2014,4,0.000145486567537517
2013,2014,2014,5,0.00759361675039938
2013,2014,2014,6,0.00573474930002607
2014,2015,2015,1,-0.00730627382021107
2014,2015,2015,2,-0.00808457662364312
2014,2015,2015,3,-0.0171401919164892
2014,2015,2015,4,0.0130732511143412
2014,2015,2015,5,-0.0132660398380804
2014,2015,2015,6,0.00686984405538946
2015,2016,2016,1,0.0206836980971449
2015,2016,2016,2,0.0846111065140881
2015,2016,2016,3,0.0264363508267026
2015,2016,2016,4,0.0251658567473936
2015,2016,2016,5,0.0356340411202146
2015,2016,2016,6,0.043966996802878
2016,2017,2017,1,0.0358371697287237
2016,2017,2017,2,0.00205659692500332
2016,2017,2017,3,0.0358723965211045
2016,2017,2017,4,0.0424591716503856
2016,2017,2017,5,0.0370291847913543
2016,2017,2017,6,0.0410191402239187
2017,2018,2018,1,-0.00708283521113856
2017,2018,2018,2,-0.0195263143880452
2017,2018,2018,3,-0.0144036776007188
2017,2018,2018,4,-0.0299828156272928
2017,2018,2018,5,-0.0276689301048484
2017,2018,2018,6,-0.0290197494148619
