"Start_date","End_date","Date","Ring","delta"
2012,2013,2013,1,-2.54043629655532e-05
2012,2013,2013,2,0.00278181151511597
2012,2013,2013,3,0.0118721361455463
2012,2013,2013,4,0.00403605624872078
2012,2013,2013,5,0.00849734858039841
2012,2013,2013,6,0.00353905041363517
2013,2014,2014,1,0.00678269268595599
2013,2014,2014,2,0.00296014693224556
2013,2014,2014,3,0.00253948578132562
2013,2014,2014,4,0.00373888472735118
2013,2014,2014,5,0.00198293270271915
2013,2014,2014,6,-2.87579272143512e-05
2014,2015,2015,1,0.00356289919482
2014,2015,2015,2,0.00305410317474003
2014,2015,2015,3,0.00648212175854324
2014,2015,2015,4,0.00245288249712083
2014,2015,2015,5,0.00198158309298402
2014,2015,2015,6,0.0026040767670632
2015,2016,2016,1,-0.00254218947697038
2015,2016,2016,2,0.000926438588453593
2015,2016,2016,3,0.0016785398421888
2015,2016,2016,4,-0.000496250101525569
2015,2016,2016,5,0.00146132021885836
2015,2016,2016,6,0.00043766418684793
