"Start_date","End_date","Date","Ring","delta"
2012,2013,2013,1,-0.000488101106802419
2012,2013,2013,2,0.00479742074522482
2012,2013,2013,3,0.0203781737666414
2012,2013,2013,4,0.0068605798492597
2012,2013,2013,5,0.0155503388999352
2012,2013,2013,6,0.00574066752396596
2013,2014,2014,1,0.0117594095780787
2013,2014,2014,2,0.00514581209638865
2013,2014,2014,3,0.00412485892725201
2013,2014,2014,4,0.00633559948874746
2013,2014,2014,5,0.00354569884978728
2013,2014,2014,6,-2.61360991747894e-05
2014,2015,2015,1,0.00620853528730492
2014,2015,2015,2,0.00562235307479042
2014,2015,2015,3,0.0109252064615466
2014,2015,2015,4,0.00418708224203684
2014,2015,2015,5,0.0036861004246741
2014,2015,2015,6,0.00411732664643272
2015,2016,2016,1,-0.00445575517692742
2015,2016,2016,2,0.00176677860778285
2015,2016,2016,3,0.00284450791611834
2015,2016,2016,4,-0.000952992737966785
2015,2016,2016,5,0.00258164257167404
2015,2016,2016,6,0.000559457788943951
