"Start_date","End_date","Date","Ring","frass_production_flux","Days"
2012-11-13,2012-12-10,2012-12-10,1,60.1682345222615,27
2012-11-13,2012-12-10,2012-12-10,2,46.4360238084985,27
2012-11-13,2012-12-10,2012-12-10,3,47.3442339723439,27
2012-11-13,2012-12-10,2012-12-10,4,42.4772220018528,27
2012-11-13,2012-12-10,2012-12-10,5,82.7106239952838,27
2012-11-13,2012-12-10,2012-12-10,6,56.9499650163242,27
2012-12-10,2013-01-09,2013-01-09,1,45.555562152289,30
2012-12-10,2013-01-09,2013-01-09,2,37.5612917654118,30
2012-12-10,2013-01-09,2013-01-09,3,39.2727978503108,30
2012-12-10,2013-01-09,2013-01-09,4,30.2622149823364,30
2012-12-10,2013-01-09,2013-01-09,5,58.005250998159,30
2012-12-10,2013-01-09,2013-01-09,6,38.2260753824122,30
2013-01-09,2013-02-20,2013-02-20,1,11.8591075564121,42
2013-01-09,2013-02-20,2013-02-20,2,26.9922889319914,42
2013-01-09,2013-02-20,2013-02-20,3,18.9887563595382,42
2013-01-09,2013-02-20,2013-02-20,4,19.8765180032737,42
2013-01-09,2013-02-20,2013-02-20,5,40.8339142817884,42
2013-01-09,2013-02-20,2013-02-20,6,19.873385190019,42
2013-02-20,2013-03-14,2013-03-14,1,70.8386976316103,22
2013-02-20,2013-03-14,2013-03-14,2,67.3197445298237,22
2013-02-20,2013-03-14,2013-03-14,3,34.8367523748587,22
2013-02-20,2013-03-14,2013-03-14,4,36.6121047524435,22
2013-02-20,2013-03-14,2013-03-14,5,59.697205846924,22
2013-04-10,2013-05-13,2013-05-13,1,63.5211752541091,33
2013-04-10,2013-05-13,2013-05-13,2,54.4237732606461,33
2013-04-10,2013-05-13,2013-05-13,3,40.7123853195645,33
2013-04-10,2013-05-13,2013-05-13,4,26.4388181810573,33
2013-04-10,2013-05-13,2013-05-13,5,68.8665263160182,33
2013-05-13,2013-06-14,2013-06-14,1,17.0901366243593,32
2013-05-13,2013-06-14,2013-06-14,2,16.2388728171198,32
2013-05-13,2013-06-14,2013-06-14,3,15.5698689531337,32
2013-05-13,2013-06-14,2013-06-14,4,10.6179496867006,32
2013-05-13,2013-06-14,2013-06-14,5,22.1907709640972,32
2013-06-14,2013-07-08,2013-07-08,1,20.6331162328891,24
