"Date","Start_date","End_date","Ring","frass_p_flux_mg_m2_d","Days"
"2012-12-10","2012-11-13","2012-12-10",1,0.131876167217558,27
"2012-12-10","2012-11-13","2012-12-10",2,0.102851062796182,27
"2012-12-10","2012-11-13","2012-12-10",3,0.153074375233692,27
"2012-12-10","2012-11-13","2012-12-10",4,0.0745582481356212,27
"2012-12-10","2012-11-13","2012-12-10",5,0.191948324228033,27
"2012-12-10","2012-11-13","2012-12-10",6,0.127185456862812,27
"2013-01-09","2012-12-10","2013-01-09",1,0.119100230210024,30
"2013-01-09","2012-12-10","2013-01-09",2,0.111299079319903,30
"2013-01-09","2012-12-10","2013-01-09",3,0.0833092585027352,30
"2013-01-09","2012-12-10","2013-01-09",4,0.0648256687318612,30
"2013-01-09","2012-12-10","2013-01-09",5,0.123686512175522,30
"2013-01-09","2012-12-10","2013-01-09",6,0.0897017622349556,30
"2013-02-20","2013-01-09","2013-02-20",1,0.0450002190717228,42
"2013-02-20","2013-01-09","2013-02-20",2,0.076479716529006,42
"2013-02-20","2013-01-09","2013-02-20",3,0.0646211548275353,42
"2013-02-20","2013-01-09","2013-02-20",4,0.0635993745457341,42
"2013-02-20","2013-01-09","2013-02-20",5,0.12737337232388,42
"2013-02-20","2013-01-09","2013-02-20",6,0.0526807969454537,42
"2013-03-14","2013-02-20","2013-03-14",1,0.223781874919564,22
"2013-03-14","2013-02-20","2013-03-14",2,0.182719932727412,22
"2013-03-14","2013-02-20","2013-03-14",3,0.0822235796239218,22
"2013-03-14","2013-02-20","2013-03-14",4,0.0791884138380964,22
"2013-03-14","2013-02-20","2013-03-14",5,0.176760152142501,22
"2013-05-13","2013-04-10","2013-05-13",1,0.14336751723496,33
"2013-05-13","2013-04-10","2013-05-13",2,0.108159889412274,33
"2013-05-13","2013-04-10","2013-05-13",3,0.0952546205813949,33
"2013-05-13","2013-04-10","2013-05-13",4,0.048263984086446,33
"2013-05-13","2013-04-10","2013-05-13",5,0.150563167389278,33
"2013-06-14","2013-05-13","2013-06-14",1,0.0409074435182774,32
"2013-06-14","2013-05-13","2013-06-14",2,0.0264567622537782,32
"2013-06-14","2013-05-13","2013-06-14",3,0.0322398534884003,32
"2013-06-14","2013-05-13","2013-06-14",4,0.017002886107687,32
"2013-06-14","2013-05-13","2013-06-14",5,0.0463603642263348,32
"2013-07-08","2013-06-14","2013-07-08",1,0.0540453382070667,24
"2013-07-08","2013-06-14","2013-07-08",2,0.052214149016787,24
"2013-07-08","2013-06-14","2013-07-08",3,0.0403426714907226,24
"2013-07-08","2013-06-14","2013-07-08",4,0.0354455854255863,24
"2013-07-08","2013-06-14","2013-07-08",5,0.0572052926028655,24
"2013-07-08","2013-06-14","2013-07-08",6,0.0619886733794763,24
"2013-08-16","2013-07-08","2013-08-16",1,0.0470144195894206,39
"2013-08-16","2013-07-08","2013-08-16",2,0.0485419932354372,39
"2013-08-16","2013-07-08","2013-08-16",3,0.0196710149952258,39
"2013-08-16","2013-07-08","2013-08-16",4,0.0190983609233026,39
"2013-08-16","2013-07-08","2013-08-16",5,0.0585828779165321,39
"2013-08-16","2013-07-08","2013-08-16",6,0.0514614406626282,39
"2013-09-13","2013-08-16","2013-09-13",1,0.124607844190833,28
"2013-09-13","2013-08-16","2013-09-13",2,0.131388978442821,28
"2013-09-13","2013-08-16","2013-09-13",3,0.0407360328480148,28
"2013-09-13","2013-08-16","2013-09-13",4,0.0485007752141779,28
"2013-09-13","2013-08-16","2013-09-13",5,0.128596891865615,28
"2013-09-13","2013-08-16","2013-09-13",6,0.0981457263682212,28
"2013-10-09","2013-09-13","2013-10-09",1,0.0958633044367046,26
"2013-10-09","2013-09-13","2013-10-09",2,0.12934950375728,26
"2013-10-09","2013-09-13","2013-10-09",3,0.0368450571450161,26
"2013-10-09","2013-09-13","2013-10-09",4,0.0630731575356621,26
"2013-10-09","2013-09-13","2013-10-09",5,0.117663812081718,26
"2013-10-09","2013-09-13","2013-10-09",6,0.106240889310652,26
"2013-11-14","2013-10-09","2013-11-14",1,0.0215290546329425,36
"2013-11-14","2013-10-09","2013-11-14",2,0.032187433411116,36
"2013-11-14","2013-10-09","2013-11-14",3,0.0237459492992072,36
"2013-11-14","2013-10-09","2013-11-14",4,0.0394596989411481,36
"2013-11-14","2013-10-09","2013-11-14",5,0.056018580594686,36
"2013-11-14","2013-10-09","2013-11-14",6,0.0218689640647369,36
"2013-12-13","2013-11-14","2013-12-13",1,0.0613316090427864,29
"2013-12-13","2013-11-14","2013-12-13",2,0.0842691891514539,29
"2013-12-13","2013-11-14","2013-12-13",3,0.0491534359391159,29
"2013-12-13","2013-11-14","2013-12-13",4,0.0433489161127573,29
"2013-12-13","2013-11-14","2013-12-13",5,0.127287301418909,29
"2013-12-13","2013-11-14","2013-12-13",6,0.0594850662074683,29
"2014-01-14","2013-12-13","2014-01-14",1,0.178528587582551,32
"2014-01-14","2013-12-13","2014-01-14",2,0.163379145448327,32
"2014-01-14","2013-12-13","2014-01-14",3,0.0545641842887976,32
"2014-01-14","2013-12-13","2014-01-14",4,0.125766820199122,32
"2014-01-14","2013-12-13","2014-01-14",5,0.15796992555336,32
"2014-01-14","2013-12-13","2014-01-14",6,0.115097494575023,32
"2014-02-26","2014-01-14","2014-02-26",1,0.0598631414909772,43
"2014-02-26","2014-01-14","2014-02-26",2,0.0711729249523469,43
"2014-02-26","2014-01-14","2014-02-26",3,0.0498473881450214,43
