"Date","Ring","leaf_flux","Start_date","End_date","Days"
2012-10-09,"1",627.993936331481,2012-09-14,2012-10-09,26
2012-10-09,"2",855.987872662961,2012-09-14,2012-10-09,26
2012-10-09,"3",940.070742799394,2012-09-14,2012-10-09,26
2012-10-09,"4",636.280949974735,2012-09-14,2012-10-09,26
2012-10-09,"5",853.966649823143,2012-09-14,2012-10-09,26
2012-10-09,"6",956.846892369884,2012-09-14,2012-10-09,26
2012-11-13,"1",631.375109646964,2012-10-09,2012-11-13,36
2012-11-13,"2",674.487420950281,2012-10-09,2012-11-13,36
2012-11-13,"3",915.161140022181,2012-10-09,2012-11-13,36
2012-11-13,"4",762.060072317778,2012-10-09,2012-11-13,36
2012-11-13,"5",908.549510115958,2012-10-09,2012-11-13,36
2012-11-13,"6",697.86601305045,2012-10-09,2012-11-13,36
2012-12-11,"1",625.315816068722,2012-11-13,2012-12-11,29
2012-12-11,"2",760.214393994081,2012-11-13,2012-12-11,29
2012-12-11,"3",624.639067350033,2012-11-13,2012-12-11,29
2012-12-11,"4",496.733559517794,2012-11-13,2012-12-11,29
2012-12-11,"5",1008.35559084675,2012-11-13,2012-12-11,29
2012-12-11,"6",956.020356601458,2012-11-13,2012-12-11,29
2013-01-08,"1",267.202952429077,2012-12-11,2013-01-08,29
2013-01-08,"2",489.289323612214,2012-12-11,2013-01-08,29
2013-01-08,"3",597.343535696239,2012-12-11,2013-01-08,29
2013-01-08,"4",355.518660218003,2012-12-11,2013-01-08,29
2013-01-08,"5",694.908142640583,2012-12-11,2013-01-08,29
2013-01-08,"6",653.288096441204,2012-12-11,2013-01-08,29
2013-02-20,"1",189.709978025077,2013-01-08,2013-02-20,44
2013-02-20,"2",246.556870394961,2013-01-08,2013-02-20,44
2013-02-20,"3",152.105832167997,2013-01-08,2013-02-20,44
2013-02-20,"4",172.009589057194,2013-01-08,2013-02-20,44
2013-02-20,"5",271.528373503179,2013-01-08,2013-02-20,44
2013-02-20,"6",318.01943664289,2013-01-08,2013-02-20,44
2013-03-14,"1",430.775669785271,2013-02-20,2013-03-14,23
2013-03-14,"2",519.567836015537,2013-02-20,2013-03-14,23
2013-03-14,"3",475.1111417357,2013-02-20,2013-03-14,23
2013-03-14,"4",472.310267914108,2013-02-20,2013-03-14,23
2013-03-14,"5",313.215530749639,2013-02-20,2013-03-14,23
2013-03-14,"6",261.583750593351,2013-02-20,2013-03-14,23
2013-04-09,"1",446.290753769278,2013-03-14,2013-04-09,27
2013-04-09,"2",524.819364005822,2013-03-14,2013-04-09,27
2013-04-09,"3",183.537183158204,2013-03-14,2013-04-09,27
