"Date","Ring","Depth","soil_inorganic_p_g_m2"
"2018-10-01",1,"0_10",2.06947360661667
"2018-10-01",1,"10_30",2.50639146584666
"2018-10-01",1,"transition",2.2657987352736
"2018-10-01",2,"0_10",1.52946882908
"2018-10-01",2,"10_30",2.16262263024
"2018-10-01",2,"transition",1.7102023803777
"2018-10-01",3,"0_10",2.21433187104
"2018-10-01",3,"10_30",2.4320754621
"2018-10-01",3,"transition",2.993790244884
"2018-10-01",4,"0_10",1.71081007419
"2018-10-01",4,"10_30",1.872996600616
"2018-10-01",4,"transition",2.3785899288264
"2018-10-01",5,"0_10",2.49547124053333
"2018-10-01",5,"10_30",3.47393361675334
"2018-10-01",5,"transition",3.4532612011155
"2018-10-01",6,"0_10",2.10918212601334
"2018-10-01",6,"10_30",2.882141198174
"2018-10-01",6,"transition",2.0849713611132
