"Date","Ring","Depth","soil_organic_p_g_m2"
"2018-10-01",1,"0_10",9.63924581865336
"2018-10-01",1,"10_30",9.99967313314665
"2018-10-01",1,"transition",9.58876759872
"2018-10-01",2,"0_10",5.40495234193332
"2018-10-01",2,"10_30",9.1825783236
"2018-10-01",2,"transition",5.784249552384
"2018-10-01",3,"0_10",7.94737388448
"2018-10-01",3,"10_30",9.03158092596
"2018-10-01",3,"transition",7.908530312892
"2018-10-01",4,"0_10",6.01457834124
"2018-10-01",4,"10_30",7.96892808514
"2018-10-01",4,"transition",6.921086812803
"2018-10-01",5,"0_10",9.40144835167997
"2018-10-01",5,"10_30",14.6262791692667
"2018-10-01",5,"transition",12.586284135135
"2018-10-01",6,"0_10",9.29100373061336
"2018-10-01",6,"10_30",10.2154904873
"2018-10-01",6,"transition",10.528601169324
