"Date","Ring","Depth","p_mineralization_mg_m2_d","End_date","Start_date","Days"
2012-07-24,1,"0_10",-1.92335833333334,2012-07-24,2012-07-24,1
2012-07-24,1,"10_30",-1.20554877851679,2012-07-24,2012-07-24,1
2012-07-24,1,"transition",-1.02725744995012,2012-07-24,2012-07-24,1
2012-07-24,2,"0_10",0.1744,2012-07-24,2012-07-24,1
2012-07-24,2,"10_30",0.131044992952167,2012-07-24,2012-07-24,1
2012-07-24,2,"transition",0.0717053584105851,2012-07-24,2012-07-24,1
2012-07-24,3,"0_10",0.7884,2012-07-24,2012-07-24,1
2012-07-24,3,"10_30",0.566045993442295,2012-07-24,2012-07-24,1
2012-07-24,3,"transition",0.161390622310484,2012-07-24,2012-07-24,1
2012-07-24,4,"0_10",-0.723975,2012-07-24,2012-07-24,1
2012-07-24,4,"10_30",-0.536625452704015,2012-07-24,2012-07-24,1
2012-07-24,4,"transition",-0.124367249562973,2012-07-24,2012-07-24,1
2012-07-24,5,"0_10",1.30533333333333,2012-07-24,2012-07-24,1
2012-07-24,5,"10_30",1.22192793196764,2012-07-24,2012-07-24,1
2012-07-24,5,"transition",0.531460946076292,2012-07-24,2012-07-24,1
2012-07-24,6,"0_10",2.14793333333334,2012-07-24,2012-07-24,1
2012-07-24,6,"10_30",2.38400792106374,2012-07-24,2012-07-24,1
2012-07-24,6,"transition",1.31407310109751,2012-07-24,2012-07-24,1
2012-10-22,1,"0_10",3.20067500000001,2012-10-22,2012-10-22,1
2012-10-22,1,"10_30",2.00616274659128,2012-10-22,2012-10-22,1
2012-10-22,1,"transition",1.70946681210509,2012-10-22,2012-10-22,1
2012-10-22,2,"0_10",1.72946666666666,2012-10-22,2012-10-22,1
2012-10-22,2,"10_30",1.29952951344233,2012-10-22,2012-10-22,1
2012-10-22,2,"transition",0.711078137571636,2012-10-22,2012-10-22,1
2012-10-22,3,"0_10",1.0368,2012-10-22,2012-10-22,1
2012-10-22,3,"10_30",0.744389251650141,2012-10-22,2012-10-22,1
2012-10-22,3,"transition",0.212239722490499,2012-10-22,2012-10-22,1
2012-10-22,4,"0_10",4.27035,2012-10-22,2012-10-22,1
2012-10-22,4,"10_30",3.16527297483282,2012-10-22,2012-10-22,1
2012-10-22,4,"transition",0.73357738067094,2012-10-22,2012-10-22,1
2012-10-22,5,"0_10",0.454666666666665,2012-10-22,2012-10-22,1
2012-10-22,5,"10_30",0.425615347089851,2012-10-22,2012-10-22,1
2012-10-22,5,"transition",0.185115610431068,2012-10-22,2012-10-22,1
2012-10-22,6,"0_10",1.49143333333334,2012-10-22,2012-10-22,1
2012-10-22,6,"10_30",1.65535346243141,2012-10-22,2012-10-22,1
2012-10-22,6,"transition",0.912436338222879,2012-10-22,2012-10-22,1
2013-01-25,1,"0_10",2.53986666666667,2013-01-25,2013-01-25,1
2013-01-25,1,"10_30",1.59197228333887,2013-01-25,2013-01-25,1
2013-01-25,1,"transition",1.35653191087463,2013-01-25,2013-01-25,1
2013-01-25,2,"0_10",1.417,2013-01-25,2013-01-25,1
2013-01-25,2,"10_30",1.06474056773636,2013-01-25,2013-01-25,1
2013-01-25,2,"transition",0.582606037086004,2013-01-25,2013-01-25,1
2013-01-25,3,"0_10",0.072,2013-01-25,2013-01-25,1
2013-01-25,3,"10_30",0.0516936980312598,2013-01-25,2013-01-25,1
2013-01-25,3,"transition",0.0147388696173958,2013-01-25,2013-01-25,1
2013-01-25,4,"0_10",0.069825,2013-01-25,2013-01-25,1
2013-01-25,4,"10_30",0.051755754321707,2013-01-25,2013-01-25,1
2013-01-25,4,"transition",0.0119948108715558,2013-01-25,2013-01-25,1
2013-01-25,5,"0_10",0.859466666666664,2013-01-25,2013-01-25,1
2013-01-25,5,"10_30",0.804550301273073,2013-01-25,2013-01-25,1
2013-01-25,5,"transition",0.349928218427761,2013-01-25,2013-01-25,1
2013-01-25,6,"0_10",0.101,2013-01-25,2013-01-25,1
2013-01-25,6,"10_30",0.112100685943436,2013-01-25,2013-01-25,1
2013-01-25,6,"transition",0.0617902712114816,2013-01-25,2013-01-25,1
2013-04-26,1,"0_10",-0.778941666666668,2013-04-26,2013-04-26,1
2013-04-26,1,"10_30",-0.488235685733288,2013-04-26,2013-04-26,1
2013-04-26,1,"transition",-0.416029408713003,2013-04-26,2013-04-26,1
2013-04-26,2,"0_10",1.15903333333333,2013-04-26,2013-04-26,1
2013-04-26,2,"10_30",0.870903182327945,2013-04-26,2013-04-26,1
2013-04-26,2,"transition",0.47654186110368,2013-04-26,2013-04-26,1
2013-04-26,3,"0_10",0.1512,2013-04-26,2013-04-26,1
2013-04-26,3,"10_30",0.108556765865646,2013-04-26,2013-04-26,1
2013-04-26,3,"transition",0.0309516261965311,2013-04-26,2013-04-26,1
2013-04-26,4,"0_10",-0.327075,2013-04-26,2013-04-26,1
2013-04-26,4,"10_30",-0.242434849191154,2013-04-26,2013-04-26,1
2013-04-26,4,"transition",-0.0561862193457088,2013-04-26,2013-04-26,1
2013-04-26,5,"0_10",-0.513333333333332,2013-04-26,2013-04-26,1
2013-04-26,5,"10_30",-0.480533456391767,2013-04-26,2013-04-26,1
2013-04-26,5,"transition",-0.20900149564798,2013-04-26,2013-04-26,1
2013-04-26,6,"0_10",-1.22883333333334,2013-04-26,2013-04-26,1
2013-04-26,6,"10_30",-1.36389167897847,2013-04-26,2013-04-26,1
2013-04-26,6,"transition",-0.751781633073026,2013-04-26,2013-04-26,1
2013-07-23,1,"0_10",-0.00369166666666671,2013-07-23,2013-07-23,1
2013-07-23,1,"10_30",-0.00231391320252745,2013-07-23,2013-07-23,1
2013-07-23,1,"transition",-0.00197170335882942,2013-07-23,2013-07-23,1
2013-07-23,2,"0_10",1.1663,2013-07-23,2013-07-23,1
2013-07-23,2,"10_30",0.876363390367619,2013-07-23,2013-07-23,1
2013-07-23,2,"transition",0.479529584370788,2013-07-23,2013-07-23,1
2013-07-23,3,"0_10",0.3636,2013-07-23,2013-07-23,1
2013-07-23,3,"10_30",0.261053175057862,2013-07-23,2013-07-23,1
2013-07-23,3,"transition",0.0744312915678487,2013-07-23,2013-07-23,1
2013-07-23,4,"0_10",0.011025,2013-07-23,2013-07-23,1
2013-07-23,4,"10_30",0.00817196120869058,2013-07-23,2013-07-23,1
2013-07-23,4,"transition",0.00189391750603513,2013-07-23,2013-07-23,1
2013-07-23,5,"0_10",0.219999999999999,2013-07-23,2013-07-23,1
2013-07-23,5,"10_30",0.205942909882186,2013-07-23,2013-07-23,1
2013-07-23,5,"transition",0.0895720695634201,2013-07-23,2013-07-23,1
2013-07-23,6,"0_10",-0.0639666666666668,2013-07-23,2013-07-23,1
2013-07-23,6,"10_30",-0.0709971010975095,2013-07-23,2013-07-23,1
2013-07-23,6,"transition",-0.0391338384339384,2013-07-23,2013-07-23,1
2013-10-22,1,"0_10",0.103366666666667,2013-10-22,2013-10-22,1
2013-10-22,1,"10_30",0.0647895696707681,2013-10-22,2013-10-22,1
2013-10-22,1,"transition",0.0552076940472232,2013-10-22,2013-10-22,1
2013-10-22,2,"0_10",1.99106666666666,2013-10-22,2013-10-22,1
2013-10-22,2,"10_30",1.49609700287058,2013-10-22,2013-10-22,1
2013-10-22,2,"transition",0.818636175187514,2013-10-22,2013-10-22,1
2013-10-22,3,"0_10",-0.2628,2013-10-22,2013-10-22,1
2013-10-22,3,"10_30",-0.188681997814098,2013-10-22,2013-10-22,1
2013-10-22,3,"transition",-0.0537968741034946,2013-10-22,2013-10-22,1
2013-10-22,4,"0_10",-0.415275,2013-10-22,2013-10-22,1
2013-10-22,4,"10_30",-0.307810538860679,2013-10-22,2013-10-22,1
2013-10-22,4,"transition",-0.0713375593939898,2013-10-22,2013-10-22,1
2013-10-22,5,"0_10",-0.126133333333333,2013-10-22,2013-10-22,1
2013-10-22,5,"10_30",-0.11807393499912,2013-10-22,2013-10-22,1
2013-10-22,5,"transition",-0.0513546532163608,2013-10-22,2013-10-22,1
2013-10-22,6,"0_10",-0.262600000000001,2013-10-22,2013-10-22,1
2013-10-22,6,"10_30",-0.291461783452934,2013-10-22,2013-10-22,1
2013-10-22,6,"transition",-0.160654705149852,2013-10-22,2013-10-22,1
2014-01-24,1,"0_10",0.498375000000001,2014-01-24,2014-01-24,1
2014-01-24,1,"10_30",0.312378282341203,2014-01-24,2014-01-24,1
2014-01-24,1,"transition",0.266179953441969,2014-01-24,2014-01-24,1
2014-01-24,2,"0_10",0.901066666666665,2014-01-24,2014-01-24,1
2014-01-24,2,"10_30",0.677065796919531,2014-01-24,2014-01-24,1
2014-01-24,2,"transition",0.370477685121357,2014-01-24,2014-01-24,1
2014-01-24,3,"0_10",0.3996,2014-01-24,2014-01-24,1
2014-01-24,3,"10_30",0.286900024073492,2014-01-24,2014-01-24,1
2014-01-24,3,"transition",0.0818007263765466,2014-01-24,2014-01-24,1
2014-01-24,4,"0_10",0.305025,2014-01-24,2014-01-24,1
2014-01-24,4,"10_30",0.226090926773773,2014-01-24,2014-01-24,1
2014-01-24,4,"transition",0.0523983843336386,2014-01-24,2014-01-24,1
2014-01-24,5,"0_10",2.42879999999999,2014-01-24,2014-01-24,1
2014-01-24,5,"10_30",2.27360972509933,2014-01-24,2014-01-24,1
2014-01-24,5,"transition",0.988875647980157,2014-01-24,2014-01-24,1
2014-01-24,6,"0_10",2.74383333333334,2014-01-24,2014-01-24,1
2014-01-24,6,"10_30",3.04540196813001,2014-01-24,2014-01-24,1
2014-01-24,6,"transition",1.67863570124525,2014-01-24,2014-01-24,1
2014-04-28,1,"0_10",1.27731666666667,2014-04-28,2014-04-28,1
2014-04-28,1,"10_30",0.800613968074491,2014-04-28,2014-04-28,1
2014-04-28,1,"transition",0.682209362154972,2014-04-28,2014-04-28,1
2014-04-28,2,"0_10",1.1554,2014-04-28,2014-04-28,1
2014-04-28,2,"10_30",0.868173078308109,2014-04-28,2014-04-28,1
2014-04-28,2,"transition",0.475047999470127,2014-04-28,2014-04-28,1
2014-04-28,3,"0_10",0.4068,2014-04-28,2014-04-28,1
2014-04-28,3,"10_30",0.292069393876618,2014-04-28,2014-04-28,1
2014-04-28,3,"transition",0.0832746133382861,2014-04-28,2014-04-28,1
2014-04-28,4,"0_10",-0.143325,2014-04-28,2014-04-28,1
2014-04-28,4,"10_30",-0.106235495712978,2014-04-28,2014-04-28,1
2014-04-28,4,"transition",-0.0246209275784567,2014-04-28,2014-04-28,1
2014-04-28,5,"0_10",0.715733333333331,2014-04-28,2014-04-28,1
2014-04-28,5,"10_30",0.670000933483378,2014-04-28,2014-04-28,1
2014-04-28,5,"transition",0.291407799646327,2014-04-28,2014-04-28,1
2014-04-28,6,"0_10",0.373700000000001,2014-04-28,2014-04-28,1
2014-04-28,6,"10_30",0.414772537990713,2014-04-28,2014-04-28,1
2014-04-28,6,"transition",0.228624003482482,2014-04-28,2014-04-28,1
2014-10-13,1,"0_10",3.11945833333334,2014-10-13,2014-10-13,1
2014-10-13,1,"10_30",1.95525665613568,2014-10-13,2014-10-13,1
2014-10-13,1,"transition",1.66608933821084,2014-10-13,2014-10-13,1
2014-10-13,2,"0_10",1.27893333333333,2014-10-13,2014-10-13,1
2014-10-13,2,"10_30",0.960996614982561,2014-10-13,2014-10-13,1
2014-10-13,2,"transition",0.525839295010958,2014-10-13,2014-10-13,1
2014-10-13,3,"0_10",6.1488,2014-10-13,2014-10-13,1
2014-10-13,3,"10_30",4.41464181186959,2014-10-13,2014-10-13,1
2014-10-13,3,"transition",1.2586994653256,2014-10-13,2014-10-13,1
2014-10-13,4,"0_10",4.4835,2014-10-13,2014-10-13,1
2014-10-13,4,"10_30",3.32326422486751,2014-10-13,2014-10-13,1
2014-10-13,4,"transition",0.770193119120952,2014-10-13,2014-10-13,1
2014-10-13,5,"0_10",3.92186666666666,2014-10-13,2014-10-13,1
