"Ring","Date","Depth","Year","F1_2_Pi_Exchangeable","F1_2_Po_Exchangeable","F3_Po_Moderately_labile","F5_6_Occluded","Total_Aqua_Regia_P"
1,2012-06-17,"0_10",2012,0.139545,0.538223683799835,1.00967083333334,10.9845754828669,12.672015
1,2013-03-11,"0_10",2013,0.139545,0.538223683799835,1.00967083333334,8.88217131620019,10.5696108333334
1,2014-03-10,"0_10",2014,0.139545,0.538223683799835,1.00967083333334,8.39413298286685,10.0815725
1,2018-10-01,"0_10",2018,0.139545,0.538223683799835,1.00967083333334,10.0212799081369,11.70871942527
1,2013-09-03,"0_10",2013,0.139545,0.538223683799835,1.00967083333334,11.8547013162002,13.5421408333334
1,2012-09-03,"0_10",2012,0.139545,0.538223683799835,1.00967083333334,9.03426798286685,10.7217075
2,2012-06-17,"0_10",2012,0.13843,0.497239464113999,0.861099999999998,8.80627386921931,10.3030433333333
2,2013-03-11,"0_10",2013,0.13843,0.497239464113999,0.861099999999998,7.39036386921932,8.88713333333332
2,2018-10-01,"0_10",2018,0.13843,0.497239464113999,0.861099999999998,5.43765170689932,6.93442117101332
2,2014-03-10,"0_10",2014,0.13843,0.497239464113999,0.861099999999998,7.90702386921932,9.40379333333331
2,2012-09-03,"0_10",2012,0.13843,0.497239464113999,0.861099999999998,8.97268053588598,10.46945
2,2013-09-03,"0_10",2013,0.13843,0.497239464113999,0.861099999999998,8.74668720255265,10.2434566666666
3,2012-09-03,"0_10",2012,0.14796,0.53182146456,0.8694,7.59625853544,9.14544
3,2013-03-11,"0_10",2013,0.14796,0.53182146456,0.8694,6.87913853544,8.42832
3,2018-10-01,"0_10",2018,0.14796,0.53182146456,0.8694,8.61252429096,10.16170575552
3,2012-06-17,"0_10",2012,0.14796,0.53182146456,0.8694,8.25937853544,9.80856
3,2013-09-03,"0_10",2013,0.14796,0.53182146456,0.8694,8.97757853544,10.52676
3,2014-03-10,"0_10",2014,0.14796,0.53182146456,0.8694,7.37773853544,8.92692
4,2013-09-03,"0_10",2013,0.1797075,0.5311808654985,0.92904,7.2263766345015,8.866305
4,2012-09-03,"0_10",2012,0.1797075,0.5311808654985,0.92904,6.6060366345015,8.245965
4,2013-03-11,"0_10",2013,0.1797075,0.5311808654985,0.92904,6.4796166345015,8.119545
4,2012-06-17,"0_10",2012,0.1797075,0.5311808654985,0.92904,5.9000691345015,7.5399975
4,2014-03-10,"0_10",2014,0.1797075,0.5311808654985,0.92904,6.2267766345015,7.866705
4,2018-10-01,"0_10",2018,0.1797075,0.5311808654985,0.92904,6.0854600499315,7.72538841543
5,2012-06-17,"0_10",2012,0.1276,0.539564309093332,1.18066666666666,10.1732623575733,12.0210933333333
5,2018-10-01,"0_10",2018,0.1276,0.539564309093332,1.18066666666666,10.0490886199733,11.8969195957333
5,2012-09-03,"0_10",2012,0.1276,0.539564309093332,1.18066666666666,8.78051569090664,10.6283466666666
5,2013-03-11,"0_10",2013,0.1276,0.539564309093332,1.18066666666666,7.81280902423998,9.66063999999997
5,2014-03-10,"0_10",2014,0.1276,0.539564309093332,1.18066666666666,9.82008902423997,11.66792
5,2013-09-03,"0_10",2013,0.1276,0.539564309093332,1.18066666666666,9.38507569090664,11.2329066666666
6,2012-06-17,"0_10",2012,0.236340000000001,0.490996224726335,1.23388333333334,8.69495377527369,10.6561733333334
6,2013-03-11,"0_10",2013,0.236340000000001,0.490996224726335,1.23388333333334,8.77205044194035,10.73327
6,2012-09-03,"0_10",2012,0.236340000000001,0.490996224726335,1.23388333333334,10.172247108607,12.1334666666667
6,2018-10-01,"0_10",2018,0.236340000000001,0.490996224726335,1.23388333333334,9.43896629856702,11.4001858566267
6,2014-03-10,"0_10",2014,0.236340000000001,0.490996224726335,1.23388333333334,10.4264304419404,12.38765
6,2013-09-03,"0_10",2013,0.236340000000001,0.490996224726335,1.23388333333334,11.4212804419404,13.3825
