"Date","Ring","Depth","PercP"
2012-06-13,1,"0_10",0.000289375
2012-06-13,1,"10_30",0.000271472760088001
2012-06-13,1,"transition",0.000135911554186336
2012-06-13,2,"0_10",0.0001988
2012-06-13,2,"10_30",0.000137147944127735
2012-06-13,2,"transition",3.62130164253425e-05
2012-06-13,3,"0_10",0.000151475
2012-06-13,3,"10_30",0.000131528527870619
2012-06-13,3,"transition",0.000178981746868627
2012-06-13,4,"0_10",0.000223375
2012-06-13,4,"10_30",0.000171612911675642
2012-06-13,4,"transition",0.000251753859373908
2012-06-13,5,"0_10",0.000147125
2012-06-13,5,"10_30",0.000143533661153749
2012-06-13,5,"transition",0.000196820551302721
2012-06-13,6,"0_10",0.000168275
2012-06-13,6,"10_30",9.91906317271227e-05
2012-06-13,6,"transition",8.08856130597487e-05
2012-09-03,1,"0_10",0.000151575
2012-09-03,1,"10_30",0.000142197783534648
2012-09-03,1,"transition",7.11906482100868e-05
2012-09-03,2,"0_10",0.00017685
2012-09-03,2,"10_30",0.000122005100196127
2012-09-03,2,"transition",3.22146476600695e-05
2012-09-03,3,"0_10",0.0001735
2012-09-03,3,"10_30",0.000150653240373345
2012-09-03,3,"transition",0.000205006325015394
2012-09-03,4,"0_10",0.000128875
2012-09-03,4,"10_30",9.90111426623317e-05
2012-09-03,4,"transition",0.000145248029666759
2012-09-03,5,"0_10",0.0001648
2012-09-03,5,"10_30",0.000160777212289807
2012-09-03,5,"transition",0.000220465773014025
2012-09-03,6,"0_10",0.0001783
2012-09-03,6,"10_30",0.000105099923559328
2012-09-03,6,"transition",8.57043815691766e-05
2012-12-11,1,"0_10",0.000208275
2012-12-11,1,"10_30",0.000195390027152754
2012-12-11,1,"transition",9.78210935573533e-05
2012-12-11,2,"0_10",0.0001873
2012-12-11,2,"10_30",0.000129214335689763
2012-12-11,2,"transition",3.4118199076794e-05
2012-12-11,3,"0_10",0.0001485
2012-12-11,3,"10_30",0.00012894528066537
2012-12-11,3,"transition",0.000175466508730755
2012-12-11,4,"0_10",0.00016095
2012-12-11,4,"10_30",0.000123653489129019
2012-12-11,4,"transition",0.000181398024247255
2012-12-11,5,"0_10",0.000194975
2012-12-11,5,"10_30",0.000190215636930856
2012-12-11,5,"transition",0.000260833216586223
2012-12-11,6,"0_10",0.000189375
2012-12-11,6,"10_30",0.000111628143713112
2012-12-11,6,"transition",9.10278589997915e-05
2013-03-11,1,"0_10",0.0002157
2013-03-11,1,"10_30",0.000202355678102745
2013-03-11,1,"transition",0.0001013084137814
2013-03-11,2,"0_10",0.00014715
2013-03-11,2,"10_30",0.000101515694056319
2013-03-11,2,"transition",2.68045541599052e-05
2013-03-11,3,"0_10",0.00012665
2013-03-11,3,"10_30",0.0001099725238806
2013-03-11,3,"transition",0.000149648709297981
2013-03-11,4,"0_10",0.0001678
2013-03-11,4,"10_30",0.000128916157041624
2013-03-11,4,"transition",0.000189118288093752
2013-03-11,5,"0_10",0.000209175
2013-03-11,5,"10_30",0.000204069013232526
2013-03-11,5,"transition",0.000279829660620198
2013-03-11,6,"0_10",0.000232025
2013-03-11,6,"10_30",0.000136768422680051
2013-03-11,6,"transition",0.000111528654703243
2013-06-11,1,"0_10",0.000203525
2013-06-11,1,"10_30",0.000190933886814377
2013-06-11,1,"transition",9.55901479594782e-05
2013-06-11,2,"0_10",0.000144725
2013-06-11,2,"10_30",9.98427374943988e-05
2013-06-11,2,"transition",2.63628209364069e-05
2013-06-11,3,"0_10",0.000122125
2013-06-11,3,"10_30",0.000106043383173457
2013-06-11,3,"transition",0.000144302002550461
2013-06-11,4,"0_10",0.00012935
2013-06-11,4,"10_30",9.93760721891182e-05
2013-06-11,4,"transition",0.000145783376429838
2013-06-11,5,"0_10",0.000171625
2013-06-11,5,"10_30",0.000167435613223532
2013-06-11,5,"transition",0.000229596106150073
2013-06-11,6,"0_10",0.00015735
2013-06-11,6,"10_30",9.27508299049934e-05
2013-06-11,6,"transition",7.56342369035891e-05
2013-09-03,1,"0_10",0.000256025
2013-09-03,1,"10_30",0.00024018596423855
2013-09-03,1,"transition",0.000120247967725466
2013-09-03,2,"0_10",0.0002341
2013-09-03,2,"10_30",0.000161500672637338
2013-09-03,2,"transition",4.26431948952348e-05
2013-09-03,3,"0_10",0.00019185
2013-09-03,3,"10_30",0.000166586882798998
2013-09-03,3,"transition",0.000226688550168319
2013-09-03,4,"0_10",0.000187175
2013-09-03,4,"10_30",0.000143801440371072
2013-09-03,4,"transition",0.00021095480079826
2013-09-03,5,"0_10",0.000231075
2013-09-03,5,"10_30",0.000225434431613271
2013-09-03,5,"transition",0.000309126993320484
2013-09-03,6,"0_10",0.0002296
2013-09-03,6,"10_30",0.000135338992984979
2013-09-03,6,"transition",0.000110363017432883
2013-12-10,1,"0_10",0.000192125
2013-12-10,1,"10_30",0.000180239150002271
2013-12-10,1,"transition",9.02358785245781e-05
2013-12-10,2,"0_10",0.000140175
2013-12-10,2,"10_30",9.670378806894e-05
2013-12-10,2,"transition",2.55340018985029e-05
2013-12-10,3,"0_10",0.0001103
2013-12-10,3,"10_30",9.57755182315847e-05
2013-12-10,3,"transition",0.000130329669447827
2013-12-10,4,"0_10",0.00011325
2013-12-10,4,"10_30",8.70068819127765e-05
2013-12-10,4,"transition",0.000127637938776027
2013-12-10,5,"0_10",0.0001672
2013-12-10,5,"10_30",0.000163118628002765
2013-12-10,5,"transition",0.000223676439611317
2013-12-10,6,"0_10",0.0001438
2013-12-10,6,"10_30",8.47637072789199e-05
2013-12-10,6,"transition",6.91210884444621e-05
2014-03-10,1,"0_10",0.000183475
2014-03-10,1,"10_30",0.000172124283912383
2014-03-10,1,"transition",8.61732091726582e-05
2014-03-10,2,"0_10",0.000137375
2014-03-10,2,"10_30",9.47721268840424e-05
2014-03-10,2,"transition",2.50239594136389e-05
2014-03-10,3,"0_10",0.0001066
2014-03-10,3,"10_30",9.25627401948045e-05
2014-03-10,3,"transition",0.0001259577766377
2014-03-10,4,"0_10",0.000116575
2014-03-10,4,"10_30",8.95613886002818e-05
2014-03-10,4,"transition",0.000131385366117575
2014-03-10,5,"0_10",0.00015215
2014-03-10,5,"10_30",0.000148436000302755
2014-03-10,5,"transition",0.0002035428844908
2014-03-10,6,"0_10",0.0001666
2014-03-10,6,"10_30",9.82032936903203e-05
2014-03-10,6,"transition",8.00804821616647e-05
2014-06-17,1,"0_10",0.000118925
2014-06-17,1,"10_30",0.000111567682050853
2014-06-17,1,"transition",5.58558326794298e-05
2014-06-17,2,"0_10",0.000122675
2014-06-17,2,"10_30",8.46309056633295e-05
2014-06-17,2,"transition",2.23462363681031e-05
2014-06-17,3,"0_10",7.2075e-05
2014-06-17,3,"10_30",6.25840478380913e-05
2014-06-17,3,"transition",8.5163290348614e-05
2014-06-17,4,"0_10",8.155e-05
2014-06-17,4,"10_30",6.26526377040788e-05
2014-06-17,4,"transition",9.19105863769097e-05
2014-06-17,5,"0_10",0.000149425
2014-06-17,5,"10_30",0.000145777517878667
2014-06-17,5,"transition",0.000199897440125125
2014-06-17,6,"0_10",0.00011215
2014-06-17,6,"10_30",6.61074392999365e-05
2014-06-17,6,"transition",5.3907719534398e-05
2014-09-09,1,"0_10",0.00019625
2014-09-09,1,"10_30",0.000184108956085599
2014-09-09,1,"transition",9.21732786490485e-05
2014-09-09,2,"0_10",0.0001791875
2014-09-09,2,"10_30",0.000123617692346019
2014-09-09,2,"transition",3.26404420559158e-05
2014-09-09,3,"0_10",7.62125e-05
2014-09-09,3,"10_30",6.61767151697611e-05
2014-09-09,3,"transition",9.00521299437218e-05
2014-09-09,4,"0_10",0.000100675
2014-09-09,4,"10_30",7.73458528615344e-05
2014-09-09,4,"transition",0.000113465337627166
2014-09-09,5,"0_10",0.000145575
2014-09-09,5,"10_30",0.00014202149683913
2014-09-09,5,"transition",0.00019474699579197
2014-09-09,6,"0_10",0.0001585375
2014-09-09,6,"10_30",9.34508083639205e-05
2014-09-09,6,"transition",7.62050386596934e-05
2014-11-17,1,"0_10",0.000206975
2014-11-17,1,"10_30",0.000194170451902251
2014-11-17,1,"transition",9.72105189726717e-05
2014-11-17,2,"0_10",0.0001942625
2014-11-17,2,"10_30",0.000134017618189709
2014-11-17,2,"transition",3.53864743628174e-05
2014-11-17,3,"0_10",0.0001109
2014-11-17,3,"10_30",9.62965092645761e-05
2014-11-17,3,"transition",0.000131038625038658
2014-11-17,4,"0_10",0.00013305
2014-11-17,4,"10_30",0.000102218681134613
2014-11-17,4,"transition",0.000149953445952763
2014-11-17,5,"0_10",0.0001909875
2014-11-17,5,"10_30",0.000186325472282764
2014-11-17,5,"transition",0.000255498827812598
2014-11-17,6,"0_10",0.000195642857142857
2014-11-17,6,"10_30",0.000115322766857223
2014-11-17,6,"transition",9.40406622538157e-05
2015-03-10,1,"0_10",6.35e-05
2015-03-10,1,"10_30",5.95715603130472e-05
2015-03-10,1,"transition",2.98242200979087e-05
2015-03-10,2,"0_10",6.075e-05
2015-03-10,2,"10_30",4.19101489223336e-05
2015-03-10,2,"transition",1.10661003412452e-05
2015-03-10,3,"0_10",3.8375e-05
2015-03-10,3,"10_30",3.33217181517413e-05
2015-03-10,3,"transition",4.53436179969208e-05
2015-03-10,4,"0_10",3.0375e-05
2015-03-10,4,"10_30",2.33362828971354e-05
2015-03-10,4,"transition",3.42340166915835e-05
2015-03-10,5,"0_10",6.0625e-05
2015-03-10,5,"10_30",5.91451364992083e-05
2015-03-10,5,"transition",8.11027760253353e-05
2015-03-10,6,"0_10",6.4e-05
2015-03-10,6,"10_30",3.77251548390186e-05
2015-03-10,6,"transition",3.0763210434253e-05
2015-06-09,1,"0_10",0.0002045
2015-06-09,1,"10_30",0.000191848568252254
2015-06-09,1,"transition",9.60480788979894e-05
2015-06-09,2,"0_10",0.00028525
2015-06-09,2,"10_30",0.000196787983211451
2015-06-09,2,"transition",5.19605781455178e-05
2015-06-09,3,"0_10",0.000165
2015-06-09,3,"10_30",0.000143272534072634
2015-06-09,3,"transition",0.000194962787478617
2015-06-09,4,"0_10",0.00018575
2015-06-09,4,"10_30",0.000142706651790713
2015-06-09,4,"transition",0.000209348760509025
2015-06-09,5,"0_10",0.000231125
2015-06-09,5,"10_30",0.000225483211107291
2015-06-09,5,"transition",0.000309193882207928
2015-06-09,6,"0_10",0.000219625
2015-06-09,6,"10_30",0.000129459173929992
2015-06-09,6,"transition",0.000105568282681606
2015-09-09,1,"0_10",0.000134875
2015-09-09,1,"10_30",0.00012653093223972
2015-09-09,1,"transition",6.33471131607155e-05
2015-09-09,2,"0_10",0.000177125
2015-09-09,2,"10_30",0.000122194816919643
2015-09-09,2,"transition",3.22647411184044e-05
2015-09-09,3,"0_10",0.00011075
2015-09-09,3,"10_30",9.61662615063283e-05
2015-09-09,3,"transition",0.00013086138614095
2015-09-09,4,"0_10",0.000122875
2015-09-09,4,"10_30",9.44015065345025e-05
2015-09-09,4,"transition",0.000138485754764718
2015-09-09,5,"0_10",0.000148625
2015-09-09,5,"10_30",0.000144997045974348
2015-09-09,5,"transition",0.000198827217926028
2015-09-09,6,"0_10",0.000136
