"Date","Ring","Depth","soil_phosphate_p_g_m2"
"2012-06-13",1,"0_10",0.427310416666668
"2013-03-11",1,"0_10",0.318517000000001
"2014-09-09",1,"0_10",0.289795833333334
"2015-06-09",1,"0_10",0.301978333333334
"2018-10-01",1,"0_10",0.506692378307668
"2012-09-03",1,"0_10",0.223825750000001
"2014-03-10",1,"0_10",0.270931416666667
"2014-11-17",1,"0_10",0.305633083333334
"2015-09-09",1,"0_10",0.199165416666667
"2015-03-10",1,"0_10",0.0937683333333336
"2013-09-03",1,"0_10",0.378063583333334
"2014-06-17",1,"0_10",0.175612583333334
"2015-11-30",1,"0_10",0.260262500000001
"2013-12-10",1,"0_10",0.283704583333334
"2013-06-11",1,"0_10",0.300538583333334
"2012-12-11",1,"0_10",0.307552750000001
"2015-09-09",1,"10_30",0.446232421032078
"2012-06-13",1,"10_30",0.957393933910348
"2014-09-09",1,"10_30",0.649290918461878
"2015-11-30",1,"10_30",0.583121143332004
"2018-10-01",1,"10_30",1.135250137674
"2014-03-10",1,"10_30",0.60702497459767
"2015-06-09",1,"10_30",0.676585950702948
"2015-03-10",1,"10_30",0.210089036037346
"2013-09-03",1,"10_30",0.847055833881285
"2014-11-17",1,"10_30",0.684774460375271
"2014-06-17",1,"10_30",0.393462025366008
"2013-03-11",1,"10_30",0.713641024775679
"2013-12-10",1,"10_30",0.635643402341341
"2012-09-03",1,"10_30",0.501484183265524
"2013-06-11",1,"10_30",0.673360174165368
"2012-12-11",1,"10_30",0.689075495758711
"2015-03-10",1,"transition",0.163198132375756
"2014-11-17",1,"transition",0.53193595981846
"2013-12-10",1,"transition",0.493770727286491
"2014-09-09",1,"transition",0.504372180767593
"2013-06-11",1,"transition",0.523069289634265
"2013-09-03",1,"transition",0.65799687939375
"2014-03-10",1,"transition",0.471539800592786
"2014-06-17",1,"transition",0.30564311642184
"2015-11-30",1,"transition",0.452971194192552
"2012-06-13",1,"transition",0.743708024507631
"2013-03-11",1,"transition",0.554359640211821
"2015-06-09",1,"transition",0.525575087729798
"2018-10-01",1,"transition",0.8818675440768
"2012-09-03",1,"transition",0.389555227005595
"2012-12-11",1,"transition",0.535277023945837
"2015-09-09",1,"transition",0.346635403215435
"2014-11-17",2,"0_10",0.282328166666666
"2014-06-17",2,"0_10",0.178287666666666
"2014-09-09",2,"0_10",0.260419166666666
"2015-09-09",2,"0_10",0.257421666666666
"2014-03-10",2,"0_10",0.199651666666666
"2013-06-11",2,"0_10",0.210333666666666
"2015-03-10",2,"0_10",0.0882899999999998
"2015-11-30",2,"0_10",0.247793333333333
"2012-06-13",2,"0_10",0.288922666666666
"2013-09-03",2,"0_10",0.340225333333333
"2013-12-10",2,"0_10",0.203721
"2015-06-09",2,"0_10",0.414563333333332
"2018-10-01",2,"0_10",0.559538442962665
"2013-03-11",2,"0_10",0.213858
"2012-12-11",2,"0_10",0.272209333333333
"2012-09-03",2,"0_10",0.257021999999999
"2014-03-10",2,"10_30",0.341179656782553
"2014-11-17",2,"10_30",0.482463425482952
"2012-09-03",2,"10_30",0.439218360706057
"2012-12-11",2,"10_30",0.465171608483147
"2014-06-17",2,"10_30",0.304671260387986
"2015-03-10",2,"10_30",0.150876536120401
"2012-06-13",2,"10_30",0.493732598859846
"2018-10-01",2,"10_30",0.95618101824
"2014-09-09",2,"10_30",0.445023692445668
"2013-12-10",2,"10_30",0.348133637048184
"2015-06-09",2,"10_30",0.708436739561224
"2015-09-09",2,"10_30",0.439901340910715
"2013-06-11",2,"10_30",0.359433854979836
"2015-11-30",2,"10_30",0.423447726889354
"2013-09-03",2,"10_30",0.581402421494417
"2013-03-11",2,"10_30",0.365456498602748
"2012-09-03",2,"transition",0.179854377886168
