Date,Start_date,End_date,Ring,twiglitter_p_flux_mg_m2_d,Days
09/10/2012,14/09/2012,09/10/2012,1,0.027300657,25
09/10/2012,14/09/2012,09/10/2012,2,0.009748358,25
09/10/2012,14/09/2012,09/10/2012,3,0.012717534,25
09/10/2012,14/09/2012,09/10/2012,4,0.00454573,25
09/10/2012,14/09/2012,09/10/2012,5,0.009643254,25
09/10/2012,14/09/2012,09/10/2012,6,0.009354219,25
13/11/2012,09/10/2012,13/11/2012,1,0.054408382,35
13/11/2012,09/10/2012,13/11/2012,2,0.015129258,35
13/11/2012,09/10/2012,13/11/2012,3,0.025357378,35
13/11/2012,09/10/2012,13/11/2012,4,0.011808869,35
13/11/2012,09/10/2012,13/11/2012,5,0.02028704,35
13/11/2012,09/10/2012,13/11/2012,6,0.008530424,35
11/12/2012,13/11/2012,11/12/2012,1,0.027463591,28
11/12/2012,13/11/2012,11/12/2012,2,0.036906491,28
11/12/2012,13/11/2012,11/12/2012,3,0.071994785,28
11/12/2012,13/11/2012,11/12/2012,4,0.045909505,28
11/12/2012,13/11/2012,11/12/2012,5,0.083329198,28
11/12/2012,13/11/2012,11/12/2012,6,0.085528631,28
08/01/2013,11/12/2012,08/01/2013,1,0.046173437,28
08/01/2013,11/12/2012,08/01/2013,2,0.045044395,28
08/01/2013,11/12/2012,08/01/2013,3,0.029091172,28
08/01/2013,11/12/2012,08/01/2013,4,0.032404984,28
08/01/2013,11/12/2012,08/01/2013,5,0.05983925,28
08/01/2013,11/12/2012,08/01/2013,6,0.041613279,28
20/02/2013,08/01/2013,20/02/2013,1,0.011648472,43
20/02/2013,08/01/2013,20/02/2013,2,0.028061359,43
20/02/2013,08/01/2013,20/02/2013,3,0.012927894,43
20/02/2013,08/01/2013,20/02/2013,4,0.02031799,43
20/02/2013,08/01/2013,20/02/2013,5,0.022590397,43
20/02/2013,08/01/2013,20/02/2013,6,0.029283494,43
14/03/2013,20/02/2013,14/03/2013,1,0.019077728,22
14/03/2013,20/02/2013,14/03/2013,2,0.013967364,22
14/03/2013,20/02/2013,14/03/2013,3,0.026742195,22
14/03/2013,20/02/2013,14/03/2013,4,0.006867232,22
14/03/2013,20/02/2013,14/03/2013,5,0.017714666,22
14/03/2013,20/02/2013,14/03/2013,6,0.013569742,22
09/04/2013,14/03/2013,09/04/2013,1,0.006344113,26
09/04/2013,14/03/2013,09/04/2013,2,0.02188072,26
09/04/2013,14/03/2013,09/04/2013,3,0.011036157,26
09/04/2013,14/03/2013,09/04/2013,4,0.002428134,26
09/04/2013,14/03/2013,09/04/2013,5,0.017738897,26
09/04/2013,14/03/2013,09/04/2013,6,0.012689349,26
13/05/2013,09/04/2013,13/05/2013,1,0.023708308,34
13/05/2013,09/04/2013,13/05/2013,2,0.00496827,34
13/05/2013,09/04/2013,13/05/2013,3,0.011595098,34
13/05/2013,09/04/2013,13/05/2013,4,0.019502877,34
13/05/2013,09/04/2013,13/05/2013,5,0.007258073,34
13/05/2013,09/04/2013,13/05/2013,6,0.006655273,34
14/06/2013,13/05/2013,14/06/2013,1,0.013526727,32
14/06/2013,13/05/2013,14/06/2013,2,0.01440795,32
14/06/2013,13/05/2013,14/06/2013,3,0.004906203,32
14/06/2013,13/05/2013,14/06/2013,4,0.003856991,32
14/06/2013,13/05/2013,14/06/2013,5,0.014123523,32
14/06/2013,13/05/2013,14/06/2013,6,0.006769465,32
08/07/2013,14/06/2013,08/07/2013,1,0.013137644,24
08/07/2013,14/06/2013,08/07/2013,2,0.001204312,24
08/07/2013,14/06/2013,08/07/2013,3,0.005487983,24
08/07/2013,14/06/2013,08/07/2013,4,0.000743115,24
08/07/2013,14/06/2013,08/07/2013,5,0.011103391,24
08/07/2013,14/06/2013,08/07/2013,6,0.004125529,24
15/08/2013,08/07/2013,15/08/2013,1,0.039030655,38
15/08/2013,08/07/2013,15/08/2013,2,0.474530309,38
15/08/2013,08/07/2013,15/08/2013,3,0.025189903,38
15/08/2013,08/07/2013,15/08/2013,4,0.021018701,38
15/08/2013,08/07/2013,15/08/2013,5,0.020949842,38
15/08/2013,08/07/2013,15/08/2013,6,0.035890321,38
10/09/2013,15/08/2013,10/09/2013,1,0.018778002,26
10/09/2013,15/08/2013,10/09/2013,2,0.025362276,26
10/09/2013,15/08/2013,10/09/2013,3,0.0271825,26
10/09/2013,15/08/2013,10/09/2013,4,0.015046881,26
10/09/2013,15/08/2013,10/09/2013,5,0.040094043,26
10/09/2013,15/08/2013,10/09/2013,6,0.039673376,26
09/10/2013,10/09/2013,09/10/2013,1,0.024061825,29
09/10/2013,10/09/2013,09/10/2013,2,0.056336882,29
09/10/2013,10/09/2013,09/10/2013,3,0.038362684,29
09/10/2013,10/09/2013,09/10/2013,4,0.025013446,29
09/10/2013,10/09/2013,09/10/2013,5,0.024372908,29
09/10/2013,10/09/2013,09/10/2013,6,0.036215057,29
11/11/2013,09/10/2013,11/11/2013,1,0.013644445,33
11/11/2013,09/10/2013,11/11/2013,2,0.04673604,33
11/11/2013,09/10/2013,11/11/2013,3,0.055553284,33
11/11/2013,09/10/2013,11/11/2013,4,0.016761943,33
11/11/2013,09/10/2013,11/11/2013,5,0.091259862,33
11/11/2013,09/10/2013,11/11/2013,6,0.074071267,33
12/12/2013,11/11/2013,12/12/2013,1,0.016853304,31
12/12/2013,11/11/2013,12/12/2013,2,0.025710588,31
12/12/2013,11/11/2013,12/12/2013,3,0.017094284,31
12/12/2013,11/11/2013,12/12/2013,4,0.011332776,31
12/12/2013,11/11/2013,12/12/2013,5,0.029105029,31
12/12/2013,11/11/2013,12/12/2013,6,0.02825071,31
14/01/2014,12/12/2013,14/01/2014,1,0.011833885,33
14/01/2014,12/12/2013,14/01/2014,2,0.012409721,33
14/01/2014,12/12/2013,14/01/2014,3,0.015675629,33
14/01/2014,12/12/2013,14/01/2014,4,0.024500173,33
14/01/2014,12/12/2013,14/01/2014,5,0.019700177,33
14/01/2014,12/12/2013,14/01/2014,6,0.01840662,33
26/02/2014,14/01/2014,26/02/2014,1,0.020487137,43
26/02/2014,14/01/2014,26/02/2014,2,0.029866597,43
26/02/2014,14/01/2014,26/02/2014,3,0.018357397,43
26/02/2014,14/01/2014,26/02/2014,4,0.014333264,43
26/02/2014,14/01/2014,26/02/2014,5,0.031222827,43
26/02/2014,14/01/2014,26/02/2014,6,0.021274056,43
13/03/2014,26/02/2014,13/03/2014,1,0.012336047,15
13/03/2014,26/02/2014,13/03/2014,2,0.007297644,15
13/03/2014,26/02/2014,13/03/2014,3,0.002970636,15
13/03/2014,26/02/2014,13/03/2014,4,0.004692194,15
13/03/2014,26/02/2014,13/03/2014,5,0.010202347,15
13/03/2014,26/02/2014,13/03/2014,6,0.009225759,15
14/04/2014,13/03/2014,14/04/2014,1,0.024639519,32
14/04/2014,13/03/2014,14/04/2014,2,0.02650966,32
14/04/2014,13/03/2014,14/04/2014,3,0.011161098,32
14/04/2014,13/03/2014,14/04/2014,4,0.01919988,32
14/04/2014,13/03/2014,14/04/2014,5,0.016365085,32
14/04/2014,13/03/2014,14/04/2014,6,0.013200302,32
07/05/2014,14/04/2014,07/05/2014,1,0.016145932,23
07/05/2014,14/04/2014,07/05/2014,2,0.012543706,23
07/05/2014,14/04/2014,07/05/2014,3,0.020600517,23
07/05/2014,14/04/2014,07/05/2014,4,0.005999009,23
07/05/2014,14/04/2014,07/05/2014,5,0.028483643,23
07/05/2014,14/04/2014,07/05/2014,6,0.021573725,23
12/06/2014,07/05/2014,12/06/2014,1,0.001442551,36
12/06/2014,07/05/2014,12/06/2014,2,0.001741805,36
12/06/2014,07/05/2014,12/06/2014,3,0.00157815,36
12/06/2014,07/05/2014,12/06/2014,4,0.006862411,36
12/06/2014,07/05/2014,12/06/2014,5,0.004634662,36
12/06/2014,07/05/2014,12/06/2014,6,0.00594994,36
03/07/2014,12/06/2014,03/07/2014,1,0.025865727,21
03/07/2014,12/06/2014,03/07/2014,2,0.045260623,21
03/07/2014,12/06/2014,03/07/2014,3,0.05518388,21
03/07/2014,12/06/2014,03/07/2014,4,0.035098459,21
03/07/2014,12/06/2014,03/07/2014,5,0.037654494,21
03/07/2014,12/06/2014,03/07/2014,6,0.071858713,21
14/08/2014,03/07/2014,14/08/2014,1,0.004062598,42
14/08/2014,03/07/2014,14/08/2014,2,0.015100038,42
14/08/2014,03/07/2014,14/08/2014,3,0.00667357,42
14/08/2014,03/07/2014,14/08/2014,4,0.001898258,42
14/08/2014,03/07/2014,14/08/2014,5,0.006562034,42
14/08/2014,03/07/2014,14/08/2014,6,0.007635748,42
15/09/2014,14/08/2014,15/09/2014,1,0.002920499,32
15/09/2014,14/08/2014,15/09/2014,2,0.003326313,32
15/09/2014,14/08/2014,15/09/2014,3,0.003174534,32
15/09/2014,14/08/2014,15/09/2014,4,0.001552048,32
15/09/2014,14/08/2014,15/09/2014,5,0.006225386,32
15/09/2014,14/08/2014,15/09/2014,6,0.011610534,32
16/10/2014,15/09/2014,16/10/2014,1,0.014071379,31
