"Date","Ring","twig_flux","Start_date","End_date","Days"
2012-10-09,"1",210.0050530571,2012-09-14,2012-10-09,26
2012-10-09,"2",74.9873673572511,2012-09-14,2012-10-09,26
2012-10-09,"3",97.8271854471956,2012-09-14,2012-10-09,26
2012-10-09,"4",34.967155128853,2012-09-14,2012-10-09,26
2012-10-09,"5",74.1788782213239,2012-09-14,2012-10-09,26
2012-10-09,"6",71.955533097524,2012-09-14,2012-10-09,26
2012-11-13,"1",418.526016681651,2012-10-09,2012-11-13,36
2012-11-13,"2",116.378904908465,2012-10-09,2012-11-13,36
2012-11-13,"3",195.056753924869,2012-10-09,2012-11-13,36
2012-11-13,"4",90.8374512467489,2012-10-09,2012-11-13,36
2012-11-13,"5",156.054153022319,2012-10-09,2012-11-13,36
2012-11-13,"6",65.6186494993974,2012-10-09,2012-11-13,36
2012-12-11,"1",211.258391684112,2012-11-13,2012-12-11,29
2012-12-11,"2",283.896087490074,2012-11-13,2012-12-11,29
2012-12-11,"3",553.806034793907,2012-11-13,2012-12-11,29
2012-12-11,"4",353.150039702592,2012-11-13,2012-12-11,29
2012-12-11,"5",640.993828051686,2012-11-13,2012-12-11,29
2012-12-11,"6",657.912546018913,2012-11-13,2012-12-11,29
2013-01-08,"1",355.180285858659,2012-12-11,2013-01-08,29
2013-01-08,"2",346.495343968815,2012-12-11,2013-01-08,29
2013-01-08,"3",223.77824297986,2012-12-11,2013-01-08,29
2013-01-08,"4",249.269111383816,2012-12-11,2013-01-08,29
2013-01-08,"5",460.301920161698,2012-12-11,2013-01-08,29
2013-01-08,"6",320.102143939941,2012-12-11,2013-01-08,29
2013-02-20,"1",89.6036288000752,2013-01-08,2013-02-20,44
2013-02-20,"2",215.856610691329,2013-01-08,2013-02-20,44
2013-02-20,"3",99.4453388486081,2013-01-08,2013-02-20,44
2013-02-20,"4",156.292231218492,2013-01-08,2013-02-20,44
2013-02-20,"5",173.772283394244,2013-01-08,2013-02-20,44
2013-02-20,"6",225.257647155599,2013-01-08,2013-02-20,44
2013-03-14,"1",146.751751981666,2013-02-20,2013-03-14,23
2013-03-14,"2",107.44126459134,2013-02-20,2013-03-14,23
2013-03-14,"3",205.709188907774,2013-02-20,2013-03-14,23
2013-03-14,"4",52.824863082569,2013-02-20,2013-03-14,23
2013-03-14,"5",136.26665850011,2013-02-20,2013-03-14,23
2013-03-14,"6",104.382633816691,2013-02-20,2013-03-14,23
2013-04-09,"1",48.8008706806079,2013-03-14,2013-04-09,27
2013-04-09,"2",168.313229076241,2013-03-14,2013-04-09,27
2013-04-09,"3",84.8935186984707,2013-03-14,2013-04-09,27
2013-04-09,"4",18.6779561463745,2013-03-14,2013-04-09,27
2013-04-09,"5",136.453056235775,2013-03-14,2013-04-09,27
2013-04-09,"6",97.6103790656595,2013-03-14,2013-04-09,27
2013-05-13,"1",182.37160115857,2013-04-09,2013-05-13,35
2013-05-13,"2",38.2174597984722,2013-04-09,2013-05-13,35
2013-05-13,"3",89.1930631103713,2013-04-09,2013-05-13,35
2013-05-13,"4",150.022127766384,2013-04-09,2013-05-13,35
2013-05-13,"5",55.8313269724262,2013-04-09,2013-05-13,35
2013-05-13,"6",51.1944039869611,2013-04-09,2013-05-13,35
2013-06-14,"1",104.051744708326,2013-05-13,2013-06-14,33
2013-06-14,"2",110.830385716692,2013-05-13,2013-06-14,33
2013-06-14,"3",37.7400202122284,2013-05-13,2013-06-14,33
2013-06-14,"4",29.669165122677,2013-05-13,2013-06-14,33
2013-06-14,"5",108.642482173937,2013-05-13,2013-06-14,33
2013-06-14,"6",52.0728061310426,2013-05-13,2013-06-14,33
2013-07-08,"1",101.058802612618,2013-06-14,2013-07-08,25
2013-07-08,"2",9.26393801583291,2013-06-14,2013-07-08,25
2013-07-08,"3",42.2152508749275,2013-06-14,2013-07-08,25
2013-07-08,"4",5.71627084386054,2013-06-14,2013-07-08,25
2013-07-08,"5",85.4107012520353,2013-06-14,2013-07-08,25
2013-07-08,"6",31.7348361499448,2013-06-14,2013-07-08,25
2013-08-15,"1",300.235809331312,2013-07-08,2013-08-15,39
2013-08-15,"2",3650.23314982758,2013-07-08,2013-08-15,39
2013-08-15,"3",193.768487244725,2013-07-08,2013-08-15,39
2013-08-15,"4",161.68231341365,2013-07-08,2013-08-15,39
2013-08-15,"5",161.152628919444,2013-07-08,2013-08-15,39
2013-08-15,"6",276.079389141542,2013-07-08,2013-08-15,39
2013-09-10,"1",144.446171985333,2013-08-15,2013-09-10,27
2013-09-10,"2",195.09443170383,2013-08-15,2013-09-10,27
2013-09-10,"3",209.096150607015,2013-08-15,2013-09-10,27
2013-09-10,"4",115.745239545138,2013-08-15,2013-09-10,27
2013-09-10,"5",308.415715439465,2013-08-15,2013-09-10,27
2013-09-10,"6",305.179815412256,2013-08-15,2013-09-10,27
2013-10-09,"1",185.090964707978,2013-09-10,2013-10-09,30
2013-10-09,"2",433.360631457894,2013-09-10,2013-10-09,30
2013-10-09,"3",295.09756659484,2013-09-10,2013-10-09,30
2013-10-09,"4",192.411121372108,2013-09-10,2013-10-09,30
2013-10-09,"5",187.483906690751,2013-09-10,2013-10-09,30
2013-10-09,"6",278.577361142572,2013-09-10,2013-10-09,30
2013-11-11,"1",104.957270192237,2013-10-09,2013-11-11,34
2013-11-11,"2",359.507998972375,2013-10-09,2013-11-11,34
2013-11-11,"3",427.332955630075,2013-10-09,2013-11-11,34
2013-11-11,"4",128.938024339742,2013-10-09,2013-11-11,34
2013-11-11,"5",701.998934944867,2013-10-09,2013-11-11,34
2013-11-11,"6",569.778975539461,2013-10-09,2013-11-11,34
2013-12-12,"1",129.640798274354,2013-11-11,2013-12-12,32
2013-12-12,"2",197.773757065677,2013-11-11,2013-12-12,32
2013-12-12,"3",131.494491443309,2013-11-11,2013-12-12,32
2013-12-12,"4",87.1751961908281,2013-11-11,2013-12-12,32
2013-12-12,"5",223.884841009815,2013-11-11,2013-12-12,32
2013-12-12,"6",217.31315008304,2013-11-11,2013-12-12,32
2014-01-14,"1",91.0298878969925,2013-12-12,2014-01-14,34
2014-01-14,"2",95.4593943477218,2013-12-12,2014-01-14,34
2014-01-14,"3",120.581765099198,2013-12-12,2014-01-14,34
2014-01-14,"4",188.462866835782,2013-12-12,2014-01-14,34
2014-01-14,"5",151.53982132254,2013-12-12,2014-01-14,34
2014-01-14,"6",141.5893821149,2013-12-12,2014-01-14,34
2014-02-26,"1",157.593360779137,2014-01-14,2014-02-26,44
2014-02-26,"2",229.743051393638,2014-01-14,2014-02-26,44
2014-02-26,"3",141.210749040637,2014-01-14,2014-02-26,44
2014-02-26,"4",110.255877932764,2014-01-14,2014-02-26,44
2014-02-26,"5",240.17559046996,2014-01-14,2014-02-26,44
2014-02-26,"6",163.64658370252,2014-01-14,2014-02-26,44
2014-03-13,"1",94.8926693242004,2014-02-26,2014-03-13,16
2014-03-13,"2",56.1357213706885,2014-02-26,2014-03-13,16
2014-03-13,"3",22.8510471057212,2014-02-26,2014-03-13,16
2014-03-13,"4",36.0937997117886,2014-02-26,2014-03-13,16
2014-03-13,"5",78.4795912638257,2014-02-26,2014-03-13,16
2014-03-13,"6",70.9673797091685,2014-02-26,2014-03-13,16
2014-04-14,"1",189.534757814192,2014-03-13,2014-04-14,33
2014-04-14,"2",203.920461723093,2014-03-13,2014-04-14,33
2014-04-14,"3",85.8545982819606,2014-03-13,2014-04-14,33
2014-04-14,"4",147.691384537645,2014-03-13,2014-04-14,33
2014-04-14,"5",125.885271917635,2014-03-13,2014-04-14,33
2014-04-14,"6",101.540787645275,2014-03-13,2014-04-14,33
2014-05-07,"1",124.199474921458,2014-04-14,2014-05-07,24
2014-05-07,"2",96.4900476744953,2014-04-14,2014-05-07,24
2014-05-07,"3",158.465518377749,2014-04-14,2014-05-07,24
2014-05-07,"4",46.1462200935914,2014-04-14,2014-05-07,24
2014-05-07,"5",219.104949798976,2014-04-14,2014-05-07,24
2014-05-07,"6",165.951732319793,2014-04-14,2014-05-07,24
