"year","Ring","GPP","Date","Trt"
2013,1,582.335934096846,"2013-01-01","eCO2"
2013,2,556.464440748678,"2013-01-01","aCO2"
2013,3,526.795257236457,"2013-01-01","aCO2"
2013,4,550.416653955476,"2013-01-01","eCO2"
2013,5,557.059896380987,"2013-01-01","eCO2"
2013,6,510.435660233557,"2013-01-01","aCO2"
2014,1,461.638604337457,"2014-01-01","eCO2"
2014,2,404.598514956283,"2014-01-01","aCO2"
2014,3,378.643652734783,"2014-01-01","aCO2"
2014,4,439.803476730567,"2014-01-01","eCO2"
2014,5,429.976527547731,"2014-01-01","eCO2"
2014,6,412.609089532603,"2014-01-01","aCO2"
2015,1,517.010937335888,"2015-01-01","eCO2"
2015,2,488.290620824803,"2015-01-01","aCO2"
2015,3,384.757319590368,"2015-01-01","aCO2"
2015,4,651.466490253397,"2015-01-01","eCO2"
2015,5,554.447064602615,"2015-01-01","eCO2"
2015,6,690.167644771655,"2015-01-01","aCO2"
2016,1,525.059271511584,"2016-01-01","eCO2"
2016,2,485.054589422583,"2016-01-01","aCO2"
2016,3,506.138888688534,"2016-01-01","aCO2"
2016,4,580.074245080008,"2016-01-01","eCO2"
2016,5,718.172851283539,"2016-01-01","eCO2"
2016,6,669.007342272208,"2016-01-01","aCO2"
