"Date","Start_date","End_date","Ring","understorey_litter_p_flux","Days"
"2015-08-01","2015-02-01","2015-08-01",1,0.526949447513812,182
"2015-08-01","2015-02-01","2015-08-01",2,0.37717955801105,182
"2015-08-01","2015-02-01","2015-08-01",3,0.149059668508287,182
"2015-08-01","2015-02-01","2015-08-01",4,0.410980649171271,182
"2015-08-01","2015-02-01","2015-08-01",5,0.383140883977901,182
"2015-08-01","2015-02-01","2015-08-01",6,0.26022182320442,182
"2016-02-01","2015-08-01","2016-02-01",1,0.875733695652174,185
"2016-02-01","2015-08-01","2016-02-01",2,0.669864130434782,185
"2016-02-01","2015-08-01","2016-02-01",3,0.450802445652174,185
"2016-02-01","2015-08-01","2016-02-01",4,0.463840217391304,185
"2016-02-01","2015-08-01","2016-02-01",5,0.700677445652174,185
"2016-02-01","2015-08-01","2016-02-01",6,0.520116847826087,185
"2016-07-01","2016-02-01","2016-07-01",1,0.632739569536425,152
"2016-07-01","2016-02-01","2016-07-01",2,0.590021523178808,152
"2016-07-01","2016-02-01","2016-07-01",3,0.661929105960265,152
"2016-07-01","2016-02-01","2016-07-01",4,0.591936920529801,152
"2016-07-01","2016-02-01","2016-07-01",5,0.587572963576159,152
"2016-07-01","2016-02-01","2016-07-01",6,0.333306581125828,152
"2017-05-01","2016-07-01","2017-05-01",1,0.470377467105264,305
"2017-05-01","2016-07-01","2017-05-01",2,0.412238486842105,305
"2017-05-01","2016-07-01","2017-05-01",3,0.495820888157894,305
"2017-05-01","2016-07-01","2017-05-01",4,0.332921299342105,305
"2017-05-01","2016-07-01","2017-05-01",5,0.318994736842105,305
"2017-05-01","2016-07-01","2017-05-01",6,0.318202549342105,305
