"Date","Ring","wood_p_pool"
"2012-12-20",1,0.675022933529144
"2013-12-20",1,0.674534832422341
"2014-12-23",1,0.68629424200042
"2015-12-14",1,0.692502777287725
"2016-12-21",1,0.688047022110798
"2012-12-20",2,0.752356831283802
"2013-12-20",2,0.757154252029026
"2014-12-23",2,0.762300064125415
"2015-12-14",2,0.767922417200205
"2016-12-21",2,0.769689195807988
"2012-12-20",3,0.606873015359462
"2013-12-20",3,0.627251189126104
"2014-12-23",3,0.631376048053356
"2015-12-14",3,0.642301254514902
"2016-12-21",3,0.645145762431021
"2012-12-20",4,0.399080919703585
"2013-12-20",4,0.405941499552845
"2014-12-23",4,0.412277099041592
"2015-12-14",4,0.416464181283629
"2016-12-21",4,0.415511188545662
"2012-12-20",5,0.806365891327973
"2013-12-20",5,0.821916230227909
"2014-12-23",5,0.825461929077696
"2015-12-14",5,0.82914802950237
"2016-12-21",5,0.831729672074044
"2012-12-20",6,0.592166337945187
"2013-12-20",6,0.597907005469153
"2014-12-23",6,0.597880869369978
"2015-12-14",6,0.601998196016411
"2016-12-21",6,0.602557653805355
