"Ring","Date","PercP"
1,2013-02-01,0.033
1,2014-02-01,0.036334921
1,2015-02-01,0.029045495
1,2016-02-01,0.0426666666666667
1,2017-02-01,0.046
1,2018-02-01,0.032
2,2013-02-01,0.038
2,2014-02-01,0.0256407817142857
2,2015-02-01,0.03696875
2,2016-02-01,0.0356666666666667
2,2017-02-01,0.0326666666666667
2,2018-02-01,0.0295
3,2013-02-01,0.034
3,2014-02-01,0.0316666666666667
3,2015-02-01,0.0187767013333333
3,2016-02-01,0.0273333333333333
3,2017-02-01,0.0365
3,2018-02-01,0.027
4,2013-02-01,0.038
4,2014-02-01,0.0356452057142857
4,2015-02-01,0.0186537415
4,2016-02-01,0.0256666666666667
4,2017-02-01,0.039
4,2018-02-01,0.026
5,2013-02-01,0.044425489
5,2014-02-01,0.0265397512222222
5,2015-02-01,0.0262469325
5,2016-02-01,0.03075
5,2017-02-01,0.0456666666666667
5,2018-02-01,0.0295
6,2013-02-01,0.04
6,2014-02-01,0.0341403048571429
6,2015-02-01,0.038231638
6,2016-02-01,0.028
6,2017-02-01,0.03
6,2018-02-01,0.021
