Date,Ring,Depth,microbial_p_g_m2
09/09/2014,1,0_10,3.838735567
09/06/2015,1,0_10,3.348040425
01/09/2017,1,0_10,3.744774618
10/03/2015,1,0_10,0.600833158
17/11/2014,1,0_10,1.442543115
09/09/2015,1,0_10,2.866880243
30/11/2015,1,0_10,2.984654098
10/03/2015,1,10_30,0.579703755
01/09/2017,1,10_30,3.613082734
09/09/2015,1,10_30,2.76606113
09/09/2014,1,10_30,3.703739374
30/11/2015,1,10_30,2.87969325
09/06/2015,1,10_30,3.230300429
17/11/2014,1,10_30,1.391813435
01/09/2017,1,transition,1.667039091
10/03/2015,1,transition,0.267469331
09/09/2015,1,transition,1.276232063
30/11/2015,1,transition,1.328660751
09/06/2015,1,transition,1.490427285
17/11/2014,1,transition,0.642168357
09/09/2014,1,transition,1.70886713
09/09/2015,2,0_10,2.554817537
30/11/2015,2,0_10,2.562329459
01/09/2017,2,0_10,4.477764734
09/06/2015,2,0_10,2.627648257
10/03/2015,2,0_10,0.646514901
17/11/2014,2,0_10,1.369481572
09/09/2014,2,0_10,3.183647969
17/11/2014,2,10_30,0.891452102
10/03/2015,2,10_30,0.420843244
09/09/2014,2,10_30,2.072367918
09/06/2015,2,10_30,1.710444748
01/09/2017,2,10_30,2.914761956
09/09/2015,2,10_30,1.663036225
30/11/2015,2,10_30,1.667926046
09/09/2014,2,transition,0.770997807
01/09/2017,2,transition,1.084399664
17/11/2014,2,transition,0.331653279
09/09/2015,2,transition,0.61871122
30/11/2015,2,transition,0.620530414
09/06/2015,2,transition,0.63634895
10/03/2015,2,transition,0.156569311
01/09/2017,3,0_10,6.159833482
09/09/2015,3,0_10,3.205923698
30/11/2015,3,0_10,3.286825565
09/09/2014,3,0_10,5.167138016
09/06/2015,3,0_10,3.746051111
10/03/2015,3,0_10,1.477049227
17/11/2014,3,0_10,1.840562335
09/09/2015,3,10_30,1.583553725
30/11/2015,3,10_30,1.623514892
09/06/2015,3,10_30,1.850347591
01/09/2017,3,10_30,3.042626143
10/03/2015,3,10_30,0.729582805
17/11/2014,3,10_30,0.909138712
09/09/2014,3,10_30,2.552288022
10/03/2015,3,transition,0.150661431
17/11/2014,3,transition,0.187740361
09/06/2015,3,transition,0.382103326
09/09/2014,3,transition,0.527056509
09/09/2015,3,transition,0.327009448
01/09/2017,3,transition,0.628313066
30/11/2015,3,transition,0.335261571
17/11/2014,4,0_10,1.676144699
09/09/2014,4,0_10,3.978784894
10/03/2015,4,0_10,0.478220946
01/09/2017,4,0_10,4.219020215
09/06/2015,4,0_10,3.022395894
30/11/2015,4,0_10,3.205931579
09/09/2015,4,0_10,2.672899692
01/09/2017,4,10_30,3.613020722
30/11/2015,4,10_30,2.745447198
09/09/2015,4,10_30,2.288977413
09/09/2014,4,10_30,3.407291631
09/06/2015,4,10_30,2.588273684
17/11/2014,4,10_30,1.435391447
10/03/2015,4,10_30,0.409531621
30/11/2015,4,transition,0.126537636
09/09/2015,4,transition,0.105498948
09/06/2015,4,transition,0.11929351
01/09/2017,4,transition,0.166524092
17/11/2014,4,transition,0.066157179
10/03/2015,4,transition,0.018875309
09/09/2014,4,transition,0.15704204
09/09/2015,5,0_10,3.453795816
09/06/2015,5,0_10,3.840531035
17/11/2014,5,0_10,2.102126784
10/03/2015,5,0_10,1.314060022
30/11/2015,5,0_10,2.550834415
09/09/2014,5,0_10,4.121277117
01/09/2017,5,0_10,4.548126528
17/11/2014,5,10_30,1.513400472
10/03/2015,5,10_30,0.946041444
09/09/2014,5,10_30,2.967063063
09/06/2015,5,10_30,2.764943354
01/09/2017,5,10_30,3.274368077
09/09/2015,5,10_30,2.486518063
30/11/2015,5,10_30,1.836442044
01/09/2017,5,transition,1.502756655
30/11/2015,5,transition,0.842826902
09/09/2015,5,transition,1.141176398
09/06/2015,5,transition,1.268958446
09/09/2014,5,transition,1.361720387
17/11/2014,5,transition,0.694568411
10/03/2015,5,transition,0.43418151
01/09/2017,6,0_10,6.09386196
30/11/2015,6,0_10,3.261271706
09/06/2015,6,0_10,4.822439384
17/11/2014,6,0_10,2.928371962
10/03/2015,6,0_10,2.215549134
09/09/2015,6,0_10,4.165292811
09/09/2014,6,0_10,6.175778716
30/11/2015,6,10_30,2.007453636
09/06/2015,6,10_30,2.96841979
17/11/2014,6,10_30,1.802539461
01/09/2017,6,10_30,3.751035317
10/03/2015,6,10_30,1.363766213
09/09/2014,6,10_30,3.801458619
09/09/2015,6,10_30,2.563917683
17/11/2014,6,transition,0.473337524
10/03/2015,6,transition,0.358117942
30/11/2015,6,transition,0.527146924
09/09/2015,6,transition,0.6732715
09/09/2014,6,transition,0.998243339
09/06/2015,6,transition,0.779491658
01/09/2017,6,transition,0.985002441
