"Date","Ring","Depth","PercP"
2018-10-01,1,"0_10",0.001401449395
2018-10-01,1,"10_30",0.000710697013
2018-10-01,1,"transition",0.0004140714063
2018-10-01,2,"0_10",0.001052386809
2018-10-01,2,"10_30",0.0006007285084
2018-10-01,2,"transition",0.0003063231919
2018-10-01,3,"0_10",0.001537730466
2018-10-01,3,"10_30",0.00071742639
2018-10-01,3,"transition",0.000568297313
2018-10-01,4,"0_10",0.001163816377
2018-10-01,4,"10_30",0.0005397684728
2018-10-01,4,"transition",0.0004456792072
2018-10-01,5,"0_10",0.00212682208
2018-10-01,5,"10_30",0.001176275491
2018-10-01,5,"transition",0.0006634507591
2018-10-01,6,"0_10",0.001566224351
2018-10-01,6,"10_30",0.0008402744018
2018-10-01,6,"transition",0.0003908832698
