"Date","Ring","Depth","PercP"
2012-06-17,1,"0_10",0.0085815
2012-06-17,1,"10_30",0.004472
2012-06-17,2,"0_10",0.00708925
2012-06-17,2,"10_30",0.0044905
2012-06-17,3,"0_10",0.0068115
2012-06-17,3,"10_30",0.004285
2012-06-17,4,"0_10",0.00512925
2012-06-17,4,"10_30",0.00404125
2012-06-17,5,"0_10",0.01024525
2012-06-17,5,"10_30",0.00568625
2012-06-17,6,"0_10",0.007913
2012-06-17,6,"10_30",0.0038945
2012-09-03,1,"0_10",0.00726075
2012-09-03,2,"0_10",0.00720375
2012-09-03,3,"0_10",0.006351
2012-09-03,4,"0_10",0.0056095
2012-09-03,5,"0_10",0.00905825
2012-09-03,6,"0_10",0.00901
2013-03-11,1,"0_10",0.00715775
2013-03-11,2,"0_10",0.006115
2013-03-11,3,"0_10",0.005853
2013-03-11,4,"0_10",0.0055235
2013-03-11,5,"0_10",0.0082335
2013-03-11,6,"0_10",0.00797025
2013-06-11,1,"10_30",0.005069
2013-06-11,2,"10_30",0.005663
2013-06-11,3,"10_30",0.0040545
2013-06-11,4,"10_30",0.004218
2013-06-11,5,"10_30",0.00750925
2013-06-11,6,"10_30",0.00457725
2013-09-03,1,"0_10",0.00917075
2013-09-03,2,"0_10",0.00704825
2013-09-03,3,"0_10",0.00731025
2013-09-03,4,"0_10",0.0060315
2013-09-03,5,"0_10",0.0095735
2013-09-03,6,"0_10",0.0099375
2014-03-10,1,"0_10",0.00682725
2014-03-10,2,"0_10",0.0064705
2014-03-10,3,"0_10",0.00619925
2014-03-10,4,"0_10",0.0053515
2014-03-10,5,"0_10",0.00994425
2014-03-10,6,"0_10",0.00919875
2018-10-01,1,"0_10",0.007929155367
2018-10-01,1,"10_30",0.003546143081
2018-10-01,1,"transition",0.002166404667
2018-10-01,2,"0_10",0.004771390714
2018-10-01,2,"10_30",0.003151444709
2018-10-01,2,"transition",0.00134237004
2018-10-01,3,"0_10",0.007056740108
2018-10-01,3,"10_30",0.003381609554
2018-10-01,3,"transition",0.002069536932
2018-10-01,4,"0_10",0.005255366269
2018-10-01,4,"10_30",0.002836289534
2018-10-01,4,"transition",0.001742491426
2018-10-01,5,"0_10",0.01013942011
2018-10-01,5,"10_30",0.006128740221
2018-10-01,5,"transition",0.003081564906
2018-10-01,6,"0_10",0.008465484547
2018-10-01,6,"10_30",0.003818551512
2018-10-01,6,"transition",0.002364749256
