"Date","Ring","Live_g_C_m2","Dead_g_C_m2","Total_g_C_m2"
2015-02-01,1,64.1875,60.5,124.6875
2015-02-01,2,60.7,42.875,103.575
2015-02-01,3,53.7,29.75,83.45
2015-02-01,4,53.17625,45.4375,98.61375
2015-02-01,5,71.2375,38.375,109.6125
2015-02-01,6,62.5125,31.875,94.3875
2015-08-01,1,28.0525,43.125,71.1775
2015-08-01,2,19.5875,43.625,63.2125
2015-08-01,3,14.475,9.875,24.35
2015-08-01,4,34.86375,60.75,95.61375
2015-08-01,5,36.625,39.75,76.375
2015-08-01,6,26.975,29.5,56.475
2016-02-01,1,45.5,74.75,120.25
2016-02-01,2,39.25,74.875,114.125
2016-02-01,3,43.8625,31,74.8625
2016-02-01,4,35.95,73.75,109.7
2016-02-01,5,70.75,71.2375,141.9875
2016-02-01,6,62.5,52.25,114.75
2016-07-01,1,10.98875,60.3125,71.30125
2016-07-01,2,26.06875,56.425,82.49375
2016-07-01,3,35.97125,54.2375,90.20875
2016-07-01,4,42.95,71.9375,114.8875
2016-07-01,5,35.625625,62.0875,97.713125
2016-07-01,6,22.846875,37.5,60.346875
2017-05-01,1,61.2875,45.425,106.7125
2017-05-01,2,66.0625,49.975,116.0375
2017-05-01,3,77.8125,58.225,136.0375
2017-05-01,4,70.1875,59.9,130.0875
2017-05-01,5,61.5625,45.2375,106.8
2017-05-01,6,58.3375,57.65,115.9875
