"Start_date","End_date","Date","Ring","delta"
2012,2013,2013,1,-0.000222429690474035
2012,2013,2013,2,0.00151895150653175
2012,2013,2013,3,0.00578047167502707
2012,2013,2013,4,0.00197120454395536
2012,2013,2013,5,0.00455968272190044
2012,2013,2013,6,0.00157610534671315
2013,2014,2014,1,0.00340106896433173
2013,2014,2014,2,0.00161119310698477
2013,2014,2014,3,0.0011153140666039
2013,2014,2014,4,0.00181004817431644
2013,2014,2014,5,0.00102630152104444
2013,2014,2014,6,1.43579738406951e-06
2014,2015,2015,1,0.00179473660563778
2014,2015,2015,2,0.00181940457508414
2014,2015,2015,3,0.00303271050796947
2014,2015,2015,4,0.00119780456971949
2014,2015,2015,5,0.00108835784237202
2014,2015,2015,6,0.00110185869518079
2015,2016,2016,1,-0.00128894104804053
2015,2016,2016,2,0.000589802930760608
2015,2016,2016,3,0.000784474695819326
2015,2016,2016,4,-0.000289796570155723
2015,2016,2016,5,0.000737623705336615
2015,2016,2016,6,0.000118704923660895
