"Start_date","End_date","Date","Ring","delta"
2012,2013,2013,1,-0.00046269674383681
2012,2013,2013,2,0.00201560923010891
2012,2013,2013,3,0.00850603762109514
2012,2013,2013,4,0.00282452360053895
2012,2013,2013,5,0.00705299031953677
2012,2013,2013,6,0.00220161711033073
2013,2014,2014,1,0.00497671689212281
2013,2014,2014,2,0.00218566516414309
2013,2014,2014,3,0.00158537314592638
2013,2014,2014,4,0.00259671476139625
2013,2014,2014,5,0.00156276614706807
2013,2014,2014,6,2.62182803956179e-06
2014,2015,2015,1,0.00264563609248486
2014,2015,2015,2,0.00256824990005045
2014,2015,2015,3,0.00444308470300325
2014,2015,2015,4,0.00173419974491601
2014,2015,2015,5,0.00170451733169008
2014,2015,2015,6,0.00151324987936952
2015,2016,2016,1,-0.00191356569995704
2015,2016,2016,2,0.0008403400193292
2015,2016,2016,3,0.0011659680739296
2015,2016,2016,4,-0.000456742636441243
2015,2016,2016,5,0.00112032235281567
2015,2016,2016,6,0.000121793602095965
