"Start_date","End_date","Date","Ring","delta","Depth"
2012,2013,2013,1,0.359014583333336,"0_10"
2012,2013,2013,2,-0.820951666666664,"0_10"
2012,2013,2013,3,0.000539999999999097,"0_10"
2012,2013,2013,4,0.599943749999998,"0_10"
2012,2013,2013,5,-0.877946666666663,"0_10"
2012,2013,2013,6,0.663065000000003,"0_10"
2013,2014,2014,1,-1.97430333333334,"0_10"
2013,2014,2014,2,-0.161501666666666,"0_10"
2013,2014,2014,3,-0.55062,"0_10"
2013,2014,2014,4,-0.62622,"0_10"
2013,2014,2014,5,1.22114666666666,"0_10"
2013,2014,2014,6,0.329765000000002,"0_10"
2014,2018,2018,1,1.62714692527,"0_10"
2014,2018,2018,2,-2.46937216231999,"0_10"
2014,2018,2018,3,1.23478575552,"0_10"
2014,2018,2018,4,-0.141316584569998,"0_10"
2014,2018,2018,5,0.228999595733333,"0_10"
2014,2018,2018,6,-0.987464143373337,"0_10"
2012,2013,2013,1,2.10542,"10_30"
2012,2013,2013,2,4.221,"10_30"
2012,2013,2013,3,-0.781395,"10_30"
2012,2013,2013,4,0.613322500000002,"10_30"
2012,2013,2013,5,5.38392666666668,"10_30"
2012,2013,2013,6,2.3418325,"10_30"
2013,2018,2018,1,-5.37060873433999,"10_30"
2013,2018,2018,2,-9.0415990476,"10_30"
2013,2018,2018,3,-2.28109861194,"10_30"
2013,2018,2018,4,-4.79453531702,"10_30"
2013,2018,2018,5,-4.07710554731334,"10_30"
2013,2018,2018,6,-2.60233581384,"10_30"
