"Date","Start_date","End_date","Ring","fineroot_production_flux","Days"
"2014-01-01","2014-01-01","2014-12-31",1,530.846105015185,365
"2014-01-01","2014-01-01","2014-12-31",2,564.709507075311,365
"2014-01-01","2014-01-01","2014-12-31",3,713.76605364181,365
"2014-01-01","2014-01-01","2014-12-31",4,611.64307503798,365
"2014-01-01","2014-01-01","2014-12-31",5,691.938348845297,365
"2014-01-01","2014-01-01","2014-12-31",6,529.125707944612,365
"2015-01-01","2015-01-01","2015-12-31",1,439.91620075841,365
"2015-01-01","2015-01-01","2015-12-31",2,384.923819234156,365
"2015-01-01","2015-01-01","2015-12-31",3,501.824347486319,365
"2015-01-01","2015-01-01","2015-12-31",4,380.084114625607,365
"2015-01-01","2015-01-01","2015-12-31",5,529.431756719491,365
"2015-01-01","2015-01-01","2015-12-31",6,461.198198721177,365
"2016-01-01","2016-01-01","2016-12-31",1,443.7625179884,365
"2016-01-01","2016-01-01","2016-12-31",2,448.007734009554,365
"2016-01-01","2016-01-01","2016-12-31",3,553.800760783924,365
"2016-01-01","2016-01-01","2016-12-31",4,449.23411709335,365
"2016-01-01","2016-01-01","2016-12-31",5,669.703222335976,365
"2016-01-01","2016-01-01","2016-12-31",6,469.819525093839,365
