"Date","Ring","Start_date","End_date","ndays","leaflitter_pool"
2013-01-08,"1",2012-12-11,2013-01-08,29,47.8772888950055
2013-01-08,"2",2012-12-11,2013-01-08,29,60.9401620143539
2013-01-08,"3",2012-12-11,2013-01-08,29,75.6088149347893
2013-01-08,"4",2012-12-11,2013-01-08,29,45.5482999948987
2013-01-08,"5",2012-12-11,2013-01-08,29,71.4800377057241
2013-01-08,"6",2012-12-11,2013-01-08,29,68.7493059150504
2013-02-20,"1",2013-01-08,2013-02-20,44,45.8243828990701
2013-02-20,"2",2013-01-08,2013-02-20,44,57.8891551264894
2013-02-20,"3",2013-01-08,2013-02-20,44,71.6242233775544
2013-02-20,"4",2013-01-08,2013-02-20,44,39.7670442673034
2013-02-20,"5",2013-01-08,2013-02-20,44,61.7832474036224
2013-02-20,"6",2013-01-08,2013-02-20,44,64.177836039797
2013-03-14,"1",2013-02-20,2013-03-14,23,50.0059021673063
2013-03-14,"2",2013-02-20,2013-03-14,23,62.2698703110568
2013-03-14,"3",2013-02-20,2013-03-14,23,76.7834625803368
2013-03-14,"4",2013-02-20,2013-03-14,23,43.7797216873076
2013-03-14,"5",2013-02-20,2013-03-14,23,58.4017155520492
2013-03-14,"6",2013-02-20,2013-03-14,23,60.5592936522872
2013-04-09,"1",2013-03-14,2013-04-09,27,54.85548167373
2013-04-09,"2",2013-03-14,2013-04-09,27,67.0574976352699
2013-04-09,"3",2013-03-14,2013-04-09,27,74.897383019423
2013-04-09,"4",2013-03-14,2013-04-09,27,41.4154815892823
2013-04-09,"5",2013-03-14,2013-04-09,27,56.6300690444255
2013-04-09,"6",2013-03-14,2013-04-09,27,57.4546730912434
2013-05-13,"1",2013-04-09,2013-05-13,35,54.9397175698076
2013-05-13,"2",2013-04-09,2013-05-13,35,61.0051061620539
2013-05-13,"3",2013-04-09,2013-05-13,35,70.4170052558636
2013-05-13,"4",2013-04-09,2013-05-13,35,35.4826757272266
2013-05-13,"5",2013-04-09,2013-05-13,35,48.6988818715903
2013-05-13,"6",2013-04-09,2013-05-13,35,49.6355855656234
2013-06-14,"1",2013-05-13,2013-06-14,33,52.1340746146844
2013-06-14,"2",2013-05-13,2013-06-14,33,56.930172592701
2013-06-14,"3",2013-05-13,2013-06-14,33,66.2453273728318
2013-06-14,"4",2013-05-13,2013-06-14,33,30.8236792658012
2013-06-14,"5",2013-05-13,2013-06-14,33,41.6344589868464
2013-06-14,"6",2013-05-13,2013-06-14,33,44.8031544208902
2013-07-08,"1",2013-06-14,2013-07-08,25,49.678466784971
2013-07-08,"2",2013-06-14,2013-07-08,25,53.9689546727525
2013-07-08,"3",2013-06-14,2013-07-08,25,63.3077639550181
2013-07-08,"4",2013-06-14,2013-07-08,25,28.0565928493243
2013-07-08,"5",2013-06-14,2013-07-08,25,37.212616840555
2013-07-08,"6",2013-06-14,2013-07-08,25,42.4923015749524
2013-08-15,"1",2013-07-08,2013-08-15,39,55.0056167107844
2013-08-15,"2",2013-07-08,2013-08-15,39,59.419469458135
2013-08-15,"3",2013-07-08,2013-08-15,39,65.0688019304214
2013-08-15,"4",2013-07-08,2013-08-15,39,32.1023230698582
2013-08-15,"5",2013-07-08,2013-08-15,39,38.7737034882699
2013-08-15,"6",2013-07-08,2013-08-15,39,44.5734253168682
2013-09-10,"1",2013-08-15,2013-09-10,27,62.0622925394218
2013-09-10,"2",2013-08-15,2013-09-10,27,62.1032364745518
2013-09-10,"3",2013-08-15,2013-09-10,27,68.114165846827
2013-09-10,"4",2013-08-15,2013-09-10,27,34.7874563539649
2013-09-10,"5",2013-08-15,2013-09-10,27,44.025737241359
2013-09-10,"6",2013-08-15,2013-09-10,27,49.2031317055055
2013-10-09,"1",2013-09-10,2013-10-09,30,68.1259531413754
2013-10-09,"2",2013-09-10,2013-10-09,30,70.205455348812
2013-10-09,"3",2013-09-10,2013-10-09,30,76.2266045676175
2013-10-09,"4",2013-09-10,2013-10-09,30,42.7886993943536
2013-10-09,"5",2013-09-10,2013-10-09,30,52.067767385611
2013-10-09,"6",2013-09-10,2013-10-09,30,57.1099442673674
2013-11-11,"1",2013-10-09,2013-11-11,34,65.7168507576636
2013-11-11,"2",2013-10-09,2013-11-11,34,74.4897565753383
2013-11-11,"3",2013-10-09,2013-11-11,34,87.4154423112207
2013-11-11,"4",2013-10-09,2013-11-11,34,47.3463572870087
2013-11-11,"5",2013-10-09,2013-11-11,34,61.0630083405189
2013-11-11,"6",2013-10-09,2013-11-11,34,64.4225042863401
2013-12-12,"1",2013-11-11,2013-12-12,32,58.4907816568951
2013-12-12,"2",2013-11-11,2013-12-12,32,67.2723685806594
2013-12-12,"3",2013-11-11,2013-12-12,32,87.799606512134
2013-12-12,"4",2013-11-11,2013-12-12,32,42.7727293930259
2013-12-12,"5",2013-11-11,2013-12-12,32,59.1363441760143
2013-12-12,"6",2013-11-11,2013-12-12,32,60.8333845329863
2014-01-14,"1",2013-12-12,2014-01-14,34,88.9384416300629
2014-01-14,"2",2013-12-12,2014-01-14,34,98.3253560625447
