"Date","Start_date","End_date","Ring","leaflitter_p_flux_mg_m2_d","Days"
"2012-10-09",2012-09-14,2012-10-09,1,0.458534132285891,25
"2012-10-09",2012-09-14,2012-10-09,2,0.566215619657515,25
"2012-10-09",2012-09-14,2012-10-09,3,0.54924166272618,25
"2012-10-09",2012-09-14,2012-10-09,4,0.38805844870961,25
"2012-10-09",2012-09-14,2012-10-09,5,0.578217514851309,25
"2012-10-09",2012-09-14,2012-10-09,6,0.610378829365481,25
"2012-11-13",2012-10-09,2012-11-13,1,0.461002919455048,35
"2012-11-13",2012-10-09,2012-11-13,2,0.446157387506511,35
"2012-11-13",2012-10-09,2012-11-13,3,0.534688086038469,35
"2012-11-13",2012-10-09,2012-11-13,4,0.464769296485951,35
"2012-11-13",2012-10-09,2012-11-13,5,0.61517535839066,35
"2012-11-13",2012-10-09,2012-11-13,6,0.44517324923811,35
"2012-12-11",2012-11-13,2012-12-11,1,0.456578684183932,28
"2012-12-11",2012-11-13,2012-12-11,2,0.502863741315416,28
"2012-12-11",2012-11-13,2012-12-11,3,0.364948917496812,28
"2012-12-11",2012-11-13,2012-12-11,4,0.302950535508146,28
"2012-12-11",2012-11-13,2012-12-11,5,0.682753669533326,28
"2012-12-11",2012-11-13,2012-12-11,6,0.609851576845999,28
"2013-01-08",2012-12-11,2013-01-08,1,0.195100090698365,28
"2013-01-08",2012-12-11,2013-01-08,2,0.323653250716065,28
"2013-01-08",2012-12-11,2013-01-08,3,0.34900134833209,28
"2013-01-08",2012-12-11,2013-01-08,4,0.216825633043069,28
"2013-01-08",2012-12-11,2013-01-08,5,0.470519614988234,28
"2013-01-08",2012-12-11,2013-01-08,6,0.416736707537993,28
"2013-02-20",2013-01-08,2013-02-20,1,0.138518057463835,43
"2013-02-20",2013-01-08,2013-02-20,2,0.163091505861169,43
"2013-02-20",2013-01-08,2013-02-20,3,0.0888686950532271,43
"2013-02-20",2013-01-08,2013-02-20,4,0.104906133517533,43
"2013-02-20",2013-01-08,2013-02-20,5,0.183850811236178,43
"2013-02-20",2013-01-08,2013-02-20,6,0.202866658188946,43
"2013-03-14",2013-02-20,2013-03-14,1,0.314533845834143,22
"2013-03-14",2013-02-20,2013-03-14,2,0.343681766551716,22
"2013-03-14",2013-02-20,2013-03-14,3,0.277586378967158,22
"2013-03-14",2013-02-20,2013-03-14,4,0.288055127037273,22
"2013-03-14",2013-02-20,2013-03-14,5,0.212077024132497,22
"2013-03-14",2013-02-20,2013-03-14,6,0.166865968569693,22
"2013-04-09",2013-03-14,2013-04-09,1,0.325862292114227,26
"2013-04-09",2013-03-14,2013-04-09,2,0.347155527419282,26
"2013-04-09",2013-03-14,2013-04-09,3,0.107232640119939,26
"2013-04-09",2013-03-14,2013-04-09,4,0.136200438584672,26
"2013-04-09",2013-03-14,2013-04-09,5,0.247932728131958,26
"2013-04-09",2013-03-14,2013-04-09,6,0.176703782881633,26
"2013-05-13",2013-04-09,2013-05-13,1,0.205357619653214,34
"2013-05-13",2013-04-09,2013-05-13,2,0.119375040160391,34
"2013-05-13",2013-04-09,2013-05-13,3,0.0669023655733128,34
"2013-05-13",2013-04-09,2013-05-13,4,0.0694076540705382,34
"2013-05-13",2013-04-09,2013-05-13,5,0.118263226134776,34
"2013-05-13",2013-04-09,2013-05-13,6,0.0866177457601425,34
"2013-06-14",2013-05-13,2013-06-14,1,0.140959701146982,32
"2013-06-14",2013-05-13,2013-06-14,2,0.132735220124172,32
"2013-06-14",2013-05-13,2013-06-14,3,0.0595939718433211,32
"2013-06-14",2013-05-13,2013-06-14,4,0.0630000451338653,32
"2013-06-14",2013-05-13,2013-06-14,5,0.0899366308387131,32
"2013-06-14",2013-05-13,2013-06-14,6,0.106635606902904,32
"2013-07-08",2013-06-14,2013-07-08,1,0.124135425717857,24
"2013-07-08",2013-06-14,2013-07-08,2,0.125619109603523,24
"2013-07-08",2013-06-14,2013-07-08,3,0.0580334336167308,24
"2013-07-08",2013-06-14,2013-07-08,4,0.0656719960926642,24
"2013-07-08",2013-06-14,2013-07-08,5,0.0865837327328575,24
"2013-07-08",2013-06-14,2013-07-08,6,0.126981687266118,24
"2013-08-15",2013-07-08,2013-08-15,1,0.28470508785381,38
"2013-08-15",2013-07-08,2013-08-15,2,0.267287240251912,38
"2013-08-15",2013-07-08,2013-08-15,3,0.147858591589999,38
"2013-08-15",2013-07-08,2013-08-15,4,0.18225112620851,38
"2013-08-15",2013-07-08,2013-08-15,5,0.206479815872065,38
"2013-08-15",2013-07-08,2013-08-15,6,0.205129828468341,38
"2013-09-10",2013-08-15,2013-09-10,1,0.406807941733962,26
"2013-09-10",2013-08-15,2013-09-10,2,0.28331492913584,26
"2013-09-10",2013-08-15,2013-09-10,3,0.195222488413335,26
"2013-09-10",2013-08-15,2013-09-10,4,0.203522967951907,26
"2013-09-10",2013-08-15,2013-09-10,5,0.332011572955733,26
"2013-09-10",2013-08-15,2013-09-10,6,0.2997128406179,26
"2013-10-09",2013-09-10,2013-10-09,1,0.386132793406047,29
"2013-10-09",2013-09-10,2013-10-09,2,0.407605476746492,29
"2013-10-09",2013-09-10,2013-10-09,3,0.29545621711024,29
"2013-10-09",2013-09-10,2013-10-09,4,0.318812496355671,29
"2013-10-09",2013-09-10,2013-10-09,5,0.406805103643909,29
"2013-10-09",2013-09-10,2013-10-09,6,0.377235244122399,29
"2013-11-11",2013-10-09,2013-11-11,1,0.200177213456353,33
"2013-11-11",2013-10-09,2013-11-11,2,0.334849805403104,33
"2013-11-11",2013-10-09,2013-11-11,3,0.344798648868344,33
"2013-11-11",2013-10-09,2013-11-11,4,0.266584834875196,33
"2013-11-11",2013-10-09,2013-11-11,5,0.439529060840378,33
"2013-11-11",2013-10-09,2013-11-11,6,0.374078968520435,33
"2013-12-12",2013-11-11,2013-12-12,1,0.0756590601591983,31
"2013-12-12",2013-11-11,2013-12-12,2,0.111689051786044,31
"2013-12-12",2013-11-11,2013-12-12,3,0.176069477723416,31
"2013-12-12",2013-11-11,2013-12-12,4,0.113344541443618,31
"2013-12-12",2013-11-11,2013-12-12,5,0.259311872575159,31
"2013-12-12",2013-11-11,2013-12-12,6,0.190495276508994,31
"2014-01-14",2013-12-12,2014-01-14,1,0.891314636662919,33
"2014-01-14",2013-12-12,2014-01-14,2,0.861019285780998,33
"2014-01-14",2013-12-12,2014-01-14,3,0.818123247201842,33
"2014-01-14",2013-12-12,2014-01-14,4,0.662968877968569,33
"2014-01-14",2013-12-12,2014-01-14,5,1.13253703128532,33
"2014-01-14",2013-12-12,2014-01-14,6,0.99426989029381,33
"2014-02-26",2014-01-14,2014-02-26,1,0.221534032068827,43
"2014-02-26",2014-01-14,2014-02-26,2,0.39600062143231,43
"2014-02-26",2014-01-14,2014-02-26,3,0.29373900082367,43
"2014-02-26",2014-01-14,2014-02-26,4,0.333139435820417,43
"2014-02-26",2014-01-14,2014-02-26,5,0.333468118489248,43
"2014-02-26",2014-01-14,2014-02-26,6,0.452998280479177,43
"2014-03-13",2014-02-26,2014-03-13,1,0.118625052222991,15
"2014-03-13",2014-02-26,2014-03-13,2,0.232840668204302,15
"2014-03-13",2014-02-26,2014-03-13,3,0.136096701694059,15
"2014-03-13",2014-02-26,2014-03-13,4,0.0908578892953267,15
"2014-03-13",2014-02-26,2014-03-13,5,0.121745009290685,15
"2014-03-13",2014-02-26,2014-03-13,6,0.197606194384601,15
"2014-04-14",2014-03-13,2014-04-14,1,0.148766907487347,32
"2014-04-14",2014-03-13,2014-04-14,2,0.174732559861358,32
"2014-04-14",2014-03-13,2014-04-14,3,0.171048717381867,32
"2014-04-14",2014-03-13,2014-04-14,4,0.115484499931709,32
"2014-04-14",2014-03-13,2014-04-14,5,0.20730442412828,32
"2014-04-14",2014-03-13,2014-04-14,6,0.288130946552266,32
"2014-05-07",2014-04-14,2014-05-07,1,0.0812587742082203,23
"2014-05-07",2014-04-14,2014-05-07,2,0.109036507515377,23
"2014-05-07",2014-04-14,2014-05-07,3,0.102867608767811,23
"2014-05-07",2014-04-14,2014-05-07,4,0.0674215980107321,23
"2014-05-07",2014-04-14,2014-05-07,5,0.120971784063671,23
"2014-05-07",2014-04-14,2014-05-07,6,0.126924006450756,23
"2014-06-12",2014-05-07,2014-06-12,1,0.0726541720429947,36
"2014-06-12",2014-05-07,2014-06-12,2,0.097213276928298,36
"2014-06-12",2014-05-07,2014-06-12,3,0.124016659681618,36
"2014-06-12",2014-05-07,2014-06-12,4,0.122001259377451,36
"2014-06-12",2014-05-07,2014-06-12,5,0.0881570248285894,36
"2014-06-12",2014-05-07,2014-06-12,6,0.192643834033142,36
"2014-07-03",2014-06-12,2014-07-03,1,0.147585381118463,21
"2014-07-03",2014-06-12,2014-07-03,2,0.184282898545875,21
"2014-07-03",2014-06-12,2014-07-03,3,0.245581142635383,21
"2014-07-03",2014-06-12,2014-07-03,4,0.211410495405648,21
"2014-07-03",2014-06-12,2014-07-03,5,0.241417828100385,21
"2014-07-03",2014-06-12,2014-07-03,6,0.44784805980654,21
"2014-08-14",2014-07-03,2014-08-14,1,0.0553373804460058,42
"2014-08-14",2014-07-03,2014-08-14,2,0.0803442957452233,42
"2014-08-14",2014-07-03,2014-08-14,3,0.117588500615778,42
"2014-08-14",2014-07-03,2014-08-14,4,0.0957962979287939,42
"2014-08-14",2014-07-03,2014-08-14,5,0.127696319986565,42
"2014-08-14",2014-07-03,2014-08-14,6,0.100282546613879,42
"2014-09-15",2014-08-14,2014-09-15,1,0.0769755919263375,32
"2014-09-15",2014-08-14,2014-09-15,2,0.0694053617592061,32
"2014-09-15",2014-08-14,2014-09-15,3,0.0838510171619454,32
"2014-09-15",2014-08-14,2014-09-15,4,0.0635997493851558,32
"2014-09-15",2014-08-14,2014-09-15,5,0.0983019225247343,32
"2014-09-15",2014-08-14,2014-09-15,6,0.0902633936778888,32
"2014-10-16",2014-09-15,2014-10-16,1,0.217102494859248,31
"2014-10-16",2014-09-15,2014-10-16,2,0.449644035471827,31
"2014-10-16",2014-09-15,2014-10-16,3,0.375520740086418,31
"2014-10-16",2014-09-15,2014-10-16,4,0.308293510365288,31
"2014-10-16",2014-09-15,2014-10-16,5,0.36208057485691,31
"2014-10-16",2014-09-15,2014-10-16,6,1.43527657393725,31
"2014-11-12",2014-10-16,2014-11-12,1,0.251311293103679,27
"2014-11-12",2014-10-16,2014-11-12,2,0.254121105700285,27
"2014-11-12",2014-10-16,2014-11-12,3,0.262161537899436,27
"2014-11-12",2014-10-16,2014-11-12,4,0.211371973085057,27
"2014-11-12",2014-10-16,2014-11-12,5,0.369520835975779,27
"2014-11-12",2014-10-16,2014-11-12,6,0.315902967575772,27
"2014-12-16",2014-11-12,2014-12-16,1,0.238852641269275,34
"2014-12-16",2014-11-12,2014-12-16,2,0.205640987776858,34
"2014-12-16",2014-11-12,2014-12-16,3,0.167052763971843,34
"2014-12-16",2014-11-12,2014-12-16,4,0.170060749783773,34
"2014-12-16",2014-11-12,2014-12-16,5,0.27841497870457,34
"2014-12-16",2014-11-12,2014-12-16,6,0.458946789673752,34
"2015-01-13",2014-12-16,2015-01-13,1,0.337125380024223,28
"2015-01-13",2014-12-16,2015-01-13,2,0.2955816657502,28
"2015-01-13",2014-12-16,2015-01-13,3,0.566201968431908,28
"2015-01-13",2014-12-16,2015-01-13,4,0.233397797781777,28
"2015-01-13",2014-12-16,2015-01-13,5,0.577214004424277,28
"2015-01-13",2014-12-16,2015-01-13,6,0.436756905893042,28
"2015-02-11",2015-01-13,2015-02-11,1,0.549349556848054,29
"2015-02-11",2015-01-13,2015-02-11,2,0.481071778589344,29
"2015-02-11",2015-01-13,2015-02-11,3,0.504642169970417,29
"2015-02-11",2015-01-13,2015-02-11,4,0.153684133821482,29
"2015-02-11",2015-01-13,2015-02-11,5,0.434326770809169,29
"2015-02-11",2015-01-13,2015-02-11,6,0.276911776753199,29
"2015-03-12",2015-02-11,2015-03-12,1,0.902705040252922,29
"2015-03-12",2015-02-11,2015-03-12,2,0.665351041025078,29
"2015-03-12",2015-02-11,2015-03-12,3,0.500816753066077,29
"2015-03-12",2015-02-11,2015-03-12,4,0.584380282481956,29
"2015-03-12",2015-02-11,2015-03-12,5,0.811405465437422,29
"2015-03-12",2015-02-11,2015-03-12,6,0.296415296816284,29
"2015-04-17",2015-03-12,2015-04-17,1,0.133450621580921,36
"2015-04-17",2015-03-12,2015-04-17,2,0.149285704358,36
"2015-04-17",2015-03-12,2015-04-17,3,0.11963386056549,36
"2015-04-17",2015-03-12,2015-04-17,4,0.174773628394297,36
"2015-04-17",2015-03-12,2015-04-17,5,0.150317817593601,36
"2015-04-17",2015-03-12,2015-04-17,6,0.0698902186600173,36
"2015-06-09",2015-04-17,2015-06-09,1,0.155490842532546,53
"2015-06-09",2015-04-17,2015-06-09,2,0.152804020622612,53
"2015-06-09",2015-04-17,2015-06-09,3,0.0771038733833661,53
"2015-06-09",2015-04-17,2015-06-09,4,0.0933039678173408,53
"2015-06-09",2015-04-17,2015-06-09,5,0.085821597342876,53
"2015-06-09",2015-04-17,2015-06-09,6,0.070549401964109,53
"2015-08-24",2015-06-09,2015-08-24,1,0.198139007265174,76
"2015-08-24",2015-06-09,2015-08-24,2,0.14295686569446,76
"2015-08-24",2015-06-09,2015-08-24,3,0.104861683744116,76
"2015-08-24",2015-06-09,2015-08-24,4,0.202495619424574,76
"2015-08-24",2015-06-09,2015-08-24,5,0.125902654629844,76
"2015-08-24",2015-06-09,2015-08-24,6,0.189900958617331,76
"2015-09-11",2015-08-24,2015-09-11,1,0.212826646474401,18
"2015-09-11",2015-08-24,2015-09-11,2,0.153359348315837,18
"2015-09-11",2015-08-24,2015-09-11,3,0.114349489277069,18
"2015-09-11",2015-08-24,2015-09-11,4,0.120071933154498,18
"2015-09-11",2015-08-24,2015-09-11,5,0.139053994315717,18
"2015-09-11",2015-08-24,2015-09-11,6,0.135740022725389,18
"2015-10-16",2015-09-11,2015-10-16,1,1.12091714076405,35
"2015-10-16",2015-09-11,2015-10-16,2,0.988877816853579,35
"2015-10-16",2015-09-11,2015-10-16,3,0.833991968268806,35
"2015-10-16",2015-09-11,2015-10-16,4,0.638006673634903,35
"2015-10-16",2015-09-11,2015-10-16,5,1.11246997014144,35
"2015-10-16",2015-09-11,2015-10-16,6,2.03739352937476,35
"2015-11-23",2015-10-16,2015-11-23,1,0.216110269535384,38
"2015-11-23",2015-10-16,2015-11-23,2,0.308634879132159,38
"2015-11-23",2015-10-16,2015-11-23,3,0.345217355735589,38
"2015-11-23",2015-10-16,2015-11-23,4,0.275819815434483,38
"2015-11-23",2015-10-16,2015-11-23,5,0.387935602604519,38
"2015-11-23",2015-10-16,2015-11-23,6,0.184554286643529,38
"2015-12-17",2015-11-23,2015-12-17,1,0.507761231546048,24
"2015-12-17",2015-11-23,2015-12-17,2,0.522488359429758,24
"2015-12-17",2015-11-23,2015-12-17,3,0.480952106726064,24
"2015-12-17",2015-11-23,2015-12-17,4,0.494843284447008,24
"2015-12-17",2015-11-23,2015-12-17,5,0.684040515096145,24
"2015-12-17",2015-11-23,2015-12-17,6,0.392630925727079,24
"2016-01-20",2015-12-17,2016-01-20,1,0.25671360331322,34
"2016-01-20",2015-12-17,2016-01-20,2,0.256762454530999,34
"2016-01-20",2015-12-17,2016-01-20,3,0.360910468893067,34
"2016-01-20",2015-12-17,2016-01-20,4,0.159340781069785,34
"2016-01-20",2015-12-17,2016-01-20,5,0.313146646193511,34
"2016-01-20",2015-12-17,2016-01-20,6,0.167935615768794,34
"2016-02-22",2016-01-20,2016-02-22,1,0.361615349043747,33
"2016-02-22",2016-01-20,2016-02-22,2,0.472909865153472,33
"2016-02-22",2016-01-20,2016-02-22,3,0.312622678536502,33
"2016-02-22",2016-01-20,2016-02-22,4,0.559011402218503,33
"2016-02-22",2016-01-20,2016-02-22,5,0.385867139303902,33
"2016-02-22",2016-01-20,2016-02-22,6,0.306129322359887,33
"2016-03-10",2016-02-22,2016-03-10,1,0.38219135488908,17
"2016-03-10",2016-02-22,2016-03-10,2,0.380280500510484,17
"2016-03-10",2016-02-22,2016-03-10,3,0.399024151328987,17
"2016-03-10",2016-02-22,2016-03-10,4,0.452943179494919,17
"2016-03-10",2016-02-22,2016-03-10,5,0.938647480709064,17
"2016-03-10",2016-02-22,2016-03-10,6,0.432465911103704,17
"2016-04-05",2016-03-10,2016-04-05,1,0.2956763825432,26
"2016-04-05",2016-03-10,2016-04-05,2,0.301851392915231,26
"2016-04-05",2016-03-10,2016-04-05,3,0.235635726181422,26
"2016-04-05",2016-03-10,2016-04-05,4,0.294406835119837,26
"2016-04-05",2016-03-10,2016-04-05,5,0.367990246173648,26
"2016-04-05",2016-03-10,2016-04-05,6,0.547803767123478,26
"2016-05-13",2016-04-05,2016-05-13,1,0.237142987762146,38
"2016-05-13",2016-04-05,2016-05-13,2,0.242653941504682,38
"2016-05-13",2016-04-05,2016-05-13,3,0.121431825476273,38
"2016-05-13",2016-04-05,2016-05-13,4,0.156071154385533,38
"2016-05-13",2016-04-05,2016-05-13,5,0.283397036217561,38
"2016-05-13",2016-04-05,2016-05-13,6,0.216268507513414,38
"2016-06-28",2016-05-13,2016-06-28,1,0.210358051431822,46
"2016-06-28",2016-05-13,2016-06-28,2,0.238487557192703,46
"2016-06-28",2016-05-13,2016-06-28,3,0.130160930750355,46
"2016-06-28",2016-05-13,2016-06-28,4,0.265318295864564,46
"2016-06-28",2016-05-13,2016-06-28,5,0.254732000589362,46
"2016-06-28",2016-05-13,2016-06-28,6,0.231877364376941,46
"2016-07-26",2016-06-28,2016-07-26,1,0.141662376254375,28
"2016-07-26",2016-06-28,2016-07-26,2,0.138124455202517,28
"2016-07-26",2016-06-28,2016-07-26,3,0.180167992133674,28
"2016-07-26",2016-06-28,2016-07-26,4,0.197344345201128,28
"2016-07-26",2016-06-28,2016-07-26,5,0.178661513926874,28
"2016-07-26",2016-06-28,2016-07-26,6,0.171551334907258,28
"2016-08-30",2016-07-26,2016-08-30,1,0.164045492893156,35
"2016-08-30",2016-07-26,2016-08-30,2,0.106679590340745,35
"2016-08-30",2016-07-26,2016-08-30,3,0.062709532302269,35
"2016-08-30",2016-07-26,2016-08-30,4,0.111846806242826,35
"2016-08-30",2016-07-26,2016-08-30,5,0.121359693871518,35
"2016-08-30",2016-07-26,2016-08-30,6,0.0795426044401594,35
"2016-09-13",2016-08-30,2016-09-13,1,0.109895129180202,14
"2016-09-13",2016-08-30,2016-09-13,2,0.183000620875141,14
"2016-09-13",2016-08-30,2016-09-13,3,0.112819166983485,14
"2016-09-13",2016-08-30,2016-09-13,4,0.220375189726135,14
"2016-09-13",2016-08-30,2016-09-13,5,0.266518317218948,14
"2016-09-13",2016-08-30,2016-09-13,6,0.195431672136515,14
"2016-10-13",2016-09-13,2016-10-13,1,0.472428267463179,30
"2016-10-13",2016-09-13,2016-10-13,2,0.396306367399012,30
"2016-10-13",2016-09-13,2016-10-13,3,0.521903575235079,30
"2016-10-13",2016-09-13,2016-10-13,4,0.593770208822436,30
"2016-10-13",2016-09-13,2016-10-13,5,0.736614329632202,30
"2016-10-13",2016-09-13,2016-10-13,6,0.575526440115545,30
"2016-11-07",2016-10-13,2016-11-07,1,0.421657332702712,25
"2016-11-07",2016-10-13,2016-11-07,2,0.383047874927693,25
"2016-11-07",2016-10-13,2016-11-07,3,0.496248285786087,25
"2016-11-07",2016-10-13,2016-11-07,4,0.36241028765985,25
"2016-11-07",2016-10-13,2016-11-07,5,0.648860983122862,25
"2016-11-07",2016-10-13,2016-11-07,6,0.342120115173953,25
"2016-12-12",2016-11-09,2016-12-12,1,0.578326012230099,33
"2016-12-12",2016-11-09,2016-12-12,2,0.707803286966782,33
"2016-12-12",2016-11-09,2016-12-12,3,0.448187001140596,33
"2016-12-12",2016-11-09,2016-12-12,4,0.534643116086817,33
"2016-12-12",2016-11-09,2016-12-12,5,0.554034399316242,33
"2016-12-12",2016-11-09,2016-12-12,6,0.492901370644172,33
