"Date","Ring","Depth","Cmic_g_m2"
2012-06-13,1,"0_10",164.720616166667
2014-09-09,1,"0_10",46.2002485
2015-11-30,1,"0_10",38.282288
2012-09-03,1,"0_10",51.0367379166667
2014-11-17,1,"0_10",36.5301860833333
2018-10-01,1,"0_10",14.1378983083333
2012-12-11,1,"0_10",70.926515
2015-03-10,1,"0_10",38.21927125
2014-03-10,1,"0_10",47.1922731666667
2013-03-11,1,"0_10",157.605297833333
2015-06-09,1,"0_10",22.74350925
2014-06-17,1,"0_10",26.0416073333333
2013-06-11,1,"0_10",77.7522220833333
2015-09-09,1,"0_10",35.02745625
2013-12-10,1,"0_10",45.9782316666667
2013-09-03,1,"0_10",42.9088323333333
2013-09-03,1,"10_30",22.6635711729877
2012-09-03,1,"10_30",26.9565653342876
2012-06-13,1,"10_30",87.0020740520493
2013-12-10,1,"10_30",24.2847653762912
2012-12-11,1,"10_30",37.4619404291211
2015-03-10,1,"10_30",20.1866405365035
2014-03-10,1,"10_30",24.9259973662103
2013-03-11,1,"10_30",83.2439078495006
2015-06-09,1,"10_30",12.0126582939069
2014-06-17,1,"10_30",13.7546465182999
2013-06-11,1,"10_30",41.0671398688858
2015-09-09,1,"10_30",18.5007888717096
2014-09-09,1,"10_30",24.4020301451099
2018-10-01,1,"10_30",7.46734989333333
2015-11-30,1,"10_30",20.2199247001838
2014-11-17,1,"10_30",19.2945001586296
2014-11-17,1,"transition",7.86106997918871
2014-09-09,1,"transition",9.94200756836846
2012-12-11,1,"transition",15.2629471014209
2015-03-10,1,"transition",8.22455065420324
2014-03-10,1,"transition",10.1554851375207
2013-03-11,1,"transition",33.9156847581451
2015-06-09,1,"transition",4.8942624430853
2014-06-17,1,"transition",5.60399274043904
2013-06-11,1,"transition",16.7317970250737
2015-09-09,1,"transition",7.53769181865321
2012-06-13,1,"transition",35.4468572305475
2013-09-03,1,"transition",9.23371517813055
2015-11-30,1,"transition",8.238111468826
2012-09-03,1,"transition",10.9827901603676
2013-12-10,1,"transition",9.89423091977954
2018-10-01,1,"transition",3.042388224
2012-06-13,2,"0_10",278.377534333333
2014-09-09,2,"0_10",42.8761673333333
2015-11-30,2,"0_10",35.3039373333333
2012-09-03,2,"0_10",45.1902736666667
2014-11-17,2,"0_10",35.5452633333333
2018-10-01,2,"0_10",15.537296
2012-12-11,2,"0_10",59.5161436666667
2015-03-10,2,"0_10",41.2553373333333
2014-03-10,2,"0_10",47.573704
2013-03-11,2,"0_10",170.661263666667
2015-06-09,2,"0_10",17.5577563333333
2014-06-17,2,"0_10",31.663846
2013-06-11,2,"0_10",62.1894776666667
2015-09-09,2,"0_10",35.5012273333333
2013-12-10,2,"0_10",54.1036033333333
2013-09-03,2,"0_10",33.7594436666667
2013-09-03,2,"10_30",22.8972978811539
2012-09-03,2,"10_30",30.6502431643507
2012-06-13,2,"10_30",188.809193361949
2013-12-10,2,"10_30",36.6956971862162
2012-12-11,2,"10_30",40.3667454869458
2015-03-10,2,"10_30",27.9813778164104
2014-03-10,2,"10_30",32.2668016260411
2013-03-11,2,"10_30",115.750775680233
2015-06-09,2,"10_30",11.9085249407116
2014-06-17,2,"10_30",21.4759615437872
2013-06-11,2,"10_30",42.1799307259625
2015-09-09,2,"10_30",24.0786603423953
2014-09-09,2,"10_30",29.080703613694
2018-10-01,2,"10_30",10.5381504
2015-11-30,2,"10_30",23.9448486616231
2014-11-17,2,"10_30",24.1085277009765
2012-06-13,3,"0_10",175.894596
2014-09-09,3,"0_10",65.672568
2015-11-30,3,"0_10",47.627028
2012-09-03,3,"0_10",90.631908
2014-11-17,3,"0_10",43.33728
2018-10-01,3,"0_10",32.6366352
2012-12-11,3,"0_10",87.644448
2015-03-10,3,"0_10",58.24278
2014-03-10,3,"0_10",54.421668
2013-03-11,3,"0_10",171.615672
2015-06-09,3,"0_10",30.318804
2014-06-17,3,"0_10",42.001056
2013-06-11,3,"0_10",103.066812
2015-09-09,3,"0_10",45.029808
2013-12-10,3,"0_10",66.27384
2013-09-03,3,"0_10",53.720892
2013-09-03,3,"10_30",28.2409150789123
2012-09-03,3,"10_30",47.6449277362668
2012-06-13,3,"10_30",92.467272294652
2013-12-10,3,"10_30",34.8399629587949
2012-12-11,3,"10_30",46.0744287921755
2015-03-10,3,"10_30",30.6180583140685
2014-03-10,3,"10_30",28.6093109630563
2013-03-11,3,"10_30",90.2178545204066
2015-06-09,3,"10_30",15.9385061785308
2014-06-17,3,"10_30",22.0798317295372
2013-06-11,3,"10_30",54.1819202321924
2015-09-09,3,"10_30",23.6720377567023
2014-09-09,3,"10_30",34.5238760350833
2018-10-01,3,"10_30",17.15698323
2015-11-30,3,"10_30",25.0373886794169
2014-11-17,3,"10_30",22.7822807601751
2014-11-17,3,"transition",20.8225282111494
2014-09-09,3,"transition",31.5541007621758
2012-12-11,3,"transition",42.1110644468369
2015-03-10,3,"transition",27.9842650403018
2014-03-10,3,"transition",26.1483119666903
2013-03-11,3,"transition",82.4572324727201
2015-06-09,3,"transition",14.5674613547115
2014-06-17,3,"transition",20.1805044861622
2013-06-11,3,"transition",49.5211420860569
2015-09-09,3,"transition",21.6357475001348
2012-06-13,3,"transition",84.5131532804719
2013-09-03,3,"transition",25.8116058321637
2015-11-30,3,"transition",22.8836496924404
2012-09-03,3,"transition",43.5464676408002
2013-12-10,3,"transition",31.8429976007078
2018-10-01,3,"transition",15.6811239
2012-06-13,4,"0_10",149.03760375
2014-09-09,4,"0_10",53.8301505
2015-11-30,4,"0_10",39.6837525
2012-09-03,4,"0_10",80.08571025
2014-11-17,4,"0_10",39.72575775
2018-10-01,4,"0_10",24.26407872
2012-12-11,4,"0_10",70.4345355
2015-03-10,4,"0_10",46.82468175
2014-03-10,4,"0_10",43.7544765
2013-03-11,4,"0_10",161.200641
2015-06-09,4,"0_10",26.32817775
2014-06-17,4,"0_10",34.0219005
2013-06-11,4,"0_10",102.223163
2015-09-09,4,"0_10",35.90214075
2013-12-10,4,"0_10",65.6038215
2013-09-03,4,"0_10",50.71062675
2013-09-03,4,"10_30",57.2373310760207
2012-09-03,4,"10_30",90.3931307068201
2012-06-13,4,"10_30",168.219468291536
2013-12-10,4,"10_30",74.0473524328442
2012-12-11,4,"10_30",79.4998028218855
2015-03-10,4,"10_30",52.8512460527626
2014-03-10,4,"10_30",49.3858904531971
2013-03-11,4,"10_30",181.947947598257
2015-06-09,4,"10_30",29.7167422902158
2014-06-17,4,"10_30",38.400684581441
2013-06-11,4,"10_30",115.379781305287
2015-09-09,4,"10_30",40.522920897357
2014-09-09,4,"10_30",60.758352706428
2018-10-01,4,"10_30",27.386983675
2015-11-30,4,"10_30",44.7912444738491
2014-11-17,4,"10_30",44.8386560038433
2014-11-17,4,"transition",36.3945879044624
2014-09-09,4,"transition",49.3162687194479
2012-12-11,4,"transition",64.5283070469494
2015-03-10,4,"transition",42.8982376314484
2014-03-10,4,"transition",40.0854818481841
2013-03-11,4,"transition",147.683297472914
2015-06-09,4,"transition",24.1204506536237
2014-06-17,4,"transition",31.1690227840682
2013-06-11,4,"transition",93.6513260511863
2015-09-09,4,"transition",32.8915970768174
2012-06-13,4,"transition",136.540181433035
2013-09-03,4,"transition",46.4583299973242
2015-11-30,4,"transition",36.3561049692043
2012-09-03,4,"transition",73.3701906940952
2013-12-10,4,"transition",60.1026684871835
2018-10-01,4,"transition",22.2294349035
2012-06-13,5,"0_10",147.957832
2014-09-09,5,"0_10",54.8637466666667
2015-11-30,5,"0_10",44.2632568888889
2012-09-03,5,"0_10",95.7199173333333
2014-11-17,5,"0_10",61.4320666666667
2018-10-01,5,"0_10",25.1904335466667
2012-12-11,5,"0_10",81.928
2015-03-10,5,"0_10",61.3614613333333
2014-03-10,5,"0_10",60.0926773333333
2013-03-11,5,"0_10",117.698768
2015-06-09,5,"0_10",29.719448
2014-06-17,5,"0_10",36.9824986666667
2013-06-11,5,"0_10",121.695874666667
2015-09-09,5,"0_10",40.1082586666667
2013-12-10,5,"0_10",79.468488
2013-09-03,5,"0_10",58.882648
2013-09-03,5,"10_30",48.3051023640238
2012-09-03,5,"10_30",78.5250079966269
2012-06-13,5,"10_30",121.379021886364
2013-12-10,5,"10_30",65.192948651939
2012-12-11,5,"10_30",67.2106394821059
2015-03-10,5,"10_30",50.3386272796828
2014-03-10,5,"10_30",49.2977647661994
2013-03-11,5,"10_30",96.5556276674156
2015-06-09,5,"10_30",24.3807136160433
2014-06-17,5,"10_30",30.3390462971487
2013-06-11,5,"10_30",99.8347031378879
2015-09-09,5,"10_30",32.903301844307
2014-09-09,5,"10_30",45.0081473714838
2018-10-01,5,"10_30",20.66528107
2015-11-30,5,"10_30",36.3119055886016
2014-11-17,5,"10_30",50.3965492307151
2014-11-17,5,"transition",19.2367443417865
2014-09-09,5,"transition",17.1799505620714
2012-12-11,5,"transition",25.65480987292
2015-03-10,5,"transition",19.2146350946099
2014-03-10,5,"transition",18.8173299939141
2013-03-11,5,"transition",36.856014003966
2015-06-09,5,"transition",9.30630294854181
2014-06-17,5,"transition",11.5806436373261
2013-06-11,5,"transition",38.1076619335519
2015-09-09,5,"transition",12.5594393910169
2012-06-13,5,"transition",46.3312914897159
2013-09-03,5,"transition",18.438423240578
2015-11-30,5,"transition",13.860529243246
2012-09-03,5,"transition",29.9735899843556
2013-12-10,5,"transition",24.884642009184
2018-10-01,5,"transition",7.88809422
2012-06-13,6,"0_10",164.009052
2014-09-09,6,"0_10",71.792618
2015-11-30,6,"0_10",59.9161963333333
2012-09-03,6,"0_10",95.3799223333334
2014-11-17,6,"0_10",59.709988
2018-10-01,6,"0_10",25.2531094533333
2012-12-11,6,"0_10",111.844100666667
2015-03-10,6,"0_10",64.5782553333333
2014-03-10,6,"0_10",78.4603013333333
2013-03-11,6,"0_10",141.550624666667
2015-06-09,6,"0_10",38.437772
2014-06-17,6,"0_10",40.591092
2013-06-11,6,"0_10",112.827403
2015-09-09,6,"0_10",59.433349
2013-12-10,6,"0_10",94.0328516666667
2013-09-03,6,"0_10",79.7533706666667
2013-09-03,6,"10_30",68.211416444365
2012-09-03,6,"10_30",81.5764844585987
2012-06-13,6,"10_30",140.273566535205
2013-12-10,6,"10_30",80.4243626428571
2012-12-11,6,"10_30",95.6579573207692
2015-03-10,6,"10_30",55.232452634552
