"Date","Ring","Depth","mycorrhizal_c_pool"
2012-06-13,1,"0_10",17.2956646975
2014-09-09,1,"0_10",4.8510260925
2015-11-30,1,"0_10",4.01964024
2012-09-03,1,"0_10",5.35885748125
2014-11-17,1,"0_10",3.83566953875
2018-10-01,1,"0_10",1.484479322375
2012-12-11,1,"0_10",7.447284075
2015-03-10,1,"0_10",4.01302348125
2014-03-10,1,"0_10",4.9551886825
2013-03-11,1,"0_10",16.5485562725
2015-06-09,1,"0_10",2.38806847125
2014-06-17,1,"0_10",2.73436877
2013-06-11,1,"0_10",8.16398331875
2015-09-09,1,"0_10",3.67788290625
2013-12-10,1,"0_10",4.827714325
2013-09-03,1,"0_10",4.505427395
2013-09-03,1,"10_30",2.37967497316371
2012-09-03,1,"10_30",2.8304393601002
2012-06-13,1,"10_30",9.13521777546518
2013-12-10,1,"10_30",2.54990036451057
2012-12-11,1,"10_30",3.93350374505771
2015-03-10,1,"10_30",2.11959725633286
2014-03-10,1,"10_30",2.61722972345208
2013-03-11,1,"10_30",8.74061032419756
2015-06-09,1,"10_30",1.26132912086023
2014-06-17,1,"10_30",1.44423788442149
2013-06-11,1,"10_30",4.31204968623301
2015-09-09,1,"10_30",1.94258283152951
2014-09-09,1,"10_30",2.56221316523654
2018-10-01,1,"10_30",0.7840717388
2015-11-30,1,"10_30",2.1230920935193
2014-11-17,1,"10_30",2.0259225166561
2014-11-17,1,"transition",0.825412347814815
2014-09-09,1,"transition",1.04391079467869
2012-12-11,1,"transition",1.60260944564919
2015-03-10,1,"transition",0.86357781869134
2014-03-10,1,"transition",1.06632593943967
2013-03-11,1,"transition",3.56114689960523
2015-06-09,1,"transition",0.513897556523957
2014-06-17,1,"transition",0.588419237746099
2013-06-11,1,"transition",1.75683868763274
2015-09-09,1,"transition",0.791457640958587
2012-06-13,1,"transition",3.72192000920749
2013-09-03,1,"transition",0.969540093703708
2015-11-30,1,"transition",0.86500170422673
2012-09-03,1,"transition",1.1531929668386
2013-12-10,1,"transition",1.03889424657685
2018-10-01,1,"transition",0.31945076352
2012-06-13,2,"0_10",32.0134164483333
2014-09-09,2,"0_10",4.93075924333333
2015-11-30,2,"0_10",4.05995279333333
2012-09-03,2,"0_10",5.19688147166667
2014-11-17,2,"0_10",4.08770528333333
2018-10-01,2,"0_10",1.78678904
2012-12-11,2,"0_10",6.84435652166667
2015-03-10,2,"0_10",4.74436379333333
2014-03-10,2,"0_10",5.47097596
2013-03-11,2,"0_10",19.6260453216667
2015-06-09,2,"0_10",2.01914197833333
2014-06-17,2,"0_10",3.64134229
2013-06-11,2,"0_10",7.15178993166667
2015-09-09,2,"0_10",4.08264114333333
2013-12-10,2,"0_10",6.22191438333333
2013-09-03,2,"0_10",3.88233602166667
2013-09-03,2,"10_30",2.6331892563327
2012-09-03,2,"10_30",3.52477796390033
2012-06-13,2,"10_30",21.7130572366241
2013-12-10,2,"10_30",4.22000517641486
2012-12-11,2,"10_30",4.64217573099877
2015-03-10,2,"10_30",3.21785844888719
2014-03-10,2,"10_30",3.71068218699473
2013-03-11,2,"10_30",13.3113392032269
2015-06-09,2,"10_30",1.36948036818184
2014-06-17,2,"10_30",2.46973557753553
2013-06-11,2,"10_30",4.85069203348569
2015-09-09,2,"10_30",2.76904593937546
2014-09-09,2,"10_30",3.34428091557481
2018-10-01,2,"10_30",1.211887296
2015-11-30,2,"10_30",2.75365759608665
2014-11-17,2,"10_30",2.7724806856123
2012-06-13,3,"0_10",17.765354196
2014-09-09,3,"0_10",6.632929368
2015-11-30,3,"0_10",4.810329828
2012-09-03,3,"0_10",9.153822708
2014-11-17,3,"0_10",4.37706528
2018-10-01,3,"0_10",3.2963001552
2012-12-11,3,"0_10",8.852089248
2015-03-10,3,"0_10",5.88252078
2014-03-10,3,"0_10",5.496588468
2013-03-11,3,"0_10",17.333182872
2015-06-09,3,"0_10",3.062199204
2014-06-17,3,"0_10",4.242106656
2013-06-11,3,"0_10",10.409748012
