"Start_date","End_date","Date","Ring","phosphate_leaching_flux","Days"
2012-07-10,2012-07-10,2012-07-10,1,1.5e-05,1
2012-08-03,2012-08-03,2012-08-03,1,0.000405,1
2012-08-28,2012-08-28,2012-08-28,1,0.00014,1
2012-10-15,2012-10-15,2012-10-15,1,6e-04,1
2013-02-05,2013-02-05,2013-02-05,1,0.000325,1
2013-03-22,2013-03-22,2013-03-22,1,0.000415,1
2013-05-02,2013-05-02,2013-05-02,1,0.00016,1
2013-07-04,2013-07-04,2013-07-04,1,5.5e-05,1
2013-07-29,2013-07-29,2013-07-29,1,-1e-04,1
2013-11-14,2013-11-14,2013-11-14,1,0.000105,1
2014-02-25,2014-02-25,2014-02-25,1,0.000106666666666667,1
2014-04-02,2014-04-02,2014-04-02,1,-4e-05,1
2012-07-10,2012-07-10,2012-07-10,2,3e-05,1
2012-08-03,2012-08-03,2012-08-03,2,0.000445,1
2012-08-28,2012-08-28,2012-08-28,2,0.00012,1
2013-02-05,2013-02-05,2013-02-05,2,0.000425,1
2013-03-22,2013-03-22,2013-03-22,2,0.000415,1
2013-07-04,2013-07-04,2013-07-04,2,5.5e-05,1
2013-07-29,2013-07-29,2013-07-29,2,-7e-05,1
2013-11-14,2013-11-14,2013-11-14,2,0.00017,1
2014-02-25,2014-02-25,2014-02-25,2,5.33333333333333e-05,1
2014-04-02,2014-04-02,2014-04-02,2,2e-05,1
2012-08-03,2012-08-03,2012-08-03,3,0.000435,1
2012-08-28,2012-08-28,2012-08-28,3,0.00012,1
2012-10-15,2012-10-15,2012-10-15,3,8.5e-05,1
2013-02-05,2013-02-05,2013-02-05,3,0.00031,1
2013-03-22,2013-03-22,2013-03-22,3,0.000365,1
2013-05-02,2013-05-02,2013-05-02,3,0.00023,1
2013-07-04,2013-07-04,2013-07-04,3,8e-05,1
2013-07-29,2013-07-29,2013-07-29,3,0.000253333333333333,1
2013-11-14,2013-11-14,2013-11-14,3,0.00013,1
2014-02-25,2014-02-25,2014-02-25,3,0.00028,1
2014-04-02,2014-04-02,2014-04-02,3,1.33333333333333e-05,1
2012-07-10,2012-07-10,2012-07-10,4,2.5e-05,1
2012-08-03,2012-08-03,2012-08-03,4,0.000475,1
2012-08-28,2012-08-28,2012-08-28,4,0.000125,1
2013-02-05,2013-02-05,2013-02-05,4,0.000355,1
2013-03-22,2013-03-22,2013-03-22,4,0.00035,1
2013-05-02,2013-05-02,2013-05-02,4,0.000125,1
2013-07-04,2013-07-04,2013-07-04,4,1.5e-05,1
2013-07-29,2013-07-29,2013-07-29,4,0.00025,1
2013-11-14,2013-11-14,2013-11-14,4,0.000135,1
2014-02-25,2014-02-25,2014-02-25,4,0.00022,1
2014-04-02,2014-04-02,2014-04-02,4,2.66666666666667e-05,1
2012-07-10,2012-07-10,2012-07-10,5,5e-05,1
2012-08-03,2012-08-03,2012-08-03,5,0.000465,1
2012-08-28,2012-08-28,2012-08-28,5,0.000135,1
2012-10-15,2012-10-15,2012-10-15,5,0.00031,1
2013-02-05,2013-02-05,2013-02-05,5,0.00033,1
2013-03-22,2013-03-22,2013-03-22,5,0.000375,1
2013-05-02,2013-05-02,2013-05-02,5,0.000145,1
2013-07-04,2013-07-04,2013-07-04,5,5.33333333333333e-05,1
2013-07-29,2013-07-29,2013-07-29,5,0.00024,1
2012-07-10,2012-07-10,2012-07-10,6,1e-04,1
2012-08-03,2012-08-03,2012-08-03,6,0.000605,1
2012-08-28,2012-08-28,2012-08-28,6,0.00019,1
2013-02-05,2013-02-05,2013-02-05,6,0.000495,1
2013-03-22,2013-03-22,2013-03-22,6,0.00038,1
2013-05-02,2013-05-02,2013-05-02,6,0.00042,1
2013-07-04,2013-07-04,2013-07-04,6,0.000145,1
2013-07-29,2013-07-29,2013-07-29,6,0.000386666666666667,1
2013-11-14,2013-11-14,2013-11-14,6,0.00012,1
