"Date","Ring","Start_date","End_date","understorey_p_retrans_flux","Days"
"2015-08-01",1,"2015-02-01","2015-08-01",0.131344116022099,182
"2015-08-01",2,"2015-02-01","2015-08-01",0.206983103130755,182
"2015-08-01",3,"2015-02-01","2015-08-01",0.088879742173112,182
"2015-08-01",4,"2015-02-01","2015-08-01",0.475427486187845,182
"2015-08-01",5,"2015-02-01","2015-08-01",0.395659069981584,182
"2015-08-01",6,"2015-02-01","2015-08-01",0.313888674033149,182
"2016-02-01",1,"2015-08-01","2016-02-01",0.218279891304348,185
"2016-02-01",2,"2015-08-01","2016-02-01",0.367598278985507,185
"2016-02-01",3,"2015-08-01","2016-02-01",0.268799773550724,185
"2016-02-01",4,"2015-08-01","2016-02-01",0.536576086956522,185
"2016-02-01",5,"2015-08-01","2016-02-01",0.723570357789855,185
"2016-02-01",6,"2015-08-01","2016-02-01",0.627383152173913,185
"2016-07-01",1,"2016-02-01","2016-07-01",0.157712698675497,152
"2016-07-01",2,"2016-02-01","2016-07-01",0.32378341611479,152
"2016-07-01",3,"2016-02-01","2016-07-01",0.394688173289183,152
"2016-07-01",4,"2016-02-01","2016-07-01",0.684759933774834,152
"2016-07-01",5,"2016-02-01","2016-07-01",0.60677046495585,152
"2016-07-01",6,"2016-02-01","2016-07-01",0.402046067880795,152
"2017-05-01",1,"2016-07-01","2017-05-01",0.11724333881579,305
"2017-05-01",2,"2016-07-01","2017-05-01",0.226222231359649,305
"2017-05-01",3,"2016-07-01","2017-05-01",0.295642900219298,305
"2017-05-01",4,"2016-07-01","2017-05-01",0.385127467105263,305
"2017-05-01",5,"2016-07-01","2017-05-01",0.329417105263158,305
"2017-05-01",6,"2016-07-01","2017-05-01",0.383827055921052,305
